Name:		mgval_0.25_10A
Optimal value:	492
#Vehicles:	3
Capacity:	250
Depot Node:	1
#Nodes:		50
#Edges:		32
#Arcs:		106
#Required N:	26
#Required E:	24
#Required A:	79

ReN.	DEMAND	S. COST
N3	9	9
N5	14	14
N6	7	7
N7	3	3
N8	3	3
N9	9	9
N10	8	8
N12	5	5
N17	8	8
N19	3	3
N20	6	6
N22	10	10
N24	15	15
N25	6	6
N26	5	5
N27	12	12
N30	11	11
N31	2	2
N35	3	3
N37	7	7
N38	4	4
N40	5	5
N42	6	6
N44	3	3
N46	7	7
N50	4	4

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E9	43	45	1	4	4
E10	41	48	1	3	3
E11	2	3	6	10	10
E12	8	14	3	7	7
E13	41	49	2	4	4
E14	6	7	5	7	7
E15	40	47	2	3	3
E16	15	23	1	6	6
E17	23	31	3	10	10
E18	3	9	5	6	6
E19	9	15	2	8	8
E20	1	2	10	13	13
E21	6	13	3	8	8
E22	31	37	2	6	6
E23	28	32	1	4	4
E24	40	41	3	4	4
E25	22	31	6	9	9
E26	20	21	4	7	7
E27	32	38	5	9	9
E28	28	38	6	10	10
E29	33	46	6	10	10
E30	33	39	3	8	8
E31	33	34	4	6	6
E32	27	30	3	6	6

EDGE	FROM N.	TO N.	T. COST
NrE1	46	47	4
NrE2	25	28	3
NrE3	27	36	8
NrE4	1	6	2
NrE5	26	29	2
NrE6	5	6	9
NrE7	42	44	1
NrE8	17	25	7

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A28	44	49	4	5	5
A29	20	12	2	4	4
A30	17	16	7	4	4
A31	19	11	1	8	8
A32	18	29	5	5	5
A33	41	35	3	4	4
A34	13	12	1	2	2
A35	49	48	7	5	5
A36	39	29	5	7	7
A37	26	18	2	5	5
A38	16	17	7	4	4
A39	14	15	1	2	2
A40	31	27	7	12	12
A41	7	13	4	6	6
A42	45	38	7	5	5
A43	43	37	2	4	4
A44	24	16	3	4	4
A45	26	19	1	3	3
A46	29	33	6	4	4
A47	22	14	5	5	5
A48	42	43	4	4	4
A49	16	9	5	9	9
A50	7	2	1	4	4
A51	50	43	6	3	3
A52	50	44	5	4	4
A53	33	29	6	4	4
A54	15	16	2	7	7
A55	49	50	10	6	6
A56	19	20	3	9	9
A57	4	10	3	3	3
A58	30	26	1	2	2
A59	35	27	6	5	5
A60	18	19	1	4	4
A61	50	49	10	6	6
A62	24	32	5	5	5
A63	12	6	2	4	4
A64	27	35	6	4	4
A65	21	27	4	3	3
A66	38	43	3	8	8
A67	32	37	3	3	3
A68	36	42	2	3	3
A69	11	5	3	5	5
A70	43	50	6	3	3
A71	1	5	7	4	4
A72	23	22	2	3	3
A73	10	17	7	5	5
A74	37	36	2	4	4
A75	11	12	3	2	2
A76	12	20	2	3	3
A77	34	26	5	5	5
A78	45	50	3	3	3
A79	34	35	2	5	5
A80	32	31	3	3	3
A81	48	47	3	6	6
A82	17	10	7	6	6
A83	43	42	4	5	5
A84	21	13	3	3	3
A85	14	22	5	4	4
A86	6	12	2	3	3
A87	22	23	2	3	3
A88	13	21	3	3	3
A89	26	34	5	5	5
A90	48	49	7	5	5
A91	40	33	3	4	4
A92	38	37	7	5	5
A93	42	41	4	6	6
A94	18	5	9	12	12
A95	27	21	4	4	4
A96	33	40	3	3	3
A97	29	18	5	5	5
A98	16	24	3	3	3
A99	13	14	2	6	6
A100	36	35	3	3	3
A101	2	7	1	3	3
A102	37	38	7	4	4
A103	32	24	5	6	6
A104	15	14	1	3	3
A105	5	1	7	4	4
A106	18	26	2	4	4

ARC	FROM N.	TO N.	T. COST
NrA1	24	23	6
NrA2	31	32	3
NrA3	40	34	1
NrA4	22	21	5
NrA5	5	11	3
NrA6	12	11	3
NrA7	10	9	8
NrA8	37	43	2
NrA9	20	30	9
NrA10	7	8	2
NrA11	30	34	1
NrA12	9	10	8
NrA13	35	36	3
NrA14	50	45	3
NrA15	12	13	1
NrA16	24	25	2
NrA17	38	45	7
NrA18	26	30	1
NrA19	8	7	2
NrA20	19	26	1
NrA21	9	8	3
NrA22	42	36	2
NrA23	30	20	9
NrA24	10	4	3
NrA25	44	50	5
NrA26	37	32	3
NrA27	3	4	6
