Name:		mgval_0.25_10B
Optimal value:	528
#Vehicles:	4
Capacity:	190
Depot Node:	1
#Nodes:		50
#Edges:		33
#Arcs:		101
#Required N:	24
#Required E:	24
#Required A:	75

ReN.	DEMAND	S. COST
N6	7	7
N12	2	2
N13	7	7
N14	5	5
N15	7	7
N18	2	2
N19	4	4
N20	19	19
N22	10	10
N26	5	5
N27	23	23
N31	5	5
N32	14	14
N34	5	5
N37	6	6
N38	17	17
N39	4	4
N40	2	2
N41	10	10
N42	3	3
N43	6	6
N44	2	2
N45	3	3
N49	10	10

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E10	17	25	7	8	8
E11	16	17	7	8	8
E12	46	47	4	7	7
E13	35	41	3	4	4
E14	9	16	5	9	9
E15	12	20	2	7	7
E16	43	45	1	4	4
E17	33	46	6	10	10
E18	1	2	10	13	13
E19	25	28	3	6	6
E20	16	24	3	7	7
E21	44	50	5	7	7
E22	35	36	3	6	6
E23	8	9	3	5	5
E24	44	49	4	5	5
E25	6	7	5	7	7
E26	32	37	3	7	7
E27	8	14	3	7	7
E28	33	40	3	7	7
E29	47	48	3	6	6
E30	41	48	1	3	3
E31	23	31	3	10	10
E32	7	8	2	6	6
E33	33	39	3	8	8

EDGE	FROM N.	TO N.	T. COST
NrE1	34	35	2
NrE2	27	36	8
NrE3	38	45	7
NrE4	38	43	3
NrE5	43	50	6
NrE6	32	38	5
NrE7	1	6	2
NrE8	41	49	2
NrE9	41	42	4

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A27	5	11	3	4	4
A28	4	3	6	9	9
A29	4	10	3	3	3
A30	31	27	7	6	6
A31	43	37	2	4	4
A32	10	9	8	5	5
A33	34	33	4	3	3
A34	24	25	2	7	7
A35	28	32	1	2	2
A36	36	42	2	3	3
A37	5	18	9	6	6
A38	43	42	4	5	5
A39	11	12	3	2	2
A40	22	31	6	4	4
A41	12	6	2	4	4
A42	9	10	8	4	4
A43	27	31	7	6	6
A44	21	13	3	6	6
A45	18	5	9	6	6
A46	38	37	7	9	9
A47	7	13	4	6	6
A48	3	2	6	5	5
A49	47	40	2	2	2
A50	13	12	1	2	2
A51	49	50	10	12	12
A52	41	40	3	2	2
A53	28	38	6	10	10
A54	33	29	6	8	8
A55	36	37	2	4	4
A56	20	19	3	5	5
A57	2	3	6	5	5
A58	14	22	5	4	4
A59	29	26	2	2	2
A60	26	34	5	5	5
A61	33	34	4	3	3
A62	26	19	1	6	6
A63	32	28	1	2	2
A64	35	27	6	5	5
A65	24	23	6	8	8
A66	7	2	1	4	4
A67	32	24	5	6	6
A68	11	5	3	5	5
A69	22	23	2	6	6
A70	40	47	2	1	1
A71	42	44	1	1	1
A72	42	43	4	4	4
A73	6	12	2	3	3
A74	6	13	3	4	4
A75	16	15	2	4	4
A76	6	5	9	10	10
A77	2	7	1	3	3
A78	19	18	1	2	2
A79	26	18	2	5	5
A80	29	39	5	3	3
A81	10	4	3	3	3
A82	9	3	5	3	3
A83	34	26	5	5	5
A84	1	5	7	8	8
A85	24	32	5	5	5
A86	12	11	3	3	3
A87	9	15	2	4	4
A88	34	30	1	5	5
A89	18	29	5	10	10
A90	11	19	1	8	8
A91	21	22	5	5	5
A92	15	23	1	6	6
A93	15	14	1	3	3
A94	18	26	2	4	4
A95	3	9	5	3	3
A96	50	45	3	4	4
A97	27	30	3	3	3
A98	30	27	3	3	3
A99	34	40	1	5	5
A100	17	10	7	11	11
A101	37	43	2	3	3

ARC	FROM N.	TO N.	T. COST
NrA1	15	16	2
NrA2	27	21	4
NrA3	26	30	1
NrA4	12	13	1
NrA5	22	14	5
NrA6	37	31	2
NrA7	27	35	6
NrA8	26	29	2
NrA9	14	13	2
NrA10	20	21	4
NrA11	44	42	1
NrA12	40	41	3
NrA13	32	31	3
NrA14	20	30	9
NrA15	13	14	2
NrA16	14	15	1
NrA17	42	36	2
NrA18	18	19	1
NrA19	45	50	3
NrA20	15	9	2
NrA21	31	22	6
NrA22	49	48	7
NrA23	19	20	3
NrA24	13	6	3
NrA25	39	29	5
NrA26	22	21	5
