Name:		mgval_0.25_10C
Optimal value:	-1
#Vehicles:	5
Capacity:	150
Depot Node:	1
#Nodes:		50
#Edges:		36
#Arcs:		100
#Required N:	23
#Required E:	27
#Required A:	75

ReN.	DEMAND	S. COST
N2	10	10
N3	9	9
N5	4	4
N6	7	7
N7	11	11
N9	13	13
N11	5	5
N19	4	4
N20	21	21
N21	13	13
N26	17	17
N27	6	6
N33	8	8
N34	2	2
N36	6	6
N38	14	14
N40	7	7
N41	4	4
N42	4	4
N43	7	7
N46	7	7
N48	3	3
N49	3	3

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E10	11	12	3	5	5
E11	15	23	1	6	6
E12	16	17	7	8	8
E13	25	28	3	6	6
E14	3	9	5	6	6
E15	41	48	1	3	3
E16	6	12	2	7	7
E17	22	23	2	6	6
E18	27	30	3	6	6
E19	38	45	7	9	9
E20	33	46	6	10	10
E21	28	32	1	4	4
E22	29	33	6	8	8
E23	35	36	3	6	6
E24	34	35	2	5	5
E25	43	50	6	6	6
E26	36	42	2	6	6
E27	32	37	3	7	7
E28	29	39	5	7	7
E29	10	17	7	11	11
E30	24	32	5	11	11
E31	23	31	3	10	10
E32	11	19	1	8	8
E33	20	21	4	7	7
E34	14	22	5	9	9
E35	27	31	7	12	12
E36	43	45	1	4	4

EDGE	FROM N.	TO N.	T. COST
NrE1	40	41	3
NrE2	26	30	1
NrE3	26	29	2
NrE4	33	39	3
NrE5	20	30	9
NrE6	9	10	8
NrE7	2	3	6
NrE8	26	34	5
NrE9	1	6	2

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A26	19	26	1	3	3
A27	49	41	2	4	4
A28	37	31	2	3	3
A29	41	42	4	3	3
A30	31	37	2	3	3
A31	1	2	10	6	6
A32	8	7	2	3	3
A33	8	14	3	7	7
A34	5	11	3	4	4
A35	21	22	5	5	5
A36	5	6	9	10	10
A37	13	7	4	3	3
A38	31	32	3	5	5
A39	6	7	5	3	3
A40	18	26	2	9	9
A41	24	23	6	4	4
A42	38	37	7	5	5
A43	47	48	3	3	3
A44	33	40	3	3	3
A45	28	38	6	5	5
A46	26	19	1	3	3
A47	29	18	5	5	5
A48	14	13	2	3	3
A49	43	38	3	4	4
A50	24	16	3	4	4
A51	9	8	3	3	3
A52	8	9	3	2	2
A53	22	21	5	5	5
A54	24	25	2	3	3
A55	31	22	6	9	9
A56	16	24	3	3	3
A57	4	10	3	3	3
A58	38	43	3	4	4
A59	5	18	9	6	6
A60	15	9	2	8	8
A61	47	40	2	2	2
A62	2	1	10	7	7
A63	40	47	2	1	1
A64	16	15	2	4	4
A65	7	8	2	3	3
A66	12	20	2	3	3
A67	44	49	4	2	2
A68	44	42	1	2	2
A69	15	14	1	3	3
A70	16	9	5	5	5
A71	1	5	7	4	4
A72	35	27	6	5	5
A73	37	38	7	4	4
A74	10	4	3	3	3
A75	12	13	1	2	2
A76	34	33	4	3	3
A77	13	14	2	3	3
A78	33	34	4	3	3
A79	18	5	9	6	6
A80	18	19	1	4	4
A81	50	45	3	4	4
A82	13	6	3	8	8
A83	43	42	4	9	9
A84	18	29	5	5	5
A85	45	50	3	3	3
A86	36	37	2	4	4
A87	13	12	1	2	2
A88	49	50	10	12	12
A89	2	7	1	3	3
A90	17	25	7	8	8
A91	34	30	1	3	3
A92	14	15	1	2	2
A93	50	44	5	7	7
A94	15	16	2	3	3
A95	40	33	3	4	4
A96	27	35	6	4	4
A97	48	49	7	10	10
A98	23	24	6	4	4
A99	25	24	2	4	4
A100	30	34	1	2	2

ARC	FROM N.	TO N.	T. COST
NrA1	41	35	3
NrA2	38	28	6
NrA3	19	20	3
NrA4	42	41	4
NrA5	9	16	5
NrA6	7	6	5
NrA7	5	1	7
NrA8	20	19	3
NrA9	21	27	4
NrA10	46	47	4
NrA11	20	12	2
NrA12	11	5	3
NrA13	49	44	4
NrA14	48	47	3
NrA15	27	36	8
NrA16	36	27	8
NrA17	40	34	1
NrA18	21	13	3
NrA19	42	44	1
NrA20	7	2	1
NrA21	3	4	6
NrA22	38	32	5
NrA23	7	13	4
NrA24	43	37	2
NrA25	34	40	1
