Name:		mgval_0.25_10D
Optimal value:	-1
#Vehicles:	10
Capacity:	75
Depot Node:	1
#Nodes:		50
#Edges:		42
#Arcs:		87
#Required N:	23
#Required E:	31
#Required A:	65

ReN.	DEMAND	S. COST
N3	6	6
N4	6	6
N6	14	14
N7	3	3
N9	9	9
N11	5	5
N12	3	3
N13	12	12
N14	5	5
N17	8	8
N22	9	9
N23	6	6
N24	11	11
N26	4	4
N27	18	18
N31	5	5
N33	15	15
N37	3	3
N38	4	4
N39	7	7
N43	7	7
N44	2	2
N47	10	10

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E12	2	7	1	7	7
E13	26	34	5	10	10
E14	25	28	3	6	6
E15	14	22	5	9	9
E16	44	49	4	5	5
E17	12	20	2	7	7
E18	29	33	6	8	8
E19	15	16	2	7	7
E20	16	17	7	8	8
E21	2	3	6	10	10
E22	38	43	3	8	8
E23	32	37	3	7	7
E24	8	14	3	7	7
E25	27	35	6	9	9
E26	11	19	1	8	8
E27	18	19	1	4	4
E28	1	5	7	8	8
E29	9	15	2	8	8
E30	44	50	5	7	7
E31	3	4	6	9	9
E32	33	34	4	6	6
E33	34	40	1	5	5
E34	15	23	1	6	6
E35	19	20	3	9	9
E36	35	36	3	6	6
E37	27	36	8	12	12
E38	33	46	6	10	10
E39	21	27	4	7	7
E40	5	6	9	10	10
E41	40	41	3	4	4
E42	20	21	4	7	7

EDGE	FROM N.	TO N.	T. COST
NrE1	3	9	5
NrE2	14	15	1
NrE3	24	25	2
NrE4	33	40	3
NrE5	13	21	3
NrE6	27	30	3
NrE7	27	31	7
NrE8	47	48	3
NrE9	13	14	2
NrE10	17	25	7
NrE11	9	10	8

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A23	49	50	10	12	12
A24	31	23	3	5	5
A25	11	12	3	2	2
A26	7	13	4	3	3
A27	35	34	2	5	5
A28	5	18	9	12	12
A29	45	43	1	2	2
A30	41	48	1	1	1
A31	9	8	3	3	3
A32	9	16	5	4	4
A33	26	30	1	1	1
A34	41	49	2	2	2
A35	26	18	2	5	5
A36	43	42	4	9	9
A37	48	41	1	2	2
A38	24	32	5	11	11
A39	28	32	1	4	4
A40	42	41	4	6	6
A41	5	11	3	4	4
A42	45	50	3	3	3
A43	21	22	5	5	5
A44	37	36	2	4	4
A45	31	37	2	6	6
A46	19	26	1	6	6
A47	23	24	6	4	4
A48	31	32	3	2	2
A49	45	38	7	5	5
A50	18	26	2	4	4
A51	12	13	1	2	2
A52	46	47	4	3	3
A53	13	7	4	3	3
A54	30	26	1	2	2
A55	32	38	5	9	9
A56	40	47	2	1	1
A57	48	49	7	5	5
A58	2	1	10	13	13
A59	42	36	2	3	3
A60	32	31	3	3	3
A61	38	28	6	5	5
A62	49	41	2	2	2
A63	7	6	5	4	4
A64	43	45	1	2	2
A65	49	48	7	5	5
A66	13	12	1	2	2
A67	18	29	5	10	10
A68	6	12	2	7	7
A69	28	38	6	5	5
A70	17	10	7	6	6
A71	34	30	1	3	3
A72	35	41	3	4	4
A73	23	31	3	5	5
A74	30	34	1	2	2
A75	36	42	2	3	3
A76	50	43	6	3	3
A77	47	40	2	2	2
A78	16	24	3	7	7
A79	8	7	2	3	3
A80	20	30	9	12	12
A81	42	44	1	1	1
A82	13	6	3	4	4
A83	50	45	3	4	4
A84	37	38	7	9	9
A85	16	9	5	5	5
A86	10	17	7	5	5
A87	8	9	3	2	2

ARC	FROM N.	TO N.	T. COST
NrA1	6	1	2
NrA2	6	13	3
NrA3	31	22	6
NrA4	12	11	3
NrA5	44	42	1
NrA6	47	46	4
NrA7	37	43	2
NrA8	24	23	6
NrA9	6	7	5
NrA10	22	31	6
NrA11	4	10	3
NrA12	23	22	2
NrA13	22	21	5
NrA14	39	29	5
NrA15	26	29	2
NrA16	38	45	7
NrA17	43	37	2
NrA18	43	50	6
NrA19	7	8	2
NrA20	1	6	2
NrA21	33	39	3
NrA22	11	5	3
