Name:		mgval_0.25_1A
Optimal value:	177
#Vehicles:	2
Capacity:	200
Depot Node:	1
#Nodes:		24
#Edges:		20
#Arcs:		35
#Required N:	13
#Required E:	15
#Required A:	26

ReN.	DEMAND	S. COST
N3	7	7
N6	18	18
N7	2	2
N9	7	7
N11	12	12
N12	2	2
N13	10	10
N14	8	8
N15	4	4
N16	3	3
N19	7	7
N22	11	11
N23	5	5

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E6	1	9	3	9	9
E7	6	7	3	12	12
E8	17	18	2	4	4
E9	21	24	4	13	13
E10	23	24	2	4	4
E11	3	4	5	14	14
E12	5	6	10	19	19
E13	15	21	6	14	14
E14	13	17	2	3	3
E15	20	21	3	12	12
E16	16	17	1	4	4
E17	4	5	4	3	3
E18	7	8	4	12	12
E19	19	20	5	14	14
E20	1	19	4	13	13

EDGE	FROM N.	TO N.	T. COST
NrE1	14	18	3
NrE2	1	11	7
NrE3	13	14	5
NrE4	6	11	7
NrE5	15	16	2

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A10	15	20	3	8	8
A11	19	22	5	6	6
A12	12	6	4	7	7
A13	12	17	4	3	3
A14	6	12	4	6	6
A15	5	1	3	2	2
A16	2	5	3	6	6
A17	12	11	2	3	3
A18	5	2	3	6	6
A19	14	8	4	5	5
A20	11	5	4	5	5
A21	3	9	2	2	2
A22	13	7	4	3	3
A23	17	12	4	4	4
A24	2	4	1	1	1
A25	4	2	1	1	1
A26	20	1	5	7	7
A27	10	2	2	5	5
A28	8	14	4	4	4
A29	1	20	5	6	6
A30	21	23	5	6	6
A31	5	11	4	4	4
A32	9	3	2	2	2
A33	1	5	3	2	2
A34	11	12	2	2	2
A35	23	21	5	6	6

ARC	FROM N.	TO N.	T. COST
NrA1	16	12	3
NrA2	19	9	5
NrA3	7	13	4
NrA4	22	19	5
NrA5	3	10	3
NrA6	23	22	2
NrA7	22	23	2
NrA8	9	19	5
NrA9	12	16	3
Name:		mgval_0.25_1A
Optimal value:	177
#Vehicles:	2
Capacity:	200
Depot Node:	1
#Nodes:		24
#Edges:		20
#Arcs:		35
#Required N:	13
#Required E:	15
#Required A:	26

ReN.	DEMAND	S. COST
N3	7	7
N6	18	18
N7	2	2
N9	7	7
N11	12	12
N12	2	2
N13	10	10
N14	8	8
N15	4	4
N16	3	3
N19	7	7
N22	11	11
N23	5	5

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E6	1	9	3	9	9
E7	6	7	3	12	12
E8	17	18	2	4	4
E9	21	24	4	13	13
E10	23	24	2	4	4
E11	3	4	5	14	14
E12	5	6	10	19	19
E13	15	21	6	14	14
E14	13	17	2	3	3
E15	20	21	3	12	12
E16	16	17	1	4	4
E17	4	5	4	3	3
E18	7	8	4	12	12
E19	19	20	5	14	14
E20	1	19	4	13	13

EDGE	FROM N.	TO N.	T. COST
NrE1	14	18	3
NrE2	1	11	7
NrE3	13	14	5
NrE4	6	11	7
NrE5	15	16	2

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A10	15	20	3	8	8
A11	19	22	5	6	6
A12	12	6	4	7	7
A13	12	17	4	3	3
A14	6	12	4	6	6
A15	5	1	3	2	2
A16	2	5	3	6	6
A17	12	11	2	3	3
A18	5	2	3	6	6
A19	14	8	4	5	5
A20	11	5	4	5	5
A21	3	9	2	2	2
A22	13	7	4	3	3
A23	17	12	4	4	4
A24	2	4	1	1	1
A25	4	2	1	1	1
A26	20	1	5	7	7
A27	10	2	2	5	5
A28	8	14	4	4	4
A29	1	20	5	6	6
A30	21	23	5	6	6
A31	5	11	4	4	4
A32	9	3	2	2	2
A33	1	5	3	2	2
A34	11	12	2	2	2
A35	23	21	5	6	6

ARC	FROM N.	TO N.	T. COST
NrA1	16	12	3
NrA2	19	9	5
NrA3	7	13	4
NrA4	22	19	5
NrA5	3	10	3
NrA6	23	22	2
NrA7	22	23	2
NrA8	9	19	5
NrA9	12	16	3
