Name:		mgval_0.25_2A
Optimal value:	259
#Vehicles:	2
Capacity:	180
Depot Node:	1
#Nodes:		24
#Edges:		16
#Arcs:		28
#Required N:	7
#Required E:	12
#Required A:	21

ReN.	DEMAND	S. COST
N2	13	13
N3	4	4
N12	17	17
N15	8	8
N19	15	15
N20	18	18
N21	4	4

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E5	3	9	4	11	11
E6	17	18	7	10	10
E7	13	14	1	4	4
E8	8	14	3	7	7
E9	22	23	9	13	13
E10	15	21	3	4	4
E11	19	22	5	8	8
E12	5	10	8	15	15
E13	10	11	11	13	13
E14	13	17	1	6	6
E15	9	10	8	12	12
E16	3	4	3	6	6

EDGE	FROM N.	TO N.	T. COST
NrE1	1	2	4
NrE2	15	16	6
NrE3	12	13	5
NrE4	2	4	2

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A8	15	11	3	6	6
A9	23	20	4	4	4
A10	23	24	12	17	17
A11	19	20	9	14	14
A12	5	4	8	5	5
A13	16	12	8	5	5
A14	18	14	2	5	5
A15	6	12	9	6	6
A16	8	7	2	3	3
A17	12	6	9	6	6
A18	17	16	3	5	5
A19	16	17	3	4	4
A20	11	5	5	4	4
A21	7	6	5	9	9
A22	4	5	8	4	4
A23	5	11	5	4	4
A24	10	20	4	7	7
A25	3	1	5	4	4
A26	7	8	2	2	2
A27	24	21	8	5	5
A28	20	23	4	3	3

ARC	FROM N.	TO N.	T. COST
NrA1	1	3	5
NrA2	20	21	5
NrA3	19	9	9
NrA4	12	11	4
NrA5	20	10	4
NrA6	12	16	8
NrA7	21	24	8
