Name:		mgval_0.25_2B
Optimal value:	336
#Vehicles:	3
Capacity:	120
Depot Node:	1
#Nodes:		24
#Edges:		12
#Arcs:		40
#Required N:	9
#Required E:	9
#Required A:	30

ReN.	DEMAND	S. COST
N9	18	18
N10	14	14
N13	4	4
N15	10	10
N17	5	5
N20	7	7
N21	4	4
N23	15	15
N24	9	9

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E4	6	7	5	9	9
E5	16	17	3	9	9
E6	20	21	5	11	11
E7	10	20	4	14	14
E8	4	5	8	9	9
E9	6	12	9	12	12
E10	13	17	1	6	6
E11	14	18	2	5	5
E12	11	15	3	6	6

EDGE	FROM N.	TO N.	T. COST
NrE1	15	16	6
NrE2	20	23	4
NrE3	13	14	1

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A11	18	17	7	5	5
A12	3	4	3	6	6
A13	14	8	3	4	4
A14	5	11	5	4	4
A15	19	22	5	4	4
A16	24	21	8	5	5
A17	11	5	5	4	4
A18	1	3	5	8	8
A19	2	4	2	3	3
A20	2	1	4	3	3
A21	22	19	5	4	4
A22	13	12	5	3	3
A23	10	9	8	6	6
A24	8	14	3	3	3
A25	21	15	3	2	2
A26	11	10	11	7	7
A27	19	9	9	8	8
A28	11	12	4	3	3
A29	7	8	2	2	2
A30	1	2	4	3	3
A31	12	16	8	4	4
A32	5	10	8	7	7
A33	12	11	4	4	4
A34	22	23	9	6	6
A35	9	10	8	6	6
A36	8	7	2	3	3
A37	12	13	5	3	3
A38	16	12	8	5	5
A39	4	2	2	4	4
A40	19	20	9	14	14

ARC	FROM N.	TO N.	T. COST
NrA1	15	21	3
NrA2	9	3	4
NrA3	23	24	12
NrA4	9	19	9
NrA5	10	11	11
NrA6	17	18	7
NrA7	23	22	9
NrA8	21	24	8
NrA9	24	23	12
NrA10	10	5	8
