Name:		mgval_0.25_3A
Optimal value:	89
#Vehicles:	2
Capacity:	80
Depot Node:	1
#Nodes:		24
#Edges:		15
#Arcs:		33
#Required N:	9
#Required E:	11
#Required A:	24

ReN.	DEMAND	S. COST
N2	5	5
N3	2	2
N4	6	6
N6	3	3
N8	6	6
N12	3	3
N15	2	2
N19	2	2
N20	2	2

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E5	3	9	1	1	1
E6	13	17	3	5	5
E7	19	22	3	7	7
E8	17	18	1	3	3
E9	21	24	1	3	3
E10	10	11	3	5	5
E11	15	21	1	4	4
E12	22	23	3	4	4
E13	5	11	4	4	4
E14	5	6	3	5	5
E15	4	5	2	6	6

EDGE	FROM N.	TO N.	T. COST
NrE1	6	12	1
NrE2	12	13	1
NrE3	19	20	1
NrE4	12	16	1

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A10	14	8	3	4	4
A11	17	16	4	2	2
A12	8	14	3	3	3
A13	20	10	2	2	2
A14	1	3	1	1	1
A15	12	11	1	3	3
A16	15	16	1	1	1
A17	9	10	2	1	1
A18	10	5	2	2	2
A19	19	9	1	2	2
A20	18	14	3	6	6
A21	10	9	2	1	1
A22	16	15	1	2	2
A23	21	20	2	2	2
A24	23	20	1	4	4
A25	14	13	2	4	4
A26	6	7	3	2	2
A27	16	17	4	2	2
A28	24	23	1	5	5
A29	11	15	1	2	2
A30	5	10	2	2	2
A31	7	6	3	3	3
A32	10	20	2	2	2
A33	9	19	1	1	1

ARC	FROM N.	TO N.	T. COST
NrA1	20	21	2
NrA2	4	3	2
NrA3	1	2	2
NrA4	2	1	2
NrA5	2	4	1
NrA6	4	2	1
NrA7	3	1	1
NrA8	15	11	1
NrA9	8	7	1
