Name:		mgval_0.25_3B
Optimal value:	125
#Vehicles:	3
Capacity:	50
Depot Node:	1
#Nodes:		24
#Edges:		16
#Arcs:		29
#Required N:	8
#Required E:	12
#Required A:	21

ReN.	DEMAND	S. COST
N2	4	4
N3	3	3
N4	2	2
N5	10	10
N14	3	3
N15	7	7
N19	9	9
N24	2	2

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E5	16	17	4	4	4
E6	9	10	2	2	2
E7	23	24	1	5	5
E8	20	23	1	4	4
E9	10	11	3	5	5
E10	10	20	2	4	4
E11	5	10	2	4	4
E12	7	8	1	6	6
E13	2	4	1	3	3
E14	5	6	3	5	5
E15	12	16	1	1	1
E16	19	20	1	2	2

EDGE	FROM N.	TO N.	T. COST
NrE1	19	22	3
NrE2	15	21	1
NrE3	5	11	4
NrE4	1	2	2

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A9	18	14	3	3	3
A10	6	12	1	3	3
A11	6	7	3	2	2
A12	13	12	1	1	1
A13	17	13	3	5	5
A14	13	14	2	4	4
A15	3	4	2	2	2
A16	11	12	1	3	3
A17	11	15	1	2	2
A18	18	17	1	3	3
A19	3	9	1	1	1
A20	20	21	2	2	2
A21	22	23	3	4	4
A22	14	8	3	4	4
A23	15	11	1	2	2
A24	7	6	3	3	3
A25	21	20	2	2	2
A26	12	13	1	1	1
A27	8	14	3	3	3
A28	9	19	1	1	1
A29	21	24	1	1	1

ARC	FROM N.	TO N.	T. COST
NrA1	1	3	1
NrA2	24	21	1
NrA3	4	3	2
NrA4	5	4	2
NrA5	15	16	1
NrA6	19	9	1
NrA7	3	1	1
NrA8	14	18	3
