Name:		mgval_0.25_3C
Optimal value:	-1
#Vehicles:	7
Capacity:	20
Depot Node:	1
#Nodes:		24
#Edges:		18
#Arcs:		25
#Required N:	10
#Required E:	13
#Required A:	18

ReN.	DEMAND	S. COST
N2	1	1
N3	7	7
N5	9	9
N6	1	1
N10	4	4
N12	2	2
N13	1	1
N16	4	4
N20	2	2
N21	4	4

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E6	13	17	3	5	5
E7	11	15	1	4	4
E8	14	18	3	6	6
E9	1	2	2	4	4
E10	9	19	1	3	3
E11	21	24	1	3	3
E12	6	7	3	5	5
E13	15	21	1	4	4
E14	9	10	2	2	2
E15	22	23	3	4	4
E16	10	11	3	5	5
E17	8	14	3	7	7
E18	5	10	2	4	4

EDGE	FROM N.	TO N.	T. COST
NrE1	10	20	2
NrE2	1	3	1
NrE3	5	11	4
NrE4	16	17	4
NrE5	3	4	2

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A8	23	20	1	2	2
A9	11	12	1	1	1
A10	4	5	2	6	6
A11	9	3	1	1	1
A12	12	6	1	2	2
A13	8	7	1	3	3
A14	17	18	1	1	1
A15	16	15	1	2	2
A16	18	17	1	2	2
A17	12	13	1	1	1
A18	7	8	1	3	3
A19	23	24	1	5	5
A20	16	12	1	1	1
A21	22	19	3	7	7
A22	15	16	1	1	1
A23	19	20	1	2	2
A24	13	14	2	4	4
A25	4	2	1	2	2

ARC	FROM N.	TO N.	T. COST
NrA1	12	11	1
NrA2	21	20	2
NrA3	5	6	3
NrA4	6	12	1
NrA5	20	23	1
NrA6	13	12	1
NrA7	2	4	1
