Name:		mgval_0.25_4B
Optimal value:	-1
#Vehicles:	4
Capacity:	170
Depot Node:	1
#Nodes:		41
#Edges:		19
#Arcs:		83
#Required N:	20
#Required E:	14
#Required A:	62

ReN.	DEMAND	S. COST
N2	1	1
N3	16	16
N5	13	13
N6	4	4
N8	3	3
N10	4	4
N11	6	6
N12	9	9
N17	3	3
N18	14	14
N22	6	6
N23	4	4
N26	16	16
N28	13	13
N30	6	6
N34	17	17
N35	7	7
N36	19	19
N37	12	12
N41	2	2

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E6	33	37	2	4	4
E7	25	31	7	11	11
E8	38	39	9	10	10
E9	4	5	1	2	2
E10	2	8	10	20	20
E11	16	17	9	15	15
E12	29	30	3	6	6
E13	23	24	3	4	4
E14	14	15	3	8	8
E15	27	32	3	8	8
E16	24	25	4	7	7
E17	13	14	8	16	16
E18	31	32	5	9	9
E19	19	20	3	4	4

EDGE	FROM N.	TO N.	T. COST
NrE1	26	27	7
NrE2	3	4	7
NrE3	5	6	6
NrE4	3	9	1
NrE5	18	22	6

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A22	40	39	2	2	2
A23	2	1	1	1	1
A24	16	11	6	12	12
A25	5	11	4	4	4
A26	18	17	4	4	4
A27	13	23	7	7	7
A28	34	38	7	6	6
A29	26	32	7	6	6
A30	26	19	8	10	10
A31	21	27	1	3	3
A32	35	31	4	4	4
A33	38	34	7	6	6
A34	25	26	6	4	4
A35	16	15	3	3	3
A36	4	10	3	3	3
A37	39	40	2	1	1
A38	36	40	4	7	7
A39	31	30	12	10	10
A40	17	20	2	2	2
A41	40	41	4	2	2
A42	32	36	10	6	6
A43	35	34	2	2	2
A44	36	39	3	4	4
A45	24	30	8	6	6
A46	15	10	1	2	2
A47	39	35	10	7	7
A48	14	9	5	10	10
A49	1	7	5	7	7
A50	9	8	2	2	2
A51	10	4	3	4	4
A52	14	23	3	3	3
A53	34	35	2	2	2
A54	21	22	4	4	4
A55	23	29	5	14	14
A56	11	5	4	4	4
A57	7	1	5	8	8
A58	3	2	1	1	1
A59	32	26	7	7	7
A60	24	14	4	13	13
A61	27	20	5	4	4
A62	21	20	5	10	10
A63	11	10	4	4	4
A64	25	15	9	10	10
A65	2	3	1	1	1
A66	8	9	2	1	1
A67	31	35	4	3	3
A68	33	27	5	5	5
A69	15	25	9	9	9
A70	30	31	12	9	9
A71	15	16	3	3	3
A72	23	13	7	7	7
A73	20	17	2	2	2
A74	16	19	1	2	2
A75	20	27	5	4	4
A76	22	21	4	5	5
A77	10	9	3	6	6
A78	17	11	2	2	2
A79	27	33	5	4	4
A80	28	22	5	6	6
A81	37	41	5	9	9
A82	39	36	3	5	5
A83	7	13	7	14	14

ARC	FROM N.	TO N.	T. COST
NrA1	12	11	5
NrA2	26	25	6
NrA3	6	12	3
NrA4	8	7	2
NrA5	17	18	4
NrA6	23	14	3
NrA7	10	11	4
NrA8	28	27	7
NrA9	34	29	14
NrA10	11	17	2
NrA11	11	12	5
NrA12	22	28	5
NrA13	41	40	4
NrA14	35	39	10
NrA15	36	32	10
NrA16	30	24	8
NrA17	36	35	8
NrA18	1	2	1
NrA19	10	15	1
NrA20	37	36	8
NrA21	12	6	3
