Name:		mgval_0.25_4C
Optimal value:	-1
#Vehicles:	5
Capacity:	130
Depot Node:	1
#Nodes:		41
#Edges:		21
#Arcs:		82
#Required N:	24
#Required E:	15
#Required A:	61

ReN.	DEMAND	S. COST
N6	13	13
N7	7	7
N9	10	10
N11	10	10
N12	5	5
N13	8	8
N15	4	4
N16	6	6
N17	2	2
N18	14	14
N19	2	2
N21	3	3
N23	4	4
N25	4	4
N26	5	5
N27	8	8
N30	6	6
N31	4	4
N33	5	5
N34	6	6
N35	4	4
N36	10	10
N37	21	21
N40	4	4

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E7	30	31	12	19	19
E8	4	5	1	2	2
E9	27	28	7	13	13
E10	22	28	5	12	12
E11	17	18	4	7	7
E12	25	31	7	11	11
E13	26	27	7	11	11
E14	21	22	4	9	9
E15	35	39	10	14	14
E16	2	8	10	20	20
E17	16	17	9	15	15
E18	20	27	5	8	8
E19	5	11	4	8	8
E20	2	3	1	2	2
E21	38	39	9	10	10

EDGE	FROM N.	TO N.	T. COST
NrE1	21	27	1
NrE2	37	41	5
NrE3	18	22	6
NrE4	23	24	3
NrE5	40	41	4
NrE6	27	32	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A22	16	19	1	1	1
A23	20	19	3	2	2
A24	10	11	4	3	3
A25	32	36	10	6	6
A26	29	34	14	8	8
A27	25	24	4	4	4
A28	24	30	8	6	6
A29	31	35	4	3	3
A30	23	14	3	4	4
A31	1	2	1	1	1
A32	37	33	2	2	2
A33	7	1	5	8	8
A34	20	21	5	5	5
A35	17	11	2	4	4
A36	24	25	4	3	3
A37	4	3	7	8	8
A38	25	15	9	19	19
A39	39	40	2	3	3
A40	24	14	4	7	7
A41	9	3	1	1	1
A42	23	29	5	7	7
A43	11	12	5	4	4
A44	12	6	3	4	4
A45	9	10	3	3	3
A46	16	15	3	6	6
A47	7	8	2	3	3
A48	19	26	8	10	10
A49	36	40	4	7	7
A50	2	1	1	1	1
A51	10	9	3	3	3
A52	4	10	3	3	3
A53	14	13	8	8	8
A54	14	24	4	6	6
A55	26	32	7	6	6
A56	21	20	5	5	5
A57	33	37	2	2	2
A58	3	4	7	7	7
A59	10	4	3	4	4
A60	19	16	1	1	1
A61	38	34	7	6	6
A62	27	33	5	4	4
A63	36	32	10	7	7
A64	34	35	2	4	4
A65	13	7	7	7	7
A66	39	36	3	5	5
A67	23	13	7	7	7
A68	15	10	1	2	2
A69	32	31	5	5	5
A70	8	9	2	3	3
A71	10	15	1	1	1
A72	29	23	5	7	7
A73	30	29	3	6	6
A74	7	13	7	7	7
A75	6	12	3	4	4
A76	34	29	14	9	9
A77	14	23	3	3	3
A78	20	17	2	2	2
A79	35	36	8	6	6
A80	14	15	3	4	4
A81	32	26	7	7	7
A82	13	23	7	7	7

ARC	FROM N.	TO N.	T. COST
NrA1	6	5	6
NrA2	26	25	6
NrA3	33	27	5
NrA4	37	36	8
NrA5	1	7	5
NrA6	36	35	8
NrA7	25	26	6
NrA8	9	14	5
NrA9	31	32	5
NrA10	15	14	3
NrA11	11	10	4
NrA12	30	24	8
NrA13	36	39	3
NrA14	11	16	6
NrA15	16	11	6
NrA16	34	38	7
NrA17	17	20	2
NrA18	12	11	5
NrA19	13	14	8
NrA20	35	31	4
NrA21	19	20	3
