Name:		mgval_0.25_4D
Optimal value:	-1
#Vehicles:	9
Capacity:	75
Depot Node:	1
#Nodes:		41
#Edges:		21
#Arcs:		83
#Required N:	19
#Required E:	15
#Required A:	62

ReN.	DEMAND	S. COST
N2	1	1
N3	1	1
N9	16	16
N11	12	12
N12	9	9
N14	14	14
N15	3	3
N16	3	3
N17	7	7
N19	2	2
N20	4	4
N23	7	7
N24	9	9
N26	5	5
N27	3	3
N36	12	12
N37	10	10
N39	17	17
N41	2	2

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E7	3	9	1	1	1
E8	24	30	8	12	12
E9	30	31	12	19	19
E10	11	17	2	4	4
E11	20	21	5	10	10
E12	4	5	1	2	2
E13	8	9	2	3	3
E14	21	22	4	9	9
E15	25	31	7	11	11
E16	15	25	9	19	19
E17	5	6	6	13	13
E18	36	40	4	7	7
E19	10	11	4	7	7
E20	16	17	9	15	15
E21	27	32	3	8	8

EDGE	FROM N.	TO N.	T. COST
NrE1	17	18	4
NrE2	9	10	3
NrE3	24	25	4
NrE4	11	16	6
NrE5	9	14	5
NrE6	14	15	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A22	11	5	4	8	8
A23	18	22	6	14	14
A24	17	20	2	2	2
A25	7	8	2	1	1
A26	35	39	10	7	7
A27	27	26	7	11	11
A28	40	41	4	2	2
A29	19	16	1	1	1
A30	13	14	8	8	8
A31	4	10	3	7	7
A32	1	7	5	7	7
A33	6	12	3	4	4
A34	34	35	2	2	2
A35	30	29	3	3	3
A36	34	38	7	6	6
A37	15	10	1	2	2
A38	31	35	4	7	7
A39	1	2	1	2	2
A40	35	34	2	2	2
A41	22	28	5	6	6
A42	26	25	6	5	5
A43	19	26	8	5	5
A44	16	19	1	1	1
A45	28	22	5	6	6
A46	29	34	14	8	8
A47	20	17	2	2	2
A48	23	14	3	7	7
A49	27	20	5	4	4
A50	13	7	7	14	14
A51	27	33	5	4	4
A52	8	7	2	2	2
A53	23	29	5	7	7
A54	39	38	9	5	5
A55	33	27	5	5	5
A56	29	30	3	3	3
A57	29	23	5	7	7
A58	14	13	8	8	8
A59	41	37	5	5	5
A60	24	14	4	7	7
A61	10	15	1	1	1
A62	13	23	7	7	7
A63	32	36	10	6	6
A64	20	19	3	2	2
A65	37	41	5	4	4
A66	8	2	10	10	10
A67	2	8	10	10	10
A68	26	32	7	6	6
A69	40	39	2	2	2
A70	38	39	9	5	5
A71	25	26	6	4	4
A72	34	29	14	9	9
A73	3	4	7	7	7
A74	11	12	5	4	4
A75	23	24	3	2	2
A76	7	1	5	8	8
A77	32	26	7	7	7
A78	28	27	7	13	13
A79	36	32	10	7	7
A80	31	32	5	9	9
A81	38	34	7	6	6
A82	4	3	7	8	8
A83	35	36	8	6	6

ARC	FROM N.	TO N.	T. COST
NrA1	12	11	5
NrA2	24	23	3
NrA3	39	36	3
NrA4	39	40	2
NrA5	27	21	1
NrA6	36	37	8
NrA7	3	2	1
NrA8	15	16	3
NrA9	12	6	3
NrA10	20	27	5
NrA11	2	3	1
NrA12	16	15	3
NrA13	19	20	3
NrA14	23	13	7
NrA15	26	19	8
NrA16	36	35	8
NrA17	41	40	4
NrA18	39	35	10
NrA19	37	36	8
NrA20	14	24	4
NrA21	37	33	2
