Name:		mgval_0.25_5A
Optimal value:	485
#Vehicles:	3
Capacity:	220
Depot Node:	1
#Nodes:		34
#Edges:		22
#Arcs:		74
#Required N:	21
#Required E:	16
#Required A:	55

ReN.	DEMAND	S. COST
N2	6	6
N3	6	6
N4	3	3
N5	3	3
N6	18	18
N7	3	3
N8	7	7
N9	4	4
N11	3	3
N13	8	8
N15	4	4
N16	16	16
N19	15	15
N20	3	3
N21	14	14
N22	1	1
N26	2	2
N27	24	24
N28	9	9
N31	7	7
N33	2	2

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E7	8	9	7	8	8
E8	13	14	4	8	8
E9	20	21	2	3	3
E10	1	7	8	9	9
E11	28	33	3	8	8
E12	8	14	2	5	5
E13	10	11	8	12	12
E14	4	11	10	15	15
E15	27	32	5	6	6
E16	6	7	9	12	12
E17	19	20	6	12	12
E18	4	5	9	12	12
E19	16	17	5	8	8
E20	9	10	3	7	7
E21	30	31	6	8	8
E22	11	24	15	19	19

EDGE	FROM N.	TO N.	T. COST
NrE1	21	22	5
NrE2	2	3	5
NrE3	16	23	9
NrE4	27	28	10
NrE5	6	18	9
NrE6	28	34	2

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A20	27	26	4	3	3
A21	31	26	9	6	6
A22	26	25	9	8	8
A23	23	22	1	1	1
A24	23	24	5	3	3
A25	12	18	5	5	5
A26	19	12	4	9	9
A27	22	15	9	15	15
A28	9	15	5	4	4
A29	24	23	5	4	4
A30	17	24	9	13	13
A31	20	14	3	5	5
A32	30	25	5	6	6
A33	17	11	7	5	5
A34	25	26	9	8	8
A35	1	2	10	5	5
A36	16	15	5	9	9
A37	15	14	1	3	3
A38	18	29	9	15	15
A39	2	1	10	6	6
A40	19	25	5	3	3
A41	2	13	9	8	8
A42	3	10	2	8	8
A43	25	30	5	5	5
A44	28	23	5	3	3
A45	15	21	4	6	6
A46	18	12	5	6	6
A47	24	34	10	8	8
A48	4	3	3	4	4
A49	34	24	10	8	8
A50	11	17	7	4	4
A51	25	19	5	3	3
A52	28	22	4	4	4
A53	30	29	4	7	7
A54	2	8	8	6	6
A55	16	10	2	4	4
A56	1	6	2	2	2
A57	26	20	3	4	4
A58	25	29	7	4	4
A59	13	12	2	7	7
A60	10	4	4	3	3
A61	32	33	5	5	5
A62	14	20	3	5	5
A63	18	19	7	7	7
A64	29	25	7	5	5
A65	10	16	2	3	3
A66	22	28	4	4	4
A67	13	7	5	3	3
A68	14	15	1	3	3
A69	23	28	5	2	2
A70	12	6	7	11	11
A71	34	33	1	2	2
A72	33	32	5	5	5
A73	6	1	2	3	3
A74	26	31	9	6	6

ARC	FROM N.	TO N.	T. COST
NrA1	13	2	9
NrA2	19	18	7
NrA3	11	5	4
NrA4	19	13	6
NrA5	3	4	3
NrA6	26	27	4
NrA7	4	10	4
NrA8	33	34	1
NrA9	21	15	4
NrA10	8	2	8
NrA11	15	9	5
NrA12	3	9	6
NrA13	22	23	1
NrA14	27	21	7
NrA15	20	26	3
NrA16	9	3	6
NrA17	7	13	5
NrA18	5	11	4
NrA19	31	32	3
