Name:		mgval_0.25_5B
Optimal value:	-1
#Vehicles:	4
Capacity:	165
Depot Node:	1
#Nodes:		34
#Edges:		35
#Arcs:		56
#Required N:	18
#Required E:	26
#Required A:	42

ReN.	DEMAND	S. COST
N2	8	8
N3	10	10
N4	6	6
N6	2	2
N10	4	4
N12	12	12
N13	12	12
N14	3	3
N15	7	7
N17	13	13
N18	6	6
N19	5	5
N20	7	7
N23	15	15
N24	16	16
N25	12	12
N28	8	8
N29	5	5

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E10	6	18	9	18	18
E11	32	33	5	10	10
E12	30	31	6	8	8
E13	22	28	4	8	8
E14	29	30	4	7	7
E15	23	28	5	5	5
E16	19	25	5	6	6
E17	1	2	10	11	11
E18	6	12	7	11	11
E19	15	16	5	9	9
E20	19	20	6	12	12
E21	2	3	5	6	6
E22	18	19	7	14	14
E23	28	34	2	9	9
E24	3	10	2	8	8
E25	5	11	4	6	6
E26	25	30	5	11	11
E27	10	16	2	7	7
E28	9	15	5	8	8
E29	7	13	5	6	6
E30	1	7	8	9	9
E31	4	5	9	12	12
E32	4	11	10	15	15
E33	15	21	4	12	12
E34	22	23	1	2	2
E35	33	34	1	4	4

EDGE	FROM N.	TO N.	T. COST
NrE1	24	34	10
NrE2	3	4	3
NrE3	23	24	5
NrE4	4	10	4
NrE5	17	24	9
NrE6	13	19	6
NrE7	12	13	2
NrE8	20	26	3
NrE9	28	33	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A15	21	20	2	2	2
A16	9	8	7	4	4
A17	14	13	4	4	4
A18	10	11	8	6	6
A19	2	8	8	6	6
A20	8	2	8	7	7
A21	6	7	9	6	6
A22	22	15	9	8	8
A23	32	31	3	4	4
A24	22	21	5	4	4
A25	20	21	2	1	1
A26	12	19	4	4	4
A27	14	20	3	5	5
A28	9	3	6	4	4
A29	13	2	9	8	8
A30	9	10	3	3	3
A31	27	26	4	5	5
A32	8	9	7	4	4
A33	15	14	1	6	6
A34	20	14	3	5	5
A35	18	29	9	7	7
A36	28	27	10	7	7
A37	26	31	9	6	6
A38	11	24	15	9	9
A39	11	10	8	6	6
A40	24	11	15	10	10
A41	8	14	2	2	2
A42	11	17	7	4	4
A43	16	17	5	4	4
A44	17	11	7	5	5
A45	31	26	9	6	6
A46	26	25	9	8	8
A47	17	16	5	4	4
A48	21	27	7	11	11
A49	7	6	9	6	6
A50	16	23	9	8	8
A51	31	32	3	3	3
A52	27	28	10	6	6
A53	6	1	2	3	3
A54	29	18	9	8	8
A55	21	22	5	4	4
A56	27	32	5	6	6

ARC	FROM N.	TO N.	T. COST
NrA1	13	14	4
NrA2	15	22	9
NrA3	29	25	7
NrA4	19	12	4
NrA5	18	12	5
NrA6	25	26	9
NrA7	23	16	9
NrA8	3	9	6
NrA9	14	8	2
NrA10	25	29	7
NrA11	10	9	3
NrA12	1	6	2
NrA13	2	13	9
NrA14	12	18	5
