Name:		mgval_0.25_5C
Optimal value:	-1
#Vehicles:	5
Capacity:	130
Depot Node:	1
#Nodes:		34
#Edges:		17
#Arcs:		81
#Required N:	21
#Required E:	12
#Required A:	60

ReN.	DEMAND	S. COST
N2	6	6
N3	6	6
N4	12	12
N5	3	3
N6	2	2
N8	5	5
N9	4	4
N11	3	3
N12	9	9
N13	7	7
N15	7	7
N16	8	8
N20	10	10
N23	3	3
N24	7	7
N25	9	9
N26	13	13
N28	8	8
N29	15	15
N31	4	4
N34	2	2

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E6	12	18	5	11	11
E7	28	34	2	9	9
E8	4	10	4	6	6
E9	6	18	9	18	18
E10	22	23	1	2	2
E11	3	10	2	8	8
E12	9	10	3	7	7
E13	21	27	7	11	11
E14	8	9	7	8	8
E15	10	11	8	12	12
E16	24	34	10	16	16
E17	13	14	4	8	8

EDGE	FROM N.	TO N.	T. COST
NrE1	29	30	4
NrE2	20	26	3
NrE3	8	14	2
NrE4	12	19	4
NrE5	28	33	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A22	13	19	6	4	4
A23	17	11	7	9	9
A24	27	32	5	3	3
A25	1	7	8	9	9
A26	4	11	10	7	7
A27	25	30	5	5	5
A28	2	13	9	8	8
A29	25	26	9	8	8
A30	32	27	5	3	3
A31	18	19	7	7	7
A32	30	25	5	6	6
A33	27	28	10	13	13
A34	15	14	1	3	3
A35	7	13	5	3	3
A36	28	22	4	4	4
A37	16	23	9	16	16
A38	9	3	6	4	4
A39	33	34	1	2	2
A40	18	29	9	7	7
A41	16	15	5	5	5
A42	6	1	2	3	3
A43	2	3	5	3	3
A44	22	21	5	4	4
A45	11	24	15	19	19
A46	19	13	6	4	4
A47	10	16	2	3	3
A48	8	2	8	7	7
A49	15	16	5	4	4
A50	14	20	3	5	5
A51	14	15	1	3	3
A52	31	32	3	7	7
A53	21	22	5	4	4
A54	19	18	7	7	7
A55	20	14	3	5	5
A56	22	28	4	4	4
A57	20	19	6	6	6
A58	12	6	7	6	6
A59	3	9	6	3	3
A60	6	7	9	6	6
A61	15	21	4	6	6
A62	17	24	9	6	6
A63	24	23	5	4	4
A64	1	2	10	11	11
A65	12	13	2	3	3
A66	28	23	5	3	3
A67	31	26	9	12	12
A68	15	9	5	4	4
A69	33	32	5	10	10
A70	19	25	5	6	6
A71	13	2	9	8	8
A72	21	15	4	6	6
A73	11	4	10	8	8
A74	6	12	7	5	5
A75	7	6	9	6	6
A76	30	31	6	4	4
A77	23	28	5	2	2
A78	16	10	2	4	4
A79	19	20	6	6	6
A80	4	3	3	4	4
A81	22	15	9	8	8

ARC	FROM N.	TO N.	T. COST
NrA1	25	29	7
NrA2	26	27	4
NrA3	26	25	9
NrA4	31	30	6
NrA5	13	7	5
NrA6	5	11	4
NrA7	9	15	5
NrA8	34	33	1
NrA9	3	2	5
NrA10	2	8	8
NrA11	4	5	9
NrA12	29	18	9
NrA13	23	24	5
NrA14	13	12	2
NrA15	3	4	3
NrA16	20	21	2
NrA17	11	5	4
NrA18	24	17	9
NrA19	15	22	9
NrA20	16	17	5
NrA21	1	6	2
