Name:		mgval_0.25_5D
Optimal value:	-1
#Vehicles:	9
Capacity:	75
Depot Node:	1
#Nodes:		34
#Edges:		29
#Arcs:		63
#Required N:	17
#Required E:	21
#Required A:	47

ReN.	DEMAND	S. COST
N2	16	16
N4	4	4
N7	6	6
N9	4	4
N11	3	3
N13	19	19
N15	4	4
N18	7	7
N19	20	20
N21	14	14
N23	7	7
N24	10	10
N25	25	25
N28	4	4
N32	3	3
N33	4	4
N34	13	13

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E9	29	30	4	7	7
E10	4	11	10	15	15
E11	23	28	5	5	5
E12	6	12	7	11	11
E13	10	16	2	7	7
E14	3	9	6	7	7
E15	15	22	9	15	15
E16	1	2	10	11	11
E17	30	31	6	8	8
E18	28	33	3	8	8
E19	9	10	3	7	7
E20	16	17	5	8	8
E21	14	15	1	6	6
E22	12	19	4	9	9
E23	22	23	1	2	2
E24	26	31	9	12	12
E25	26	27	4	5	5
E26	4	10	4	6	6
E27	21	27	7	11	11
E28	12	13	2	7	7
E29	8	14	2	5	5

EDGE	FROM N.	TO N.	T. COST
NrE1	19	25	5
NrE2	13	19	6
NrE3	21	22	5
NrE4	25	26	9
NrE5	13	14	4
NrE6	33	34	1
NrE7	23	24	5
NrE8	2	13	9

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A17	10	11	8	6	6
A18	24	34	10	8	8
A19	20	26	3	3	3
A20	7	13	5	3	3
A21	3	4	3	3	3
A22	18	12	5	6	6
A23	32	33	5	5	5
A24	33	32	5	5	5
A25	1	6	2	2	2
A26	8	9	7	8	8
A27	27	32	5	3	3
A28	6	18	9	18	18
A29	5	4	9	12	12
A30	15	21	4	6	6
A31	6	7	9	6	6
A32	17	24	9	6	6
A33	3	2	5	6	6
A34	22	28	4	4	4
A35	29	25	7	5	5
A36	2	8	8	13	13
A37	19	20	6	6	6
A38	12	18	5	5	5
A39	28	34	2	4	4
A40	32	31	3	4	4
A41	1	7	8	4	4
A42	21	20	2	3	3
A43	11	24	15	9	9
A44	30	25	5	6	6
A45	5	11	4	3	3
A46	26	20	3	4	4
A47	27	28	10	6	6
A48	28	27	10	7	7
A49	10	3	2	4	4
A50	3	10	2	4	4
A51	14	20	3	5	5
A52	7	1	8	5	5
A53	31	32	3	3	3
A54	17	11	7	5	5
A55	20	19	6	6	6
A56	16	23	9	16	16
A57	20	14	3	5	5
A58	29	18	9	8	8
A59	16	15	5	9	9
A60	6	1	2	3	3
A61	24	17	9	7	7
A62	11	17	7	4	4
A63	11	10	8	6	6

ARC	FROM N.	TO N.	T. COST
NrA1	34	28	2
NrA2	13	7	5
NrA3	18	29	9
NrA4	7	6	9
NrA5	11	5	4
NrA6	32	27	5
NrA7	34	24	10
NrA8	28	22	4
NrA9	24	11	15
NrA10	21	15	4
NrA11	15	9	5
NrA12	19	18	7
NrA13	25	30	5
NrA14	25	29	7
NrA15	9	15	5
NrA16	4	3	3
