Name:		mgval_0.25_6A
Optimal value:	274
#Vehicles:	3
Capacity:	170
Depot Node:	1
#Nodes:		31
#Edges:		22
#Arcs:		47
#Required N:	16
#Required E:	16
#Required A:	35

ReN.	DEMAND	S. COST
N2	2	2
N3	5	5
N5	5	5
N7	7	7
N9	9	9
N11	6	6
N12	5	5
N13	14	14
N15	4	4
N17	5	5
N19	21	21
N23	6	6
N26	6	6
N27	3	3
N29	4	4
N31	6	6

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E7	24	27	2	5	5
E8	10	16	2	8	8
E9	14	15	5	7	7
E10	23	25	3	7	7
E11	5	31	1	4	4
E12	18	21	3	7	7
E13	23	24	3	10	10
E14	6	31	3	9	9
E15	1	30	4	12	12
E16	6	7	3	9	9
E17	25	28	5	12	12
E18	8	9	7	12	12
E19	19	21	3	8	8
E20	21	22	4	14	14
E21	1	7	10	13	13
E22	29	31	2	5	5

EDGE	FROM N.	TO N.	T. COST
NrE1	19	22	2
NrE2	23	26	2
NrE3	19	20	4
NrE4	13	19	6
NrE5	9	13	6
NrE6	3	9	2

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A13	13	12	4	7	7
A14	10	5	4	5	5
A15	2	1	2	3	3
A16	29	30	7	5	5
A17	10	14	1	2	2
A18	10	11	4	10	10
A19	27	29	2	4	4
A20	28	26	5	7	7
A21	3	4	5	6	6
A22	4	9	9	1	1
A23	2	3	1	14	14
A24	16	17	2	4	4
A25	1	31	3	2	2
A26	5	6	3	4	4
A27	6	5	3	4	4
A28	4	3	5	6	6
A29	6	11	2	6	6
A30	28	29	3	4	4
A31	20	22	5	5	5
A32	9	4	9	2	2
A33	12	8	8	14	14
A34	4	13	3	8	8
A35	16	15	3	4	4
A36	18	12	5	6	6
A37	8	7	3	7	7
A38	17	11	4	10	10
A39	2	8	6	7	7
A40	22	20	5	6	6
A41	18	19	5	9	9
A42	30	29	7	5	5
A43	29	28	3	5	5
A44	8	2	6	7	7
A45	12	18	5	6	6
A46	11	12	5	4	4
A47	14	10	1	2	2

ARC	FROM N.	TO N.	T. COST
NrA1	7	8	3
NrA2	31	1	3
NrA3	26	28	5
NrA4	5	10	4
NrA5	1	2	2
NrA6	31	28	3
NrA7	11	6	2
NrA8	15	16	3
NrA9	17	16	2
NrA10	29	27	2
NrA11	12	11	5
NrA12	27	26	1
