Name:		mgval_0.25_6B
Optimal value:	-1
#Vehicles:	4
Capacity:	120
Depot Node:	1
#Nodes:		31
#Edges:		22
#Arcs:		44
#Required N:	14
#Required E:	16
#Required A:	33

ReN.	DEMAND	S. COST
N6	17	17
N9	9	9
N10	8	8
N11	12	12
N12	12	12
N13	7	7
N16	4	4
N18	3	3
N19	9	9
N23	13	13
N24	2	2
N26	3	3
N28	7	7
N29	13	13

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E7	19	20	4	12	12
E8	4	13	3	8	8
E9	18	19	5	9	9
E10	20	22	5	11	11
E11	21	22	4	14	14
E12	1	2	2	5	5
E13	28	31	3	4	4
E14	1	30	4	12	12
E15	23	25	3	7	7
E16	11	12	5	9	9
E17	1	7	10	13	13
E18	6	31	3	9	9
E19	11	17	4	10	10
E20	5	10	4	10	10
E21	2	3	1	14	14
E22	3	9	2	5	5

EDGE	FROM N.	TO N.	T. COST
NrE1	23	24	3
NrE2	12	18	5
NrE3	19	22	2
NrE4	9	13	6
NrE5	10	16	2
NrE6	6	7	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A12	11	10	4	5	5
A13	19	13	6	7	7
A14	29	31	2	5	5
A15	26	28	5	6	6
A16	29	30	7	10	10
A17	8	9	7	6	6
A18	17	16	2	5	5
A19	9	4	9	3	3
A20	13	12	4	7	7
A21	15	14	5	4	4
A22	14	10	1	4	4
A23	28	25	5	6	6
A24	4	3	5	6	6
A25	31	1	3	2	2
A26	12	8	8	14	14
A27	25	28	5	6	6
A28	9	8	7	6	6
A29	10	11	4	5	5
A30	16	15	3	8	8
A31	27	26	1	2	2
A32	8	7	3	14	14
A33	14	15	5	3	3
A34	26	27	1	1	1
A35	19	21	3	4	4
A36	3	4	5	6	6
A37	27	24	2	3	3
A38	8	2	6	7	7
A39	1	31	3	2	2
A40	2	8	6	7	7
A41	21	18	3	4	4
A42	5	31	1	4	4
A43	27	29	2	4	4
A44	21	19	3	4	4

ARC	FROM N.	TO N.	T. COST
NrA1	13	19	6
NrA2	6	5	3
NrA3	11	6	2
NrA4	18	21	3
NrA5	24	27	2
NrA6	29	28	3
NrA7	23	26	2
NrA8	16	17	2
NrA9	26	23	2
NrA10	29	27	2
NrA11	28	26	5
