Name:		mgval_0.25_7A
Optimal value:	297
#Vehicles:	3
Capacity:	200
Depot Node:	1
#Nodes:		40
#Edges:		36
#Arcs:		50
#Required N:	20
#Required E:	27
#Required A:	37

ReN.	DEMAND	S. COST
N2	12	12
N3	3	3
N5	4	4
N6	7	7
N8	25	25
N11	10	10
N13	4	4
N15	8	8
N18	13	13
N20	6	6
N22	1	1
N26	4	4
N27	11	11
N28	15	15
N29	9	9
N30	5	5
N31	12	12
N36	6	6
N37	7	7
N38	5	5

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E10	17	18	5	8	8
E11	13	18	2	5	5
E12	23	24	2	7	7
E13	31	37	5	7	7
E14	1	40	4	10	10
E15	33	34	3	8	8
E16	27	34	3	9	9
E17	3	4	2	5	5
E18	12	17	4	8	8
E19	2	6	2	8	8
E20	1	33	4	9	9
E21	1	2	2	3	3
E22	29	30	3	12	12
E23	7	13	1	3	3
E24	1	10	8	12	12
E25	20	23	3	8	8
E26	20	21	2	3	3
E27	14	15	4	7	7
E28	8	40	5	8	8
E29	26	33	5	14	14
E30	38	39	7	9	9
E31	21	22	1	4	4
E32	34	35	6	8	8
E33	5	39	2	6	6
E34	3	37	4	6	6
E35	21	24	3	6	6
E36	9	10	2	6	6

EDGE	FROM N.	TO N.	T. COST
NrE1	31	32	5
NrE2	2	36	3
NrE3	18	22	6
NrE4	11	16	3
NrE5	27	28	3
NrE6	15	16	3
NrE7	29	36	4
NrE8	6	7	4
NrE9	28	35	10

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A14	38	4	3	2	2
A15	6	12	2	2	2
A16	10	16	4	4	4
A17	17	13	2	3	3
A18	17	20	6	6	6
A19	35	36	6	7	7
A20	9	15	2	4	4
A21	19	13	6	12	12
A22	31	38	4	4	4
A23	25	24	2	3	3
A24	1	11	3	12	12
A25	31	30	3	5	5
A26	12	6	2	2	2
A27	16	10	4	4	4
A28	13	17	2	3	3
A29	27	26	4	4	4
A30	12	11	7	5	5
A31	25	22	1	2	2
A32	26	34	5	8	8
A33	1	35	4	6	6
A34	1	6	3	8	8
A35	35	1	4	6	6
A36	36	35	6	7	7
A37	38	37	2	4	4
A38	15	9	2	5	5
A39	4	5	3	3	3
A40	11	12	7	4	4
A41	18	19	4	14	14
A42	3	2	5	5	5
A43	12	13	6	4	4
A44	30	37	3	5	5
A45	9	8	5	6	6
A46	32	39	2	8	8
A47	34	26	5	8	8
A48	24	25	2	2	2
A49	2	3	5	4	4
A50	4	38	3	2	2

ARC	FROM N.	TO N.	T. COST
NrA1	26	27	4
NrA2	8	14	7
NrA3	1	8	4
NrA4	22	25	1
NrA5	13	12	6
NrA6	37	36	4
NrA7	36	37	4
NrA8	8	9	5
NrA9	20	17	6
NrA10	38	31	4
NrA11	3	7	2
NrA12	30	31	3
NrA13	5	4	3
