Name:		mgval_0.25_7B
Optimal value:	355
#Vehicles:	4
Capacity:	150
Depot Node:	1
#Nodes:		40
#Edges:		25
#Arcs:		66
#Required N:	18
#Required E:	18
#Required A:	49

ReN.	DEMAND	S. COST
N3	3	3
N5	3	3
N6	8	8
N7	4	4
N9	3	3
N10	11	11
N12	12	12
N13	11	11
N15	7	7
N18	27	27
N20	4	4
N21	3	3
N24	2	2
N28	13	13
N31	9	9
N36	5	5
N37	3	3
N40	10	10

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E8	37	38	2	4	4
E9	6	12	2	4	4
E10	17	18	5	8	8
E11	27	34	3	9	9
E12	26	33	5	14	14
E13	30	31	3	10	10
E14	4	38	3	4	4
E15	7	13	1	3	3
E16	13	19	6	12	12
E17	23	24	2	7	7
E18	15	16	3	8	8
E19	1	35	4	12	12
E20	21	24	3	6	6
E21	11	16	3	10	10
E22	1	8	4	9	9
E23	1	10	8	12	12
E24	3	37	4	6	6
E25	4	5	3	7	7

EDGE	FROM N.	TO N.	T. COST
NrE1	13	18	2
NrE2	10	16	4
NrE3	3	7	2
NrE4	13	17	2
NrE5	1	40	4
NrE6	18	22	6
NrE7	31	38	4

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A18	1	2	2	1	1
A19	33	34	3	8	8
A20	33	1	4	9	9
A21	30	29	3	12	12
A22	36	37	4	6	6
A23	39	5	2	3	3
A24	12	11	7	5	5
A25	8	40	5	8	8
A26	27	28	3	5	5
A27	21	22	1	4	4
A28	26	34	5	8	8
A29	36	35	6	7	7
A30	29	36	4	4	4
A31	39	38	7	9	9
A32	2	3	5	4	4
A33	23	20	3	4	4
A34	31	37	5	3	3
A35	14	8	7	5	5
A36	3	4	2	2	2
A37	35	34	6	8	8
A38	37	36	4	7	7
A39	35	36	6	7	7
A40	3	2	5	5	5
A41	6	2	2	4	4
A42	2	36	3	12	12
A43	6	7	4	3	3
A44	11	12	7	4	4
A45	26	27	4	8	8
A46	30	37	3	2	2
A47	37	31	5	4	4
A48	35	28	10	8	8
A49	20	17	6	12	12
A50	22	25	1	1	1
A51	31	32	5	6	6
A52	8	9	5	12	12
A53	32	31	5	6	6
A54	4	3	2	3	3
A55	2	1	2	2	2
A56	15	9	2	5	5
A57	25	22	1	2	2
A58	39	32	2	4	4
A59	13	12	6	4	4
A60	25	24	2	3	3
A61	1	11	3	12	12
A62	9	15	2	4	4
A63	2	6	2	4	4
A64	34	26	5	8	8
A65	8	14	7	5	5
A66	32	39	2	4	4

ARC	FROM N.	TO N.	T. COST
NrA1	15	14	4
NrA2	5	39	2
NrA3	7	6	4
NrA4	21	20	2
NrA5	10	9	2
NrA6	28	27	3
NrA7	9	10	2
NrA8	12	13	6
NrA9	20	23	3
NrA10	28	35	10
NrA11	24	25	2
NrA12	18	19	4
NrA13	37	30	3
NrA14	6	1	3
NrA15	1	6	3
NrA16	12	17	4
NrA17	36	29	4
