Name:		mgval_0.25_7C
Optimal value:	-1
#Vehicles:	9
Capacity:	65
Depot Node:	1
#Nodes:		40
#Edges:		28
#Arcs:		62
#Required N:	18
#Required E:	21
#Required A:	46

ReN.	DEMAND	S. COST
N2	4	4
N3	5	5
N4	4	4
N6	7	7
N7	4	4
N8	10	10
N11	4	4
N12	8	8
N13	14	14
N15	4	4
N18	8	8
N20	12	12
N21	3	3
N23	7	7
N24	3	3
N26	23	23
N28	6	6
N29	21	21

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E8	2	36	3	12	12
E9	18	22	6	13	13
E10	3	7	2	3	3
E11	31	38	4	9	9
E12	35	36	6	14	14
E13	27	34	3	9	9
E14	24	25	2	5	5
E15	18	19	4	14	14
E16	14	15	4	7	7
E17	22	25	1	3	3
E18	1	6	3	8	8
E19	33	34	3	8	8
E20	11	16	3	10	10
E21	12	17	4	8	8
E22	32	39	2	8	8
E23	26	27	4	8	8
E24	20	23	3	8	8
E25	1	33	4	9	9
E26	1	35	4	12	12
E27	1	10	8	12	12
E28	7	13	1	3	3

EDGE	FROM N.	TO N.	T. COST
NrE1	23	24	2
NrE2	29	30	3
NrE3	26	34	5
NrE4	4	38	3
NrE5	8	14	7
NrE6	13	19	6
NrE7	29	36	4

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A17	28	35	10	7	7
A18	37	3	4	3	3
A19	5	4	3	7	7
A20	33	26	5	7	7
A21	21	22	1	2	2
A22	1	40	4	5	5
A23	34	35	6	4	4
A24	15	9	2	9	9
A25	21	24	3	3	3
A26	40	1	4	5	5
A27	9	8	5	6	6
A28	5	39	2	3	3
A29	1	2	2	1	1
A30	8	9	5	6	6
A31	38	37	2	2	2
A32	38	39	7	4	4
A33	35	34	6	4	4
A34	35	28	10	8	8
A35	17	13	2	6	6
A36	10	9	2	3	3
A37	31	30	3	5	5
A38	1	8	4	9	9
A39	12	6	2	2	2
A40	27	28	3	5	5
A41	32	31	5	12	12
A42	6	12	2	2	2
A43	30	31	3	5	5
A44	11	1	3	6	6
A45	22	21	1	2	2
A46	16	10	4	8	8
A47	9	10	2	3	3
A48	16	15	3	4	4
A49	37	36	4	7	7
A50	37	30	3	5	5
A51	12	11	7	5	5
A52	1	11	3	6	6
A53	2	3	5	9	9
A54	39	5	2	3	3
A55	39	38	7	5	5
A56	31	37	5	7	7
A57	18	13	2	3	3
A58	36	37	4	6	6
A59	37	38	2	2	2
A60	2	1	2	2	2
A61	8	40	5	8	8
A62	4	3	2	3	3

ARC	FROM N.	TO N.	T. COST
NrA1	13	18	2
NrA2	7	6	4
NrA3	15	16	3
NrA4	18	17	5
NrA5	2	6	2
NrA6	12	13	6
NrA7	28	27	3
NrA8	3	37	4
NrA9	20	17	6
NrA10	26	33	5
NrA11	24	21	3
NrA12	11	12	7
NrA13	21	20	2
NrA14	6	7	4
NrA15	3	4	2
NrA16	6	2	2
