Name:		mgval_0.25_8A
Optimal value:	-1
#Vehicles:	3
Capacity:	200
Depot Node:	1
#Nodes:		30
#Edges:		20
#Arcs:		76
#Required N:	16
#Required E:	15
#Required A:	57

ReN.	DEMAND	S. COST
N2	3	3
N4	2	2
N5	6	6
N6	3	3
N7	7	7
N8	26	26
N9	20	20
N12	9	9
N15	11	11
N18	4	4
N19	6	6
N20	9	9
N21	4	4
N25	7	7
N28	13	13
N30	7	7

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E6	13	16	8	10	10
E7	8	14	7	12	12
E8	8	9	7	18	18
E9	22	25	2	6	6
E10	14	17	4	8	8
E11	23	30	3	5	5
E12	7	8	8	9	9
E13	18	23	3	7	7
E14	16	20	3	5	5
E15	22	29	4	7	7
E16	1	2	4	9	9
E17	6	11	7	10	10
E18	5	8	8	11	11
E19	26	30	3	4	4
E20	17	18	5	10	10

EDGE	FROM N.	TO N.	T. COST
NrE1	28	29	7
NrE2	25	29	3
NrE3	1	9	10
NrE4	8	13	6
NrE5	8	15	10

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A20	14	13	5	4	4
A21	9	2	5	4	4
A22	26	18	9	6	6
A23	18	26	9	6	6
A24	3	2	3	3	3
A25	3	10	6	6	6
A26	20	21	7	4	4
A27	13	14	5	4	4
A28	19	10	10	6	6
A29	29	30	6	6	6
A30	6	4	3	4	4
A31	11	12	5	7	7
A32	29	21	8	5	5
A33	7	6	3	3	3
A34	8	1	7	5	5
A35	13	12	3	3	3
A36	16	17	9	6	6
A37	15	18	3	3	3
A38	22	23	10	12	12
A39	28	21	5	4	4
A40	22	21	5	7	7
A41	21	28	5	4	4
A42	24	20	2	3	3
A43	17	16	9	7	7
A44	24	28	2	3	3
A45	13	17	7	6	6
A46	21	29	8	5	5
A47	20	27	5	4	4
A48	26	23	7	5	5
A49	27	24	5	5	5
A50	22	17	5	6	6
A51	30	25	1	2	2
A52	27	20	5	4	4
A53	16	12	6	5	5
A54	19	18	2	3	3
A55	18	19	2	3	3
A56	17	13	7	6	6
A57	16	21	7	4	4
A58	1	8	7	5	5
A59	11	16	5	12	12
A60	10	19	10	6	6
A61	28	27	10	6	6
A62	21	20	7	5	5
A63	15	19	7	5	5
A64	23	26	7	5	5
A65	4	6	3	4	4
A66	1	5	3	7	7
A67	24	27	5	4	4
A68	27	28	10	5	5
A69	10	9	3	10	10
A70	4	5	5	5	5
A71	14	15	9	10	10
A72	24	21	5	6	6
A73	2	9	5	4	4
A74	12	16	6	4	4
A75	11	20	10	6	6
A76	10	3	6	6	6

ARC	FROM N.	TO N.	T. COST
NrA1	12	13	3
NrA2	5	4	5
NrA3	9	15	3
NrA4	2	3	3
NrA5	7	12	8
NrA6	15	10	5
NrA7	12	7	8
NrA8	7	4	1
NrA9	15	9	3
NrA10	25	30	1
NrA11	4	7	1
NrA12	19	15	7
NrA13	18	15	3
NrA14	6	7	3
NrA15	30	29	6
NrA16	21	16	7
NrA17	20	24	2
NrA18	20	11	10
NrA19	28	24	2
