Name:		mgval_0.25_8B
Optimal value:	-1
#Vehicles:	4
Capacity:	150
Depot Node:	1
#Nodes:		30
#Edges:		27
#Arcs:		64
#Required N:	16
#Required E:	20
#Required A:	48

ReN.	DEMAND	S. COST
N2	10	10
N3	6	6
N4	4	4
N6	3	3
N8	29	29
N10	5	5
N11	3	3
N13	5	5
N15	18	18
N16	13	13
N20	4	4
N22	3	3
N23	4	4
N27	9	9
N28	21	21
N29	16	16

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E8	22	29	4	7	7
E9	10	19	10	12	12
E10	22	23	10	12	12
E11	18	19	2	6	6
E12	1	2	4	9	9
E13	20	24	2	5	5
E14	23	26	7	10	10
E15	16	17	9	13	13
E16	6	11	7	10	10
E17	13	14	5	8	8
E18	7	12	8	11	11
E19	4	5	5	11	11
E20	10	15	5	7	7
E21	14	15	9	10	10
E22	26	30	3	4	4
E23	12	13	3	6	6
E24	8	14	7	12	12
E25	21	29	8	10	10
E26	13	17	7	12	12
E27	14	17	4	8	8

EDGE	FROM N.	TO N.	T. COST
NrE1	28	29	7
NrE2	29	30	6
NrE3	8	9	7
NrE4	15	19	7
NrE5	16	21	7
NrE6	4	7	1
NrE7	15	18	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A17	21	20	7	5	5
A18	22	21	5	4	4
A19	17	22	5	3	3
A20	11	16	5	6	6
A21	7	6	3	3	3
A22	18	26	9	6	6
A23	1	9	10	16	16
A24	12	11	5	4	4
A25	18	23	3	3	3
A26	17	18	5	5	5
A27	4	6	3	8	8
A28	7	8	8	4	4
A29	30	23	3	3	3
A30	26	18	9	6	6
A31	9	2	5	4	4
A32	21	28	5	4	4
A33	8	1	7	5	5
A34	16	11	5	6	6
A35	27	20	5	4	4
A36	5	1	3	4	4
A37	30	25	1	2	2
A38	16	12	6	5	5
A39	9	15	3	4	4
A40	21	22	5	3	3
A41	10	3	6	6	6
A42	8	13	6	5	5
A43	25	29	3	2	2
A44	21	24	5	3	3
A45	5	8	8	5	5
A46	12	16	6	4	4
A47	1	5	3	3	3
A48	24	28	2	3	3
A49	28	21	5	4	4
A50	23	30	3	2	2
A51	20	27	5	4	4
A52	25	22	2	6	6
A53	15	9	3	4	4
A54	9	10	3	5	5
A55	16	20	3	2	2
A56	24	21	5	3	3
A57	15	8	10	16	16
A58	28	24	2	3	3
A59	8	7	8	5	5
A60	13	16	8	5	5
A61	20	16	3	3	3
A62	18	17	5	5	5
A63	25	30	1	2	2
A64	20	11	10	13	13

ARC	FROM N.	TO N.	T. COST
NrA1	13	8	6
NrA2	6	7	3
NrA3	8	5	8
NrA4	10	9	3
NrA5	28	27	10
NrA6	3	10	6
NrA7	2	9	5
NrA8	20	21	7
NrA9	29	25	3
NrA10	23	18	3
NrA11	27	24	5
NrA12	22	17	5
NrA13	1	8	7
NrA14	16	13	8
NrA15	2	3	3
NrA16	11	12	5
