Name:		mgval_0.25_8C
Optimal value:	-1
#Vehicles:	9
Capacity:	65
Depot Node:	1
#Nodes:		30
#Edges:		28
#Arcs:		55
#Required N:	16
#Required E:	21
#Required A:	41

ReN.	DEMAND	S. COST
N2	4	4
N4	2	2
N6	13	13
N7	2	2
N8	18	18
N9	20	20
N10	7	7
N11	6	6
N16	11	11
N17	22	22
N20	8	8
N21	5	5
N22	6	6
N26	16	16
N28	5	5
N30	5	5

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E8	12	13	3	6	6
E9	1	8	7	10	10
E10	16	21	7	8	8
E11	11	20	10	13	13
E12	20	24	2	5	5
E13	1	5	3	7	7
E14	24	27	5	9	9
E15	5	8	8	11	11
E16	3	10	6	12	12
E17	24	28	2	6	6
E18	21	28	5	8	8
E19	10	19	10	12	12
E20	16	17	9	13	13
E21	14	15	9	10	10
E22	17	22	5	6	6
E23	27	28	10	11	11
E24	15	19	7	11	11
E25	7	8	8	9	9
E26	4	6	3	8	8
E27	1	2	4	9	9
E28	18	19	2	6	6

EDGE	FROM N.	TO N.	T. COST
NrE1	22	25	2
NrE2	26	30	3
NrE3	8	9	7
NrE4	20	27	5
NrE5	10	15	5
NrE6	1	9	10
NrE7	17	18	5

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A15	15	9	3	4	4
A16	21	29	8	5	5
A17	23	22	10	12	12
A18	8	13	6	5	5
A19	25	29	3	5	5
A20	4	5	5	11	11
A21	16	13	8	5	5
A22	10	9	3	5	5
A23	12	16	6	4	4
A24	14	8	7	6	6
A25	14	13	5	8	8
A26	7	6	3	3	3
A27	11	12	5	3	3
A28	3	2	3	3	3
A29	13	8	6	5	5
A30	8	14	7	6	6
A31	18	15	3	7	7
A32	29	22	4	4	4
A33	17	14	4	4	4
A34	30	29	6	7	7
A35	26	23	7	10	10
A36	20	21	7	4	4
A37	23	18	3	7	7
A38	20	16	3	5	5
A39	29	30	6	6	6
A40	21	22	5	3	3
A41	15	8	10	16	16
A42	14	17	4	4	4
A43	13	16	8	5	5
A44	2	3	3	3	3
A45	22	29	4	3	3
A46	12	11	5	4	4
A47	29	28	7	5	5
A48	9	10	3	5	5
A49	9	2	5	4	4
A50	21	24	5	6	6
A51	29	21	8	5	5
A52	7	12	8	11	11
A53	25	30	1	2	2
A54	30	25	1	2	2
A55	22	21	5	4	4

ARC	FROM N.	TO N.	T. COST
NrA1	17	13	7
NrA2	6	7	3
NrA3	21	20	7
NrA4	28	29	7
NrA5	26	18	9
NrA6	16	11	5
NrA7	16	12	6
NrA8	6	11	7
NrA9	7	4	1
NrA10	9	15	3
NrA11	30	23	3
NrA12	4	7	1
NrA13	2	9	5
NrA14	11	16	5
