Name:		mgval_0.25_9A
Optimal value:	-1
#Vehicles:	3
Capacity:	235
Depot Node:	1
#Nodes:		50
#Edges:		32
#Arcs:		100
#Required N:	23
#Required E:	24
#Required A:	75

ReN.	DEMAND	S. COST
N3	7	7
N6	4	4
N7	12	12
N9	4	4
N10	10	10
N11	9	9
N14	5	5
N15	7	7
N17	14	14
N22	8	8
N23	7	7
N26	6	6
N31	9	9
N32	4	4
N35	4	4
N37	6	6
N38	5	5
N39	14	14
N42	2	2
N45	9	9
N47	5	5
N48	5	5
N50	4	4

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E9	28	36	5	8	8
E10	28	29	5	8	8
E11	6	11	3	6	6
E12	29	37	3	7	7
E13	8	9	5	10	10
E14	19	32	7	16	16
E15	21	26	2	4	4
E16	21	22	2	4	4
E17	35	43	6	14	14
E18	2	5	2	4	4
E19	43	44	4	10	10
E20	39	40	4	10	10
E21	18	19	1	2	2
E22	34	42	4	10	10
E23	16	17	3	7	7
E24	23	28	2	4	4
E25	23	24	2	5	5
E26	25	33	1	4	4
E27	10	17	4	8	8
E28	43	48	7	12	12
E29	36	44	5	10	10
E30	24	29	2	6	6
E31	44	45	2	5	5
E32	25	26	2	4	4

EDGE	FROM N.	TO N.	T. COST
NrE1	26	34	4
NrE2	35	36	2
NrE3	11	18	3
NrE4	10	11	2
NrE5	31	39	4
NrE6	17	30	6
NrE7	7	12	2
NrE8	45	50	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A26	1	5	3	12	12
A27	9	13	4	12	12
A28	50	49	2	8	8
A29	14	22	4	8	8
A30	18	17	1	3	3
A31	10	1	4	7	7
A32	36	38	1	1	1
A33	1	15	4	4	4
A34	24	30	3	5	5
A35	16	15	4	5	5
A36	15	24	2	4	4
A37	40	32	2	2	2
A38	13	22	4	5	5
A39	35	34	1	3	3
A40	30	29	1	2	2
A41	46	45	2	2	2
A42	9	14	1	1	1
A43	32	40	2	2	2
A44	33	41	4	5	5
A45	5	6	2	4	4
A46	39	30	2	5	5
A47	47	39	5	7	7
A48	15	16	4	5	5
A49	13	8	6	6	6
A50	38	30	3	2	2
A51	21	20	1	3	3
A52	28	27	1	2	2
A53	25	20	3	3	3
A54	4	7	3	3	3
A55	13	21	1	1	1
A56	49	48	4	5	5
A57	38	46	3	6	6
A58	7	4	3	3	3
A59	27	26	3	3	3
A60	26	27	3	2	2
A61	46	38	3	6	6
A62	17	31	4	15	15
A63	8	13	6	5	5
A64	17	24	4	6	6
A65	27	35	2	3	3
A66	40	47	3	5	5
A67	41	42	2	2	2
A68	48	45	5	6	6
A69	4	3	3	6	6
A70	11	12	2	2	2
A71	41	33	4	6	6
A72	14	9	1	2	2
A73	21	13	1	2	2
A74	22	13	4	5	5
A75	43	42	2	5	5
A76	45	48	5	6	6
A77	22	23	5	4	4
A78	44	37	3	4	4
A79	1	9	3	3	3
A80	29	23	4	2	2
A81	12	19	4	8	8
A82	20	25	3	2	2
A83	29	30	1	2	2
A84	12	11	2	3	3
A85	14	15	3	2	2
A86	15	23	1	1	1
A87	35	27	2	4	4
A88	33	34	2	4	4
A89	49	45	3	8	8
A90	1	16	4	6	6
A91	6	7	3	3	3
A92	20	21	1	2	2
A93	2	3	2	1	1
A94	3	2	2	2	2
A95	27	28	1	1	1
A96	24	17	4	6	6
A97	10	5	2	5	5
A98	16	1	4	6	6
A99	30	38	3	2	2
A100	34	35	1	2	2

ARC	FROM N.	TO N.	T. COST
NrA1	15	14	3
NrA2	37	44	3
NrA3	14	23	2
NrA4	9	1	3
NrA5	31	32	2
NrA6	48	49	4
NrA7	47	40	3
NrA8	42	41	2
NrA9	45	46	2
NrA10	15	1	4
NrA11	50	46	2
NrA12	39	47	5
NrA13	23	29	4
NrA14	38	37	2
NrA15	22	28	4
NrA16	3	6	4
NrA17	6	5	2
NrA18	32	31	2
NrA19	39	38	3
NrA20	38	36	1
NrA21	23	15	1
NrA22	7	6	3
NrA23	37	38	2
NrA24	1	10	4
NrA25	23	22	5
