Name:		mgval_0.25_9B
Optimal value:	-1
#Vehicles:	4
Capacity:	175
Depot Node:	1
#Nodes:		50
#Edges:		44
#Arcs:		76
#Required N:	22
#Required E:	33
#Required A:	57

ReN.	DEMAND	S. COST
N2	4	4
N6	7	7
N9	10	10
N10	13	13
N11	4	4
N15	10	10
N17	19	19
N18	7	7
N21	2	2
N23	7	7
N24	5	5
N25	7	7
N26	6	6
N29	10	10
N34	2	2
N35	7	7
N39	5	5
N40	5	5
N42	5	5
N45	15	15
N48	10	10
N49	8	8

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E12	7	12	2	8	8
E13	28	36	5	8	8
E14	37	44	3	8	8
E15	45	46	2	4	4
E16	3	6	4	7	7
E17	43	44	4	10	10
E18	39	47	5	14	14
E19	15	23	1	3	3
E20	14	22	4	8	8
E21	6	11	3	6	6
E22	32	40	2	4	4
E23	43	48	7	12	12
E24	3	4	3	6	6
E25	11	12	2	5	5
E26	26	27	3	5	5
E27	31	32	2	7	7
E28	16	17	3	7	7
E29	10	11	2	4	4
E30	40	47	3	10	10
E31	10	17	4	8	8
E32	34	42	4	10	10
E33	35	36	2	4	4
E34	14	15	3	5	5
E35	19	32	7	16	16
E36	38	46	3	12	12
E37	14	23	2	5	5
E38	41	42	2	4	4
E39	12	19	4	8	8
E40	38	39	3	7	7
E41	46	50	2	4	4
E42	31	39	4	6	6
E43	15	24	2	4	4
E44	5	10	2	5	5

EDGE	FROM N.	TO N.	T. COST
NrE1	26	34	4
NrE2	17	24	4
NrE3	25	33	1
NrE4	15	16	4
NrE5	23	29	4
NrE6	2	5	2
NrE7	48	49	4
NrE8	6	7	3
NrE9	42	43	2
NrE10	1	9	3
NrE11	1	10	4

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A20	20	25	3	2	2
A21	27	28	1	1	1
A22	22	13	4	5	5
A23	39	40	4	5	5
A24	23	22	5	4	4
A25	13	8	6	11	11
A26	45	44	2	5	5
A27	5	1	3	12	12
A28	36	38	1	1	1
A29	1	15	4	4	4
A30	43	35	6	14	14
A31	38	37	2	5	5
A32	13	9	4	12	12
A33	21	26	2	4	4
A34	22	23	5	4	4
A35	29	28	5	8	8
A36	30	38	3	4	4
A37	35	34	1	5	5
A38	17	18	1	1	1
A39	50	49	2	4	4
A40	18	19	1	2	2
A41	21	20	1	3	3
A42	29	30	1	2	2
A43	24	23	2	3	3
A44	33	34	2	2	2
A45	24	29	2	3	3
A46	6	5	2	4	4
A47	3	2	2	2	2
A48	9	8	5	5	5
A49	13	21	1	1	1
A50	41	33	4	6	6
A51	5	6	2	4	4
A52	8	9	5	5	5
A53	7	4	3	3	3
A54	23	24	2	2	2
A55	30	29	1	2	2
A56	28	22	4	4	4
A57	16	1	4	6	6
A58	38	36	1	2	2
A59	31	17	4	8	8
A60	2	3	2	1	1
A61	17	30	6	7	7
A62	15	1	4	4	4
A63	33	41	4	5	5
A64	22	21	2	2	2
A65	20	21	1	2	2
A66	22	28	4	4	4
A67	26	25	2	4	4
A68	1	16	4	6	6
A69	30	17	6	7	7
A70	4	7	3	3	3
A71	45	49	3	4	4
A72	21	13	1	2	2
A73	13	22	4	5	5
A74	50	45	3	4	4
A75	36	44	5	10	10
A76	28	27	1	2	2

ARC	FROM N.	TO N.	T. COST
NrA1	24	30	3
NrA2	17	31	4
NrA3	45	48	5
NrA4	9	14	1
NrA5	40	39	4
NrA6	49	50	2
NrA7	29	24	2
NrA8	49	45	3
NrA9	18	17	1
NrA10	21	22	2
NrA11	35	27	2
NrA12	25	20	3
NrA13	23	28	2
NrA14	18	11	3
NrA15	34	33	2
NrA16	39	30	2
NrA17	11	18	3
NrA18	45	50	3
NrA19	29	37	3
