Name:		mgval_0.25_9C
Optimal value:	-1
#Vehicles:	5
Capacity:	140
Depot Node:	1
#Nodes:		50
#Edges:		42
#Arcs:		83
#Required N:	26
#Required E:	31
#Required A:	62

ReN.	DEMAND	S. COST
N5	2	2
N10	10	10
N12	8	8
N13	1	1
N14	5	5
N15	4	4
N16	7	7
N18	1	1
N19	4	4
N20	5	5
N21	2	2
N22	2	2
N23	4	4
N25	4	4
N27	7	7
N28	10	10
N29	11	11
N30	9	9
N31	3	3
N34	8	8
N35	2	2
N37	5	5
N42	2	2
N43	5	5
N48	10	10
N50	4	4

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E12	6	7	3	7	7
E13	1	9	3	7	7
E14	37	44	3	8	8
E15	15	16	4	10	10
E16	31	39	4	6	6
E17	43	48	7	12	12
E18	8	9	5	10	10
E19	4	7	3	6	6
E20	45	48	5	12	12
E21	13	22	4	10	10
E22	33	34	2	4	4
E23	1	16	4	12	12
E24	11	12	2	5	5
E25	38	39	3	7	7
E26	9	14	1	3	3
E27	44	45	2	5	5
E28	1	10	4	13	13
E29	33	41	4	11	11
E30	25	33	1	4	4
E31	17	31	4	15	15
E32	39	47	5	14	14
E33	40	47	3	10	10
E34	34	35	1	5	5
E35	32	40	2	4	4
E36	5	6	2	8	8
E37	22	28	4	8	8
E38	36	44	5	10	10
E39	19	32	7	16	16
E40	38	46	3	12	12
E41	5	10	2	5	5
E42	17	24	4	12	12

EDGE	FROM N.	TO N.	T. COST
NrE1	29	37	3
NrE2	30	38	3
NrE3	10	17	4
NrE4	16	17	3
NrE5	23	28	2
NrE6	48	49	4
NrE7	37	38	2
NrE8	25	26	2
NrE9	29	30	1
NrE10	27	35	2
NrE11	14	15	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A22	3	6	4	7	7
A23	21	26	2	4	4
A24	2	3	2	3	3
A25	30	39	2	5	5
A26	32	31	2	4	4
A27	29	24	2	3	3
A28	43	42	2	3	3
A29	15	24	2	4	4
A30	19	18	1	1	1
A31	17	30	6	7	7
A32	11	6	3	3	3
A33	18	17	1	3	3
A34	2	5	2	2	2
A35	14	23	2	2	2
A36	46	45	2	2	2
A37	7	12	2	4	4
A38	5	1	3	6	6
A39	41	42	2	4	4
A40	23	15	1	2	2
A41	30	17	6	7	7
A42	40	39	4	5	5
A43	42	34	4	5	5
A44	13	8	6	6	6
A45	45	50	3	3	3
A46	49	50	2	4	4
A47	45	46	2	2	2
A48	45	49	3	4	4
A49	1	5	3	6	6
A50	14	22	4	8	8
A51	1	15	4	4	4
A52	50	45	3	4	4
A53	27	26	3	3	3
A54	25	20	3	3	3
A55	23	22	5	8	8
A56	13	9	4	12	12
A57	27	28	1	1	1
A58	11	10	2	2	2
A59	44	43	4	5	5
A60	26	34	4	3	3
A61	4	3	3	3	3
A62	36	38	1	3	3
A63	15	23	1	1	1
A64	6	11	3	3	3
A65	50	46	2	4	4
A66	23	14	2	3	3
A67	36	28	5	4	4
A68	29	23	4	2	2
A69	26	27	3	2	2
A70	3	4	3	3	3
A71	24	29	2	3	3
A72	11	18	3	9	9
A73	24	23	2	3	3
A74	21	22	2	2	2
A75	43	35	6	14	14
A76	49	45	3	4	4
A77	20	25	3	2	2
A78	36	35	2	2	2
A79	39	40	4	5	5
A80	23	29	4	1	1
A81	23	24	2	2	2
A82	8	13	6	5	5
A83	28	36	5	4	4

ARC	FROM N.	TO N.	T. COST
NrA1	21	13	1
NrA2	5	2	2
NrA3	19	12	4
NrA4	28	29	5
NrA5	30	24	3
NrA6	10	11	2
NrA7	18	19	1
NrA8	35	36	2
NrA9	31	32	2
NrA10	15	1	4
NrA11	12	19	4
NrA12	20	21	1
NrA13	34	42	4
NrA14	42	43	2
NrA15	28	27	1
NrA16	43	44	4
NrA17	12	7	2
NrA18	22	21	2
NrA19	50	49	2
NrA20	13	21	1
NrA21	34	26	4
