Name:		mgval_0.25_9D
Optimal value:	-1
#Vehicles:	10
Capacity:	70
Depot Node:	1
#Nodes:		50
#Edges:		38
#Arcs:		93
#Required N:	24
#Required E:	28
#Required A:	69

ReN.	DEMAND	S. COST
N6	14	14
N9	3	3
N10	17	17
N11	5	5
N13	5	5
N15	8	8
N17	7	7
N21	4	4
N22	5	5
N23	4	4
N24	2	2
N26	13	13
N27	7	7
N28	8	8
N29	3	3
N30	6	6
N33	6	6
N39	17	17
N44	13	13
N45	12	12
N46	4	4
N47	10	10
N49	4	4
N50	4	4

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E11	17	31	4	15	15
E12	41	42	2	4	4
E13	17	24	4	12	12
E14	33	41	4	11	11
E15	15	24	2	4	4
E16	12	19	4	8	8
E17	3	6	4	7	7
E18	36	44	5	10	10
E19	22	23	5	8	8
E20	35	36	2	4	4
E21	13	21	1	3	3
E22	42	43	2	5	5
E23	29	30	1	4	4
E24	32	40	2	4	4
E25	2	5	2	4	4
E26	5	10	2	5	5
E27	34	42	4	10	10
E28	38	46	3	12	12
E29	45	50	3	7	7
E30	17	18	1	3	3
E31	46	50	2	4	4
E32	11	18	3	9	9
E33	14	23	2	5	5
E34	4	7	3	6	6
E35	20	21	1	5	5
E36	28	29	5	8	8
E37	14	15	3	5	5
E38	21	26	2	4	4

EDGE	FROM N.	TO N.	T. COST
NrE1	26	34	4
NrE2	30	38	3
NrE3	6	7	3
NrE4	9	14	1
NrE5	28	36	5
NrE6	23	28	2
NrE7	1	15	4
NrE8	26	27	3
NrE9	45	48	5
NrE10	21	22	2

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A25	1	16	4	6	6
A26	15	23	1	1	1
A27	2	3	2	1	1
A28	10	11	2	4	4
A29	30	24	3	3	3
A30	15	16	4	5	5
A31	43	44	4	5	5
A32	38	36	1	2	2
A33	1	9	3	3	3
A34	5	6	2	4	4
A35	12	7	2	4	4
A36	39	31	4	3	3
A37	16	1	4	6	6
A38	18	19	1	2	2
A39	24	29	2	3	3
A40	3	4	3	3	3
A41	49	45	3	4	4
A42	20	25	3	2	2
A43	13	9	4	6	6
A44	23	29	4	1	1
A45	32	31	2	4	4
A46	22	14	4	4	4
A47	25	33	1	2	2
A48	8	13	6	5	5
A49	36	38	1	1	1
A50	43	35	6	7	7
A51	14	22	4	4	4
A52	39	38	3	7	7
A53	5	1	3	6	6
A54	32	19	7	8	8
A55	25	20	3	3	3
A56	34	35	1	5	5
A57	16	17	3	7	7
A58	13	8	6	6	6
A59	48	43	7	6	6
A60	29	37	3	3	3
A61	27	28	1	1	1
A62	45	49	3	4	4
A63	49	48	4	5	5
A64	48	49	4	5	5
A65	43	48	7	6	6
A66	9	1	3	4	4
A67	31	39	4	3	3
A68	37	38	2	2	2
A69	28	22	4	8	8
A70	30	17	6	7	7
A71	25	26	2	2	2
A72	28	27	1	2	2
A73	19	32	7	8	8
A74	23	15	1	2	2
A75	39	30	2	3	3
A76	1	5	3	6	6
A77	17	10	4	4	4
A78	16	15	4	5	5
A79	23	24	2	2	2
A80	38	37	2	3	3
A81	12	11	2	3	3
A82	35	43	6	7	7
A83	29	23	4	2	2
A84	8	9	5	10	10
A85	31	32	2	3	3
A86	3	2	2	2	2
A87	37	29	3	4	4
A88	45	44	2	5	5
A89	9	13	4	6	6
A90	7	12	2	4	4
A91	24	23	2	3	3
A92	47	39	5	7	7
A93	4	3	3	3	3

ARC	FROM N.	TO N.	T. COST
NrA1	11	6	3
NrA2	24	30	3
NrA3	46	45	2
NrA4	10	17	4
NrA5	33	25	1
NrA6	1	10	4
NrA7	39	40	4
NrA8	11	12	2
NrA9	47	40	3
NrA10	6	5	2
NrA11	30	39	2
NrA12	33	34	2
NrA13	17	30	6
NrA14	44	43	4
NrA15	50	49	2
NrA16	39	47	5
NrA17	44	37	3
NrA18	49	50	2
NrA19	22	13	4
NrA20	27	35	2
NrA21	13	22	4
NrA22	26	25	2
NrA23	6	11	3
NrA24	29	24	2
