Name:		mgval_0.30_10A
Optimal value:	-1
#Vehicles:	3
Capacity:	250
Depot Node:	1
#Nodes:		50
#Edges:		32
#Arcs:		106
#Required N:	31
#Required E:	22
#Required A:	74

ReN.	DEMAND	S. COST
N3	9	9
N5	4	4
N6	7	7
N8	3	3
N9	5	5
N10	13	13
N11	5	5
N12	3	3
N13	3	3
N15	16	16
N17	8	8
N18	21	21
N19	20	20
N20	4	4
N22	9	9
N23	13	13
N26	6	6
N28	10	10
N29	5	5
N30	5	5
N31	2	2
N32	3	3
N33	6	6
N35	3	3
N38	5	5
N40	4	4
N42	3	3
N45	5	5
N46	7	7
N49	11	11
N50	3	3

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E11	27	30	3	6	6
E12	3	9	5	6	6
E13	41	48	1	3	3
E14	33	39	3	8	8
E15	40	47	2	3	3
E16	9	15	2	8	8
E17	27	36	8	12	12
E18	6	13	3	8	8
E19	28	32	1	4	4
E20	5	6	9	10	10
E21	25	28	3	6	6
E22	26	29	2	4	4
E23	32	38	5	9	9
E24	20	21	4	7	7
E25	1	2	10	13	13
E26	33	46	6	10	10
E27	43	45	1	4	4
E28	31	37	2	6	6
E29	41	49	2	4	4
E30	2	3	6	10	10
E31	1	6	2	7	7
E32	8	14	3	7	7

EDGE	FROM N.	TO N.	T. COST
NrE1	17	25	7
NrE2	33	34	4
NrE3	28	38	6
NrE4	42	44	1
NrE5	46	47	4
NrE6	6	7	5
NrE7	40	41	3
NrE8	22	31	6
NrE9	23	31	3
NrE10	15	23	1

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A33	27	35	6	4	4
A34	22	21	5	10	10
A35	43	42	4	5	5
A36	34	35	2	5	5
A37	9	10	8	4	4
A38	26	18	2	5	5
A39	13	14	2	6	6
A40	12	13	1	2	2
A41	44	50	5	3	3
A42	35	27	6	5	5
A43	4	10	3	3	3
A44	37	43	2	3	3
A45	42	41	4	6	6
A46	24	23	6	8	8
A47	48	49	7	5	5
A48	43	50	6	3	3
A49	12	6	2	4	4
A50	33	29	6	4	4
A51	32	24	5	6	6
A52	50	45	3	4	4
A53	40	33	3	4	4
A54	41	35	3	4	4
A55	37	32	3	4	4
A56	24	32	5	5	5
A57	45	50	3	3	3
A58	30	20	9	6	6
A59	37	36	2	4	4
A60	42	36	2	3	3
A61	22	14	5	5	5
A62	36	42	2	3	3
A63	21	13	3	3	3
A64	38	45	7	4	4
A65	40	34	1	5	5
A66	6	12	2	3	3
A67	31	27	7	12	12
A68	7	2	1	4	4
A69	22	23	2	3	3
A70	7	13	4	6	6
A71	5	11	3	4	4
A72	12	11	3	3	3
A73	13	12	1	2	2
A74	2	7	1	3	3
A75	36	35	3	3	3
A76	16	17	7	4	4
A77	16	24	3	3	3
A78	32	37	3	3	3
A79	43	37	2	4	4
A80	17	16	7	4	4
A81	24	25	2	7	7
A82	14	15	1	2	2
A83	21	27	4	3	3
A84	14	22	5	4	4
A85	11	12	3	2	2
A86	33	40	3	3	3
A87	34	26	5	5	5
A88	26	19	1	3	3
A89	24	16	3	4	4
A90	27	21	4	4	4
A91	29	33	6	4	4
A92	17	10	7	6	6
A93	7	8	2	3	3
A94	37	38	7	4	4
A95	30	26	1	2	2
A96	44	49	4	5	5
A97	18	19	1	4	4
A98	48	47	3	6	6
A99	39	29	5	7	7
A100	42	43	4	4	4
A101	50	49	10	6	6
A102	50	44	5	4	4
A103	1	5	7	4	4
A104	16	9	5	9	9
A105	38	43	3	8	8
A106	20	30	9	6	6

ARC	FROM N.	TO N.	T. COST
NrA1	19	20	3
NrA2	35	36	3
NrA3	15	14	1
NrA4	19	26	1
NrA5	50	43	6
NrA6	49	50	10
NrA7	18	29	5
NrA8	30	34	1
NrA9	31	32	3
NrA10	18	26	2
NrA11	45	38	7
NrA12	5	1	7
NrA13	38	37	7
NrA14	29	18	5
NrA15	18	5	9
NrA16	10	4	3
NrA17	23	22	2
NrA18	19	11	1
NrA19	10	17	7
NrA20	9	8	3
NrA21	8	7	2
NrA22	32	31	3
NrA23	15	16	2
NrA24	3	4	6
NrA25	13	21	3
NrA26	26	34	5
NrA27	11	5	3
NrA28	10	9	8
NrA29	49	48	7
NrA30	20	12	2
NrA31	26	30	1
NrA32	12	20	2
