Name:		mgval_0.30_10B
Optimal value:	-1
#Vehicles:	4
Capacity:	190
Depot Node:	1
#Nodes:		50
#Edges:		33
#Arcs:		101
#Required N:	30
#Required E:	23
#Required A:	70

ReN.	DEMAND	S. COST
N2	3	3
N3	3	3
N4	9	9
N6	10	10
N7	10	10
N8	7	7
N9	3	3
N10	3	3
N11	8	8
N12	3	3
N15	6	6
N16	15	15
N18	10	10
N22	4	4
N24	8	8
N26	12	12
N27	10	10
N28	10	10
N32	9	9
N33	13	13
N34	5	5
N35	5	5
N37	6	6
N38	17	17
N42	5	5
N45	3	3
N46	7	7
N47	6	6
N49	22	22
N50	4	4

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E11	35	41	3	4	4
E12	38	45	7	9	9
E13	25	28	3	6	6
E14	43	50	6	6	6
E15	6	7	5	7	7
E16	17	25	7	8	8
E17	44	50	5	7	7
E18	41	48	1	3	3
E19	41	49	2	4	4
E20	8	9	3	5	5
E21	35	36	3	6	6
E22	43	45	1	4	4
E23	44	49	4	5	5
E24	23	31	3	10	10
E25	34	35	2	5	5
E26	33	39	3	8	8
E27	1	2	10	13	13
E28	9	16	5	9	9
E29	41	42	4	6	6
E30	27	36	8	12	12
E31	32	37	3	7	7
E32	12	20	2	7	7
E33	33	40	3	7	7

EDGE	FROM N.	TO N.	T. COST
NrE1	47	48	3
NrE2	46	47	4
NrE3	7	8	2
NrE4	1	6	2
NrE5	32	38	5
NrE6	16	24	3
NrE7	33	46	6
NrE8	8	14	3
NrE9	38	43	3
NrE10	16	17	7

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A32	5	18	9	6	6
A33	34	33	4	3	3
A34	20	19	3	5	5
A35	32	24	5	6	6
A36	40	41	3	2	2
A37	36	37	2	4	4
A38	19	20	3	4	4
A39	1	5	7	8	8
A40	27	35	6	4	4
A41	9	10	8	4	4
A42	24	32	5	5	5
A43	41	40	3	2	2
A44	5	11	3	4	4
A45	39	29	5	4	4
A46	32	28	1	2	2
A47	29	26	2	2	2
A48	42	36	2	3	3
A49	14	22	5	4	4
A50	20	30	9	12	12
A51	22	14	5	5	5
A52	2	3	6	5	5
A53	17	10	7	11	11
A54	29	39	5	3	3
A55	3	2	6	5	5
A56	13	6	3	4	4
A57	22	23	2	6	6
A58	31	22	6	5	5
A59	40	47	2	1	1
A60	37	43	2	3	3
A61	11	12	3	2	2
A62	14	13	2	3	3
A63	7	13	4	6	6
A64	4	10	3	3	3
A65	15	16	2	3	3
A66	43	42	4	5	5
A67	11	5	3	5	5
A68	13	12	1	2	2
A69	19	18	1	2	2
A70	30	27	3	3	3
A71	6	13	3	4	4
A72	26	19	1	6	6
A73	32	31	3	5	5
A74	15	14	1	3	3
A75	16	15	2	4	4
A76	21	13	3	6	6
A77	28	32	1	2	2
A78	34	40	1	5	5
A79	18	29	5	10	10
A80	33	29	6	8	8
A81	6	5	9	10	10
A82	34	30	1	5	5
A83	20	21	4	7	7
A84	12	13	1	2	2
A85	13	14	2	3	3
A86	47	40	2	2	2
A87	24	25	2	7	7
A88	26	30	1	3	3
A89	12	6	2	4	4
A90	9	15	2	4	4
A91	27	31	7	6	6
A92	22	21	5	5	5
A93	15	9	2	4	4
A94	21	22	5	5	5
A95	14	15	1	2	2
A96	18	19	1	2	2
A97	36	42	2	3	3
A98	31	27	7	6	6
A99	44	42	1	2	2
A100	43	37	2	4	4
A101	10	9	8	5	5

ARC	FROM N.	TO N.	T. COST
NrA1	37	31	2
NrA2	45	50	3
NrA3	26	29	2
NrA4	18	5	9
NrA5	26	34	5
NrA6	35	27	6
NrA7	34	26	5
NrA8	24	23	6
NrA9	27	30	3
NrA10	49	48	7
NrA11	2	7	1
NrA12	27	21	4
NrA13	9	3	5
NrA14	42	43	4
NrA15	11	19	1
NrA16	18	26	2
NrA17	15	23	1
NrA18	38	37	7
NrA19	33	34	4
NrA20	26	18	2
NrA21	28	38	6
NrA22	49	50	10
NrA23	42	44	1
NrA24	7	2	1
NrA25	50	45	3
NrA26	10	4	3
NrA27	3	9	5
NrA28	12	11	3
NrA29	6	12	2
NrA30	22	31	6
NrA31	4	3	6
