Name:		mgval_0.30_10C
Optimal value:	-1
#Vehicles:	5
Capacity:	150
Depot Node:	1
#Nodes:		50
#Edges:		36
#Arcs:		100
#Required N:	30
#Required E:	25
#Required A:	70

ReN.	DEMAND	S. COST
N2	7	7
N6	3	3
N7	7	7
N8	9	9
N9	3	3
N10	11	11
N12	2	2
N13	8	8
N16	3	3
N18	15	15
N19	7	7
N22	11	11
N23	14	14
N24	3	3
N26	3	3
N27	24	24
N28	4	4
N29	7	7
N31	12	12
N32	7	7
N34	8	8
N35	6	6
N36	6	6
N37	4	4
N43	4	4
N44	2	2
N46	7	7
N48	10	10
N49	4	4
N50	7	7

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E12	9	10	8	9	9
E13	34	35	2	5	5
E14	20	21	4	7	7
E15	3	9	5	6	6
E16	43	50	6	6	6
E17	33	39	3	8	8
E18	20	30	9	12	12
E19	26	34	5	10	10
E20	2	3	6	10	10
E21	41	48	1	3	3
E22	11	12	3	5	5
E23	26	29	2	4	4
E24	25	28	3	6	6
E25	40	41	3	4	4
E26	6	12	2	7	7
E27	16	17	7	8	8
E28	29	33	6	8	8
E29	24	32	5	11	11
E30	11	19	1	8	8
E31	15	23	1	6	6
E32	38	45	7	9	9
E33	14	22	5	9	9
E34	36	42	2	6	6
E35	1	6	2	7	7
E36	33	46	6	10	10

EDGE	FROM N.	TO N.	T. COST
NrE1	32	37	3
NrE2	23	31	3
NrE3	27	31	7
NrE4	29	39	5
NrE5	10	17	7
NrE6	28	32	1
NrE7	35	36	3
NrE8	43	45	1
NrE9	22	23	2
NrE10	26	30	1
NrE11	27	30	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A31	40	47	2	1	1
A32	30	34	1	2	2
A33	21	13	3	6	6
A34	31	32	3	5	5
A35	16	15	2	4	4
A36	43	37	2	7	7
A37	21	22	5	5	5
A38	20	19	3	5	5
A39	5	1	7	4	4
A40	44	49	4	2	2
A41	21	27	4	7	7
A42	33	40	3	3	3
A43	33	34	4	3	3
A44	50	45	3	4	4
A45	27	35	6	4	4
A46	5	11	3	4	4
A47	16	9	5	5	5
A48	24	16	3	4	4
A49	4	10	3	3	3
A50	9	16	5	4	4
A51	17	25	7	8	8
A52	1	5	7	4	4
A53	47	40	2	2	2
A54	49	44	4	3	3
A55	7	2	1	4	4
A56	35	27	6	5	5
A57	38	28	6	5	5
A58	15	14	1	3	3
A59	20	12	2	4	4
A60	40	33	3	4	4
A61	5	6	9	10	10
A62	15	9	2	8	8
A63	37	31	2	3	3
A64	14	15	1	2	2
A65	13	7	4	3	3
A66	11	5	3	5	5
A67	36	37	2	4	4
A68	13	12	1	2	2
A69	42	44	1	1	1
A70	28	38	6	5	5
A71	18	19	1	4	4
A72	40	34	1	3	3
A73	18	29	5	5	5
A74	5	18	9	6	6
A75	45	50	3	3	3
A76	12	20	2	3	3
A77	24	23	6	4	4
A78	10	4	3	3	3
A79	29	18	5	5	5
A80	3	4	6	9	9
A81	2	7	1	3	3
A82	42	41	4	3	3
A83	49	50	10	12	12
A84	38	37	7	5	5
A85	43	38	3	4	4
A86	13	14	2	3	3
A87	38	32	5	9	9
A88	41	35	3	4	4
A89	47	48	3	3	3
A90	8	7	2	3	3
A91	41	42	4	3	3
A92	26	19	1	3	3
A93	43	42	4	9	9
A94	48	47	3	3	3
A95	38	43	3	4	4
A96	1	2	10	6	6
A97	7	8	2	3	3
A98	25	24	2	4	4
A99	14	13	2	3	3
A100	15	16	2	3	3

ARC	FROM N.	TO N.	T. COST
NrA1	23	24	6
NrA2	9	8	3
NrA3	31	22	6
NrA4	2	1	10
NrA5	49	41	2
NrA6	18	26	2
NrA7	27	36	8
NrA8	46	47	4
NrA9	6	7	5
NrA10	12	13	1
NrA11	24	25	2
NrA12	50	44	5
NrA13	19	26	1
NrA14	7	6	5
NrA15	34	40	1
NrA16	7	13	4
NrA17	34	30	1
NrA18	19	20	3
NrA19	36	27	8
NrA20	48	49	7
NrA21	31	37	2
NrA22	8	14	3
NrA23	44	42	1
NrA24	34	33	4
NrA25	22	21	5
NrA26	18	5	9
NrA27	13	6	3
NrA28	16	24	3
NrA29	8	9	3
NrA30	37	38	7
