Name:		mgval_0.30_10D
Optimal value:	-1
#Vehicles:	10
Capacity:	75
Depot Node:	1
#Nodes:		50
#Edges:		42
#Arcs:		87
#Required N:	32
#Required E:	29
#Required A:	60

ReN.	DEMAND	S. COST
N2	20	20
N3	6	6
N5	8	8
N6	10	10
N7	3	3
N9	3	3
N11	2	2
N12	7	7
N13	3	3
N14	5	5
N15	6	6
N16	7	7
N18	4	4
N19	15	15
N20	12	12
N21	5	5
N22	5	5
N23	6	6
N26	4	4
N28	4	4
N30	2	2
N31	6	6
N32	3	3
N33	16	16
N35	11	11
N40	5	5
N43	4	4
N44	5	5
N45	8	8
N47	8	8
N48	5	5
N49	2	2

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E14	2	3	6	10	10
E15	33	40	3	7	7
E16	34	40	1	5	5
E17	8	14	3	7	7
E18	26	34	5	10	10
E19	20	21	4	7	7
E20	32	37	3	7	7
E21	27	35	6	9	9
E22	21	27	4	7	7
E23	9	10	8	9	9
E24	11	19	1	8	8
E25	16	17	7	8	8
E26	27	31	7	12	12
E27	9	15	2	8	8
E28	18	19	1	4	4
E29	13	21	3	6	6
E30	17	25	7	8	8
E31	24	25	2	7	7
E32	44	50	5	7	7
E33	5	6	9	10	10
E34	27	36	8	12	12
E35	14	22	5	9	9
E36	27	30	3	6	6
E37	25	28	3	6	6
E38	38	43	3	8	8
E39	3	4	6	9	9
E40	15	16	2	7	7
E41	29	33	6	8	8
E42	13	14	2	6	6

EDGE	FROM N.	TO N.	T. COST
NrE1	33	46	6
NrE2	14	15	1
NrE3	3	9	5
NrE4	19	20	3
NrE5	12	20	2
NrE6	15	23	1
NrE7	33	34	4
NrE8	2	7	1
NrE9	1	5	7
NrE10	40	41	3
NrE11	47	48	3
NrE12	44	49	4
NrE13	35	36	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A28	23	31	3	5	5
A29	35	41	3	4	4
A30	44	42	1	2	2
A31	11	5	3	5	5
A32	16	9	5	5	5
A33	22	31	6	4	4
A34	42	36	2	3	3
A35	41	49	2	2	2
A36	6	7	5	3	3
A37	46	47	4	3	3
A38	43	45	1	2	2
A39	5	18	9	12	12
A40	37	36	2	4	4
A41	13	12	1	2	2
A42	26	30	1	1	1
A43	7	13	4	3	3
A44	31	22	6	5	5
A45	31	23	3	5	5
A46	10	17	7	5	5
A47	6	13	3	4	4
A48	37	38	7	9	9
A49	47	46	4	4	4
A50	42	41	4	6	6
A51	4	10	3	6	6
A52	18	29	5	10	10
A53	24	23	6	4	4
A54	38	28	6	5	5
A55	13	6	3	4	4
A56	33	39	3	8	8
A57	32	38	5	9	9
A58	9	16	5	4	4
A59	38	45	7	4	4
A60	41	48	1	1	1
A61	45	43	1	2	2
A62	26	18	2	5	5
A63	49	48	7	5	5
A64	37	43	2	3	3
A65	43	42	4	9	9
A66	42	44	1	1	1
A67	31	32	3	2	2
A68	8	9	3	2	2
A69	30	34	1	2	2
A70	48	41	1	2	2
A71	50	43	6	3	3
A72	17	10	7	6	6
A73	24	32	5	11	11
A74	34	30	1	3	3
A75	50	45	3	4	4
A76	5	11	3	4	4
A77	23	24	6	4	4
A78	49	50	10	12	12
A79	36	42	2	3	3
A80	12	13	1	2	2
A81	43	50	6	3	3
A82	7	6	5	4	4
A83	39	29	5	7	7
A84	12	11	3	3	3
A85	28	38	6	5	5
A86	8	7	2	3	3
A87	6	1	2	4	4

ARC	FROM N.	TO N.	T. COST
NrA1	19	26	1
NrA2	45	50	3
NrA3	11	12	3
NrA4	30	26	1
NrA5	2	1	10
NrA6	20	30	9
NrA7	49	41	2
NrA8	43	37	2
NrA9	26	29	2
NrA10	35	34	2
NrA11	22	21	5
NrA12	47	40	2
NrA13	31	37	2
NrA14	6	12	2
NrA15	13	7	4
NrA16	23	22	2
NrA17	1	6	2
NrA18	28	32	1
NrA19	40	47	2
NrA20	45	38	7
NrA21	7	8	2
NrA22	9	8	3
NrA23	32	31	3
NrA24	21	22	5
NrA25	48	49	7
NrA26	16	24	3
NrA27	18	26	2
