Name:		mgval_0.30_1A
Optimal value:	170
#Vehicles:	2
Capacity:	200
Depot Node:	1
#Nodes:		24
#Edges:		20
#Arcs:		35
#Required N:	15
#Required E:	14
#Required A:	24

ReN.	DEMAND	S. COST
N2	6	6
N3	14	14
N4	3	3
N5	2	2
N8	4	4
N10	5	5
N11	5	5
N12	3	3
N13	13	13
N14	5	5
N15	18	18
N16	4	4
N17	4	4
N19	7	7
N22	7	7

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E7	19	20	5	14	14
E8	21	24	4	13	13
E9	1	11	7	12	12
E10	5	6	10	19	19
E11	6	7	3	12	12
E12	23	24	2	4	4
E13	17	18	2	4	4
E14	7	8	4	12	12
E15	14	18	3	8	8
E16	1	19	4	13	13
E17	20	21	3	12	12
E18	13	17	2	3	3
E19	1	9	3	9	9
E20	6	11	7	18	18

EDGE	FROM N.	TO N.	T. COST
NrE1	16	17	1
NrE2	15	21	6
NrE3	4	5	4
NrE4	3	4	5
NrE5	15	16	2
NrE6	13	14	5

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A12	9	3	2	2	2
A13	12	16	3	2	2
A14	15	20	3	8	8
A15	4	2	1	1	1
A16	23	22	2	5	5
A17	3	10	3	7	7
A18	12	6	4	7	7
A19	19	22	5	6	6
A20	5	2	3	6	6
A21	23	21	5	6	6
A22	21	23	5	6	6
A23	9	19	5	7	7
A24	3	9	2	2	2
A25	1	20	5	6	6
A26	2	4	1	1	1
A27	11	12	2	2	2
A28	22	23	2	4	4
A29	1	5	3	2	2
A30	6	12	4	6	6
A31	7	13	4	2	2
A32	16	12	3	3	3
A33	12	11	2	3	3
A34	5	11	4	4	4
A35	20	1	5	7	7

ARC	FROM N.	TO N.	T. COST
NrA1	10	2	2
NrA2	17	12	4
NrA3	8	14	4
NrA4	22	19	5
NrA5	19	9	5
NrA6	2	5	3
NrA7	5	1	3
NrA8	13	7	4
NrA9	12	17	4
NrA10	14	8	4
NrA11	11	5	4
