Name:		mgval_0.30_1B
Optimal value:	194
#Vehicles:	3
Capacity:	120
Depot Node:	1
#Nodes:		24
#Edges:		13
#Arcs:		38
#Required N:	12
#Required E:	9
#Required A:	26

ReN.	DEMAND	S. COST
N4	3	3
N5	15	15
N6	37	37
N7	12	12
N9	13	13
N10	4	4
N12	13	13
N13	5	5
N14	10	10
N17	4	4
N19	13	13
N22	4	4

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E5	20	21	3	12	12
E6	3	4	5	14	14
E7	6	7	3	12	12
E8	21	24	4	13	13
E9	11	12	2	5	5
E10	13	17	2	3	3
E11	2	10	2	5	5
E12	1	20	5	13	13
E13	1	11	7	12	12

EDGE	FROM N.	TO N.	T. COST
NrE1	4	5	4
NrE2	19	22	5
NrE3	5	11	4
NrE4	7	8	4

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A13	12	16	3	2	2
A14	23	22	2	5	5
A15	20	19	5	7	7
A16	19	20	5	7	7
A17	2	4	1	2	2
A18	20	15	3	4	4
A19	5	1	3	2	2
A20	13	14	5	5	5
A21	15	20	3	4	4
A22	16	12	3	3	3
A23	19	9	5	14	14
A24	3	10	3	3	3
A25	23	24	2	4	4
A26	21	23	5	6	6
A27	8	14	4	4	4
A28	16	17	1	2	2
A29	1	5	3	2	2
A30	15	21	6	7	7
A31	2	5	3	6	6
A32	18	14	3	8	8
A33	23	21	5	6	6
A34	17	12	4	7	7
A35	17	16	1	2	2
A36	21	15	6	7	7
A37	16	15	2	4	4
A38	19	1	4	13	13

ARC	FROM N.	TO N.	T. COST
NrA1	6	11	7
NrA2	6	5	10
NrA3	9	1	3
NrA4	14	8	4
NrA5	13	7	4
NrA6	5	2	3
NrA7	22	23	2
NrA8	17	18	2
NrA9	14	13	5
NrA10	10	3	3
NrA11	9	3	2
NrA12	12	6	4
