Name:		mgval_0.30_2C
Optimal value:	-1
#Vehicles:	8
Capacity:	40
Depot Node:	1
#Nodes:		24
#Edges:		14
#Arcs:		35
#Required N:	12
#Required E:	9
#Required A:	24

ReN.	DEMAND	S. COST
N2	7	7
N3	9	9
N5	19	19
N6	9	9
N7	2	2
N10	7	7
N11	7	7
N12	6	6
N16	13	13
N18	3	3
N20	7	7
N21	6	6

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E6	1	2	4	6	6
E7	17	18	7	10	10
E8	20	21	5	11	11
E9	8	14	3	7	7
E10	9	10	8	12	12
E11	4	5	8	9	9
E12	3	4	3	6	6
E13	11	15	3	6	6
E14	19	22	5	8	8

EDGE	FROM N.	TO N.	T. COST
NrE1	16	17	3
NrE2	5	10	8
NrE3	2	4	2
NrE4	12	13	5
NrE5	6	7	5

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A12	19	20	9	14	14
A13	23	22	9	7	7
A14	24	23	12	9	9
A15	8	7	2	3	3
A16	23	24	12	8	8
A17	13	17	1	3	3
A18	12	6	9	12	12
A19	24	21	8	5	5
A20	1	3	5	4	4
A21	14	13	1	4	4
A22	10	11	11	6	6
A23	16	12	8	9	9
A24	12	11	4	7	7
A25	11	5	5	4	4
A26	9	3	4	6	6
A27	14	18	2	2	2
A28	22	23	9	6	6
A29	15	21	3	2	2
A30	9	19	9	7	7
A31	20	23	4	3	3
A32	19	9	9	8	8
A33	23	20	4	4	4
A34	15	16	6	4	4
A35	17	13	1	3	3

ARC	FROM N.	TO N.	T. COST
NrA1	3	9	4
NrA2	11	10	11
NrA3	18	14	2
NrA4	21	15	3
NrA5	21	24	8
NrA6	7	8	2
NrA7	20	10	4
NrA8	5	11	5
NrA9	16	15	6
NrA10	3	1	5
NrA11	10	20	4
