Name:		mgval_0.30_3B
Optimal value:	115
#Vehicles:	3
Capacity:	50
Depot Node:	1
#Nodes:		24
#Edges:		16
#Arcs:		29
#Required N:	10
#Required E:	11
#Required A:	20

ReN.	DEMAND	S. COST
N3	2	2
N5	6	6
N7	6	6
N9	2	2
N10	9	9
N11	5	5
N12	1	1
N14	7	7
N20	4	4
N21	3	3

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E6	5	11	4	4	4
E7	12	16	1	1	1
E8	23	24	1	5	5
E9	16	17	4	4	4
E10	1	2	2	4	4
E11	19	20	1	2	2
E12	19	22	3	7	7
E13	15	21	1	4	4
E14	5	6	3	5	5
E15	5	10	2	4	4
E16	2	4	1	3	3

EDGE	FROM N.	TO N.	T. COST
NrE1	20	23	1
NrE2	10	20	2
NrE3	7	8	1
NrE4	9	10	2
NrE5	10	11	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A10	3	9	1	1	1
A11	13	14	2	4	4
A12	1	3	1	1	1
A13	8	14	3	3	3
A14	9	19	1	1	1
A15	13	12	1	1	1
A16	15	11	1	2	2
A17	6	7	3	2	2
A18	24	21	1	2	2
A19	3	1	1	2	2
A20	4	3	2	2	2
A21	15	16	1	3	3
A22	6	12	1	3	3
A23	18	17	1	3	3
A24	19	9	1	2	2
A25	17	13	3	5	5
A26	22	23	3	4	4
A27	18	14	3	3	3
A28	7	6	3	3	3
A29	20	21	2	2	2

ARC	FROM N.	TO N.	T. COST
NrA1	21	24	1
NrA2	3	4	2
NrA3	11	15	1
NrA4	21	20	2
NrA5	14	8	3
NrA6	5	4	2
NrA7	14	18	3
NrA8	12	13	1
NrA9	11	12	1
