Name:		mgval_0.30_4B
Optimal value:	-1
#Vehicles:	4
Capacity:	170
Depot Node:	1
#Nodes:		41
#Edges:		19
#Arcs:		83
#Required N:	27
#Required E:	13
#Required A:	58

ReN.	DEMAND	S. COST
N2	1	1
N3	1	1
N5	13	13
N7	8	8
N10	7	7
N11	4	4
N12	4	4
N13	16	16
N14	10	10
N15	14	14
N16	15	15
N17	2	2
N18	14	14
N20	4	4
N21	3	3
N22	5	5
N23	4	4
N24	6	6
N25	11	11
N27	8	8
N28	6	6
N30	9	9
N34	19	19
N35	2	2
N36	7	7
N38	6	6
N40	2	2

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E7	33	37	2	4	4
E8	3	9	1	1	1
E9	24	25	4	7	7
E10	29	30	3	6	6
E11	2	8	10	20	20
E12	38	39	9	10	10
E13	14	15	3	8	8
E14	26	27	7	11	11
E15	3	4	7	15	15
E16	23	24	3	4	4
E17	4	5	1	2	2
E18	19	20	3	4	4
E19	31	32	5	9	9

EDGE	FROM N.	TO N.	T. COST
NrE1	18	22	6
NrE2	27	32	3
NrE3	5	6	6
NrE4	13	14	8
NrE5	16	17	9
NrE6	25	31	7

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A26	14	23	3	3	3
A27	32	36	10	6	6
A28	37	36	8	12	12
A29	9	8	2	2	2
A30	16	15	3	3	3
A31	35	39	10	7	7
A32	16	11	6	12	12
A33	28	27	7	13	13
A34	36	35	8	12	12
A35	11	12	5	4	4
A36	4	10	3	3	3
A37	31	35	4	3	3
A38	11	17	2	2	2
A39	40	39	2	2	2
A40	37	41	5	9	9
A41	25	26	6	4	4
A42	1	7	5	7	7
A43	18	17	4	4	4
A44	23	29	5	14	14
A45	36	40	4	7	7
A46	8	7	2	3	3
A47	39	36	3	5	5
A48	10	4	3	4	4
A49	7	13	7	14	14
A50	30	24	8	6	6
A51	11	10	4	4	4
A52	8	9	2	1	1
A53	2	1	1	1	1
A54	33	27	5	5	5
A55	12	11	5	5	5
A56	17	18	4	3	3
A57	27	20	5	4	4
A58	31	30	12	10	10
A59	23	13	7	7	7
A60	22	28	5	6	6
A61	16	19	1	2	2
A62	35	31	4	4	4
A63	34	38	7	6	6
A64	39	40	2	1	1
A65	2	3	1	1	1
A66	21	22	4	4	4
A67	20	17	2	2	2
A68	26	32	7	6	6
A69	25	15	9	10	10
A70	6	12	3	4	4
A71	36	39	3	4	4
A72	32	26	7	7	7
A73	5	11	4	4	4
A74	27	33	5	4	4
A75	41	40	4	2	2
A76	21	20	5	10	10
A77	39	35	10	7	7
A78	10	11	4	3	3
A79	26	25	6	5	5
A80	17	11	2	2	2
A81	26	19	8	10	10
A82	24	14	4	13	13
A83	13	23	7	7	7

ARC	FROM N.	TO N.	T. COST
NrA1	21	27	1
NrA2	10	15	1
NrA3	34	35	2
NrA4	36	32	10
NrA5	34	29	14
NrA6	38	34	7
NrA7	15	10	1
NrA8	35	34	2
NrA9	15	25	9
NrA10	17	20	2
NrA11	40	41	4
NrA12	14	9	5
NrA13	22	21	4
NrA14	15	16	3
NrA15	10	9	3
NrA16	23	14	3
NrA17	7	1	5
NrA18	3	2	1
NrA19	28	22	5
NrA20	20	27	5
NrA21	12	6	3
NrA22	24	30	8
NrA23	1	2	1
NrA24	30	31	12
NrA25	11	5	4
