Name:		mgval_0.30_5C
Optimal value:	-1
#Vehicles:	5
Capacity:	130
Depot Node:	1
#Nodes:		34
#Edges:		17
#Arcs:		81
#Required N:	20
#Required E:	11
#Required A:	56

ReN.	DEMAND	S. COST
N2	14	14
N3	9	9
N4	18	18
N5	3	3
N6	18	18
N7	12	12
N8	5	5
N10	15	15
N11	19	19
N12	6	6
N13	8	8
N15	8	8
N16	13	13
N19	13	13
N20	8	8
N21	4	4
N22	4	4
N24	23	23
N28	4	4
N29	7	7

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E7	3	10	2	8	8
E8	22	23	1	2	2
E9	12	19	4	9	9
E10	13	14	4	8	8
E11	9	10	3	7	7
E12	8	9	7	8	8
E13	12	18	5	11	11
E14	28	34	2	9	9
E15	20	26	3	7	7
E16	28	33	3	8	8
E17	21	27	7	11	11

EDGE	FROM N.	TO N.	T. COST
NrE1	4	10	4
NrE2	24	34	10
NrE3	10	11	8
NrE4	29	30	4
NrE5	8	14	2
NrE6	6	18	9

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A26	24	23	5	4	4
A27	15	21	4	6	6
A28	15	14	1	3	3
A29	20	19	6	6	6
A30	9	15	5	4	4
A31	18	19	7	7	7
A32	22	15	9	8	8
A33	7	6	9	6	6
A34	25	29	7	9	9
A35	6	1	2	3	3
A36	6	12	7	5	5
A37	2	8	8	6	6
A38	30	31	6	4	4
A39	19	13	6	4	4
A40	11	5	4	3	3
A41	27	28	10	13	13
A42	32	27	5	3	3
A43	23	24	5	3	3
A44	18	29	9	7	7
A45	4	11	10	7	7
A46	31	30	6	4	4
A47	19	25	5	6	6
A48	26	27	4	5	5
A49	6	7	9	6	6
A50	15	22	9	7	7
A51	16	10	2	4	4
A52	16	23	9	16	16
A53	25	26	9	8	8
A54	13	12	2	4	4
A55	8	2	8	7	7
A56	2	13	9	8	8
A57	27	32	5	3	3
A58	17	24	9	6	6
A59	29	18	9	8	8
A60	17	11	7	9	9
A61	28	23	5	3	3
A62	30	25	5	6	6
A63	23	28	5	2	2
A64	31	26	9	12	12
A65	14	15	1	3	3
A66	9	3	6	4	4
A67	11	4	10	8	8
A68	22	21	5	4	4
A69	26	25	9	8	8
A70	31	32	3	7	7
A71	25	30	5	5	5
A72	12	13	2	3	3
A73	13	19	6	4	4
A74	21	15	4	6	6
A75	13	7	5	3	3
A76	33	34	1	2	2
A77	1	6	2	2	2
A78	14	20	3	5	5
A79	33	32	5	10	10
A80	34	33	1	2	2
A81	4	3	3	4	4

ARC	FROM N.	TO N.	T. COST
NrA1	15	16	5
NrA2	5	11	4
NrA3	12	6	7
NrA4	2	3	5
NrA5	28	22	4
NrA6	1	7	8
NrA7	7	13	5
NrA8	11	24	15
NrA9	10	16	2
NrA10	22	28	4
NrA11	20	14	3
NrA12	13	2	9
NrA13	4	5	9
NrA14	16	15	5
NrA15	19	20	6
NrA16	3	9	6
NrA17	21	22	5
NrA18	3	4	3
NrA19	15	9	5
NrA20	19	18	7
NrA21	20	21	2
NrA22	16	17	5
NrA23	3	2	5
NrA24	24	17	9
NrA25	1	2	10
