Name:		mgval_0.30_6A
Optimal value:	-1
#Vehicles:	3
Capacity:	170
Depot Node:	1
#Nodes:		31
#Edges:		22
#Arcs:		47
#Required N:	19
#Required E:	15
#Required A:	32

ReN.	DEMAND	S. COST
N3	6	6
N4	6	6
N5	5	5
N6	13	13
N7	13	13
N8	12	12
N10	10	10
N12	5	5
N15	4	4
N17	5	5
N19	9	9
N20	5	5
N21	14	14
N23	7	7
N26	6	6
N27	4	4
N28	7	7
N29	9	9
N30	5	5

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E8	1	30	4	12	12
E9	14	15	5	7	7
E10	6	31	3	9	9
E11	23	24	3	10	10
E12	19	21	3	8	8
E13	13	19	6	14	14
E14	24	27	2	5	5
E15	9	13	6	9	9
E16	25	28	5	12	12
E17	5	31	1	4	4
E18	18	21	3	7	7
E19	3	9	2	5	5
E20	19	20	4	12	12
E21	23	26	2	6	6
E22	29	31	2	5	5

EDGE	FROM N.	TO N.	T. COST
NrE1	6	7	3
NrE2	10	16	2
NrE3	1	7	10
NrE4	8	9	7
NrE5	23	25	3
NrE6	21	22	4
NrE7	19	22	2

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A16	4	9	9	1	1
A17	17	11	4	10	10
A18	4	13	3	8	8
A19	22	20	5	6	6
A20	28	29	3	4	4
A21	31	1	3	2	2
A22	13	12	4	7	7
A23	11	12	5	4	4
A24	2	3	1	14	14
A25	27	26	1	3	3
A26	16	15	3	4	4
A27	1	31	3	2	2
A28	1	2	2	2	2
A29	31	28	3	4	4
A30	8	2	6	7	7
A31	12	8	8	14	14
A32	29	28	3	5	5
A33	5	6	3	4	4
A34	16	17	2	4	4
A35	10	5	4	5	5
A36	12	18	5	6	6
A37	11	6	2	6	6
A38	18	12	5	6	6
A39	10	11	4	10	10
A40	14	10	1	2	2
A41	9	4	9	2	2
A42	18	19	5	9	9
A43	8	7	3	7	7
A44	2	1	2	3	3
A45	6	11	2	6	6
A46	2	8	6	7	7
A47	7	8	3	7	7

ARC	FROM N.	TO N.	T. COST
NrA1	29	27	2
NrA2	15	16	3
NrA3	6	5	3
NrA4	28	26	5
NrA5	5	10	4
NrA6	4	3	5
NrA7	29	30	7
NrA8	26	28	5
NrA9	12	11	5
NrA10	17	16	2
NrA11	20	22	5
NrA12	27	29	2
NrA13	30	29	7
NrA14	3	4	5
NrA15	10	14	1
