Name:		mgval_0.30_6B
Optimal value:	262
#Vehicles:	4
Capacity:	120
Depot Node:	1
#Nodes:		31
#Edges:		22
#Arcs:		44
#Required N:	19
#Required E:	15
#Required A:	30

ReN.	DEMAND	S. COST
N2	5	5
N3	5	5
N6	8	8
N8	6	6
N9	9	9
N10	5	5
N12	12	12
N13	7	7
N14	4	4
N15	4	4
N16	4	4
N17	5	5
N18	9	9
N19	19	19
N21	4	4
N23	10	10
N26	7	7
N29	10	10
N31	2	2

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E8	28	31	3	4	4
E9	4	13	3	8	8
E10	5	10	4	10	10
E11	20	22	5	11	11
E12	2	3	1	14	14
E13	6	7	3	9	9
E14	6	31	3	9	9
E15	11	12	5	9	9
E16	19	22	2	9	9
E17	1	30	4	12	12
E18	23	25	3	7	7
E19	11	17	4	10	10
E20	21	22	4	14	14
E21	10	16	2	8	8
E22	1	7	10	13	13

EDGE	FROM N.	TO N.	T. COST
NrE1	18	19	5
NrE2	1	2	2
NrE3	23	24	3
NrE4	12	18	5
NrE5	9	13	6
NrE6	3	9	2
NrE7	19	20	4

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A15	23	26	2	3	3
A16	24	27	2	2	2
A17	11	6	2	12	12
A18	21	19	3	4	4
A19	27	26	1	2	2
A20	8	2	6	7	7
A21	3	4	5	6	6
A22	11	10	4	5	5
A23	28	26	5	7	7
A24	27	24	2	3	3
A25	18	21	3	3	3
A26	28	25	5	6	6
A27	1	31	3	2	2
A28	8	7	3	14	14
A29	29	28	3	9	9
A30	9	8	7	6	6
A31	25	28	5	6	6
A32	9	4	9	3	3
A33	27	29	2	4	4
A34	12	8	8	14	14
A35	2	8	6	7	7
A36	19	21	3	4	4
A37	16	15	3	8	8
A38	29	27	2	4	4
A39	4	3	5	6	6
A40	13	12	4	7	7
A41	26	23	2	3	3
A42	14	15	5	3	3
A43	29	31	2	5	5
A44	5	31	1	4	4

ARC	FROM N.	TO N.	T. COST
NrA1	17	16	2
NrA2	13	19	6
NrA3	26	28	5
NrA4	15	14	5
NrA5	29	30	7
NrA6	31	1	3
NrA7	19	13	6
NrA8	6	5	3
NrA9	21	18	3
NrA10	8	9	7
NrA11	14	10	1
NrA12	26	27	1
NrA13	10	11	4
NrA14	16	17	2
