Name:		mgval_0.30_7A
Optimal value:	324
#Vehicles:	3
Capacity:	200
Depot Node:	1
#Nodes:		40
#Edges:		36
#Arcs:		50
#Required N:	17
#Required E:	25
#Required A:	35

ReN.	DEMAND	S. COST
N2	16	16
N3	6	6
N5	10	10
N8	8	8
N9	6	6
N16	4	4
N19	12	12
N20	11	11
N23	7	7
N25	2	2
N26	14	14
N27	13	13
N30	5	5
N34	8	8
N35	19	19
N36	6	6
N38	20	20

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E12	14	15	4	7	7
E13	28	35	10	15	15
E14	31	32	5	12	12
E15	15	16	3	8	8
E16	6	7	4	7	7
E17	12	17	4	8	8
E18	21	22	1	4	4
E19	34	35	6	8	8
E20	31	37	5	7	7
E21	1	10	8	12	12
E22	1	40	4	10	10
E23	29	36	4	9	9
E24	1	2	2	3	3
E25	17	18	5	8	8
E26	27	28	3	11	11
E27	2	6	2	8	8
E28	21	24	3	6	6
E29	3	4	2	5	5
E30	1	33	4	9	9
E31	33	34	3	8	8
E32	13	18	2	5	5
E33	11	16	3	10	10
E34	7	13	1	3	3
E35	18	22	6	13	13
E36	29	30	3	12	12

EDGE	FROM N.	TO N.	T. COST
NrE1	38	39	7
NrE2	26	33	5
NrE3	3	37	4
NrE4	23	24	2
NrE5	20	21	2
NrE6	20	23	3
NrE7	8	40	5
NrE8	27	34	3
NrE9	2	36	3
NrE10	5	39	2
NrE11	9	10	2

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A16	13	17	2	3	3
A17	9	15	2	4	4
A18	12	13	6	4	4
A19	36	35	6	7	7
A20	4	38	3	2	2
A21	17	20	6	6	6
A22	20	17	6	6	6
A23	25	24	2	3	3
A24	10	16	4	4	4
A25	24	25	2	2	2
A26	37	36	4	7	7
A27	13	12	6	4	4
A28	6	12	2	2	2
A29	9	8	5	6	6
A30	11	12	7	4	4
A31	3	2	5	5	5
A32	31	38	4	4	4
A33	30	37	3	5	5
A34	8	9	5	6	6
A35	1	8	4	9	9
A36	12	6	2	2	2
A37	3	7	2	3	3
A38	8	14	7	10	10
A39	4	5	3	3	3
A40	1	6	3	8	8
A41	17	13	2	3	3
A42	1	11	3	12	12
A43	15	9	2	5	5
A44	18	19	4	14	14
A45	31	30	3	5	5
A46	22	25	1	1	1
A47	12	11	7	5	5
A48	32	39	2	8	8
A49	26	27	4	4	4
A50	26	34	5	8	8

ARC	FROM N.	TO N.	T. COST
NrA1	2	3	5
NrA2	30	31	3
NrA3	34	26	5
NrA4	38	31	4
NrA5	36	37	4
NrA6	27	26	4
NrA7	35	36	6
NrA8	38	4	3
NrA9	19	13	6
NrA10	35	1	4
NrA11	38	37	2
NrA12	5	4	3
NrA13	16	10	4
NrA14	25	22	1
NrA15	1	35	4
