Name:		mgval_0.30_7B
Optimal value:	-1
#Vehicles:	4
Capacity:	150
Depot Node:	1
#Nodes:		40
#Edges:		25
#Arcs:		66
#Required N:	19
#Required E:	17
#Required A:	46

ReN.	DEMAND	S. COST
N2	2	2
N3	5	5
N5	3	3
N6	8	8
N7	7	7
N8	21	21
N9	3	3
N11	4	4
N13	23	23
N15	7	7
N18	14	14
N22	1	1
N26	8	8
N31	9	9
N33	9	9
N34	8	8
N36	11	11
N37	14	14
N39	13	13

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E9	27	34	3	9	9
E10	1	35	4	12	12
E11	23	24	2	7	7
E12	1	10	8	12	12
E13	10	16	4	8	8
E14	17	18	5	8	8
E15	1	40	4	10	10
E16	3	37	4	6	6
E17	11	16	3	10	10
E18	30	31	3	10	10
E19	18	22	6	13	13
E20	21	24	3	6	6
E21	4	5	3	7	7
E22	3	7	2	3	3
E23	26	33	5	14	14
E24	4	38	3	4	4
E25	15	16	3	8	8

EDGE	FROM N.	TO N.	T. COST
NrE1	1	8	4
NrE2	31	38	4
NrE3	13	18	2
NrE4	13	19	6
NrE5	6	12	2
NrE6	13	17	2
NrE7	7	13	1
NrE8	37	38	2

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A21	15	9	2	5	5
A22	1	11	3	12	12
A23	2	6	2	4	4
A24	26	27	4	8	8
A25	25	22	1	2	2
A26	35	28	10	8	8
A27	33	34	3	8	8
A28	29	36	4	4	4
A29	24	25	2	2	2
A30	21	20	2	3	3
A31	20	23	3	4	4
A32	2	3	5	4	4
A33	9	15	2	4	4
A34	32	31	5	6	6
A35	31	37	5	3	3
A36	1	6	3	4	4
A37	14	8	7	5	5
A38	21	22	1	4	4
A39	28	35	10	7	7
A40	2	36	3	12	12
A41	30	37	3	2	2
A42	39	5	2	3	3
A43	35	34	6	8	8
A44	25	24	2	3	3
A45	20	17	6	12	12
A46	35	36	6	7	7
A47	12	17	4	8	8
A48	13	12	6	4	4
A49	37	31	5	4	4
A50	8	14	7	5	5
A51	8	40	5	8	8
A52	23	20	3	4	4
A53	28	27	3	6	6
A54	12	11	7	5	5
A55	10	9	2	3	3
A56	3	4	2	2	2
A57	36	35	6	7	7
A58	6	7	4	3	3
A59	32	39	2	4	4
A60	6	2	2	4	4
A61	12	13	6	4	4
A62	30	29	3	12	12
A63	27	28	3	5	5
A64	31	32	5	6	6
A65	4	3	2	3	3
A66	1	2	2	1	1

ARC	FROM N.	TO N.	T. COST
NrA1	2	1	2
NrA2	3	2	5
NrA3	5	39	2
NrA4	39	32	2
NrA5	37	30	3
NrA6	33	1	4
NrA7	36	37	4
NrA8	36	29	4
NrA9	26	34	5
NrA10	6	1	3
NrA11	8	9	5
NrA12	39	38	7
NrA13	7	6	4
NrA14	18	19	4
NrA15	9	10	2
NrA16	34	26	5
NrA17	11	12	7
NrA18	37	36	4
NrA19	22	25	1
NrA20	15	14	4
