Name:		mgval_0.30_8A
Optimal value:	-1
#Vehicles:	3
Capacity:	200
Depot Node:	1
#Nodes:		30
#Edges:		20
#Arcs:		76
#Required N:	21
#Required E:	14
#Required A:	53

ReN.	DEMAND	S. COST
N5	13	13
N6	13	13
N7	7	7
N8	18	18
N9	20	20
N10	6	6
N11	12	12
N12	6	6
N13	9	9
N14	10	10
N15	4	4
N16	9	9
N17	6	6
N18	7	7
N20	4	4
N21	5	5
N22	13	13
N26	4	4
N28	6	6
N29	5	5
N30	9	9

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E7	14	17	4	8	8
E8	1	2	4	9	9
E9	8	15	10	16	16
E10	5	8	8	11	11
E11	23	30	3	5	5
E12	25	29	3	5	5
E13	22	29	4	7	7
E14	16	20	3	5	5
E15	7	8	8	9	9
E16	8	13	6	10	10
E17	28	29	7	10	10
E18	8	14	7	12	12
E19	13	16	8	10	10
E20	17	18	5	10	10

EDGE	FROM N.	TO N.	T. COST
NrE1	18	23	3
NrE2	6	11	7
NrE3	22	25	2
NrE4	8	9	7
NrE5	26	30	3
NrE6	1	9	10

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A24	22	23	10	12	12
A25	1	8	7	5	5
A26	21	16	7	4	4
A27	17	16	9	7	7
A28	18	26	9	6	6
A29	9	15	3	4	4
A30	15	19	7	5	5
A31	12	16	6	4	4
A32	18	15	3	4	4
A33	6	4	3	4	4
A34	4	6	3	4	4
A35	10	9	3	10	10
A36	19	18	2	3	3
A37	24	27	5	4	4
A38	8	1	7	5	5
A39	28	21	5	4	4
A40	22	17	5	6	6
A41	16	17	9	6	6
A42	20	24	2	2	2
A43	10	3	6	6	6
A44	26	18	9	6	6
A45	26	23	7	5	5
A46	11	12	5	7	7
A47	25	30	1	2	2
A48	19	15	7	6	6
A49	24	21	5	6	6
A50	27	24	5	5	5
A51	29	30	6	6	6
A52	3	10	6	6	6
A53	2	9	5	4	4
A54	21	20	7	5	5
A55	11	20	10	6	6
A56	21	28	5	4	4
A57	2	3	3	3	3
A58	20	11	10	7	7
A59	4	7	1	2	2
A60	3	2	3	3	3
A61	4	5	5	5	5
A62	15	18	3	3	3
A63	23	26	7	5	5
A64	20	27	5	4	4
A65	24	20	2	3	3
A66	19	10	10	6	6
A67	15	10	5	7	7
A68	12	13	3	3	3
A69	13	14	5	4	4
A70	27	20	5	4	4
A71	24	28	2	3	3
A72	28	24	2	3	3
A73	18	19	2	3	3
A74	14	13	5	4	4
A75	7	6	3	3	3
A76	27	28	10	5	5

ARC	FROM N.	TO N.	T. COST
NrA1	20	21	7
NrA2	14	15	9
NrA3	10	19	10
NrA4	28	27	10
NrA5	7	4	1
NrA6	6	7	3
NrA7	11	16	5
NrA8	16	12	6
NrA9	5	4	5
NrA10	16	21	7
NrA11	7	12	8
NrA12	15	9	3
NrA13	30	25	1
NrA14	30	29	6
NrA15	13	17	7
NrA16	9	2	5
NrA17	13	12	3
NrA18	12	7	8
NrA19	17	13	7
NrA20	22	21	5
NrA21	21	29	8
NrA22	1	5	3
NrA23	29	21	8
