Name:		mgval_0.30_8B
Optimal value:	-1
#Vehicles:	4
Capacity:	150
Depot Node:	1
#Nodes:		30
#Edges:		27
#Arcs:		64
#Required N:	21
#Required E:	18
#Required A:	44

ReN.	DEMAND	S. COST
N2	10	10
N3	6	6
N4	4	4
N5	5	5
N6	3	3
N7	3	3
N10	24	24
N12	14	14
N14	8	8
N15	11	11
N16	5	5
N17	3	3
N20	16	16
N21	8	8
N22	3	3
N23	10	10
N24	3	3
N25	2	2
N27	9	9
N28	10	10
N29	13	13

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E10	20	24	2	5	5
E11	18	19	2	6	6
E12	8	14	7	12	12
E13	16	17	9	13	13
E14	7	12	8	11	11
E15	13	17	7	12	12
E16	16	21	7	8	8
E17	14	15	9	10	10
E18	4	5	5	11	11
E19	1	2	4	9	9
E20	13	14	5	8	8
E21	15	19	7	11	11
E22	21	29	8	10	10
E23	22	23	10	12	12
E24	8	9	7	18	18
E25	6	11	7	10	10
E26	26	30	3	4	4
E27	22	29	4	7	7

EDGE	FROM N.	TO N.	T. COST
NrE1	29	30	6
NrE2	23	26	7
NrE3	4	7	1
NrE4	28	29	7
NrE5	14	17	4
NrE6	10	15	5
NrE7	12	13	3
NrE8	10	19	10
NrE9	15	18	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A21	24	28	2	3	3
A22	16	20	3	2	2
A23	18	17	5	5	5
A24	11	16	5	6	6
A25	30	25	1	2	2
A26	28	21	5	4	4
A27	1	8	7	5	5
A28	13	8	6	5	5
A29	28	27	10	11	11
A30	17	18	5	5	5
A31	8	13	6	5	5
A32	1	9	10	16	16
A33	5	1	3	4	4
A34	22	21	5	4	4
A35	30	23	3	3	3
A36	28	24	2	3	3
A37	11	12	5	3	3
A38	8	7	8	5	5
A39	25	29	3	2	2
A40	16	11	5	6	6
A41	27	20	5	4	4
A42	9	10	3	5	5
A43	1	5	3	3	3
A44	26	18	9	6	6
A45	18	26	9	6	6
A46	9	2	5	4	4
A47	7	8	8	4	4
A48	8	5	8	6	6
A49	9	15	3	4	4
A50	10	3	6	6	6
A51	21	28	5	4	4
A52	4	6	3	8	8
A53	20	27	5	4	4
A54	29	25	3	3	3
A55	15	8	10	16	16
A56	21	22	5	3	3
A57	23	30	3	2	2
A58	23	18	3	4	4
A59	18	23	3	3	3
A60	16	13	8	5	5
A61	20	21	7	4	4
A62	25	22	2	6	6
A63	13	16	8	5	5
A64	8	1	7	5	5

ARC	FROM N.	TO N.	T. COST
NrA1	21	20	7
NrA2	20	16	3
NrA3	21	24	5
NrA4	22	17	5
NrA5	17	22	5
NrA6	2	3	3
NrA7	7	6	3
NrA8	6	7	3
NrA9	12	11	5
NrA10	15	9	3
NrA11	5	8	8
NrA12	24	21	5
NrA13	2	9	5
NrA14	3	10	6
NrA15	16	12	6
NrA16	12	16	6
NrA17	27	24	5
NrA18	10	9	3
NrA19	25	30	1
NrA20	20	11	10
