Name:		mgval_0.30_9A
Optimal value:	-1
#Vehicles:	3
Capacity:	235
Depot Node:	1
#Nodes:		50
#Edges:		32
#Arcs:		100
#Required N:	26
#Required E:	22
#Required A:	70

ReN.	DEMAND	S. COST
N2	4	4
N3	7	7
N8	10	10
N10	18	18
N13	5	5
N14	7	7
N15	7	7
N16	17	17
N17	20	20
N20	2	2
N23	7	7
N24	5	5
N25	8	8
N29	9	9
N32	6	6
N33	5	5
N35	4	4
N36	10	10
N37	6	6
N39	12	12
N40	7	7
N43	10	10
N45	7	7
N46	2	2
N49	8	8
N50	4	4

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E11	28	36	5	8	8
E12	35	43	6	14	14
E13	26	34	4	6	6
E14	34	42	4	10	10
E15	24	29	2	6	6
E16	39	40	4	10	10
E17	28	29	5	8	8
E18	21	26	2	4	4
E19	19	32	7	16	16
E20	44	45	2	5	5
E21	18	19	1	2	2
E22	6	11	3	6	6
E23	10	11	2	4	4
E24	43	48	7	12	12
E25	31	39	4	6	6
E26	16	17	3	7	7
E27	21	22	2	4	4
E28	35	36	2	4	4
E29	11	18	3	9	9
E30	7	12	2	8	8
E31	10	17	4	8	8
E32	23	28	2	4	4

EDGE	FROM N.	TO N.	T. COST
NrE1	45	50	3
NrE2	2	5	2
NrE3	36	44	5
NrE4	23	24	2
NrE5	43	44	4
NrE6	25	26	2
NrE7	25	33	1
NrE8	17	30	6
NrE9	8	9	5
NrE10	29	37	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A31	33	34	2	4	4
A32	45	48	5	6	6
A33	18	17	1	3	3
A34	25	20	3	3	3
A35	9	1	3	4	4
A36	38	46	3	6	6
A37	38	37	2	3	3
A38	7	4	3	3	3
A39	21	20	1	3	3
A40	45	46	2	2	2
A41	22	13	4	5	5
A42	6	5	2	4	4
A43	26	27	3	2	2
A44	4	3	3	6	6
A45	34	35	1	2	2
A46	27	35	2	3	3
A47	23	29	4	1	1
A48	15	16	4	5	5
A49	17	31	4	15	15
A50	38	36	1	2	2
A51	22	23	5	4	4
A52	21	13	1	2	2
A53	6	7	3	3	3
A54	41	33	4	6	6
A55	48	49	4	5	5
A56	50	49	2	8	8
A57	41	42	2	2	2
A58	36	38	1	1	1
A59	38	30	3	2	2
A60	20	25	3	2	2
A61	15	23	1	1	1
A62	49	48	4	5	5
A63	13	8	6	6	6
A64	23	22	5	4	4
A65	2	3	2	1	1
A66	11	12	2	2	2
A67	12	19	4	8	8
A68	12	11	2	3	3
A69	22	28	4	8	8
A70	42	41	2	2	2
A71	46	38	3	6	6
A72	29	23	4	2	2
A73	4	7	3	3	3
A74	1	15	4	4	4
A75	7	6	3	4	4
A76	9	14	1	1	1
A77	15	1	4	4	4
A78	47	40	3	5	5
A79	43	42	2	5	5
A80	30	29	1	2	2
A81	30	38	3	2	2
A82	5	6	2	4	4
A83	28	27	1	2	2
A84	47	39	5	7	7
A85	24	17	4	6	6
A86	14	15	3	2	2
A87	1	5	3	12	12
A88	27	28	1	1	1
A89	31	32	2	3	3
A90	14	22	4	8	8
A91	27	26	3	3	3
A92	1	9	3	3	3
A93	8	13	6	5	5
A94	39	38	3	7	7
A95	48	45	5	6	6
A96	13	21	1	1	1
A97	9	13	4	12	12
A98	44	37	3	4	4
A99	35	34	1	3	3
A100	3	2	2	2	2

ARC	FROM N.	TO N.	T. COST
NrA1	46	45	2
NrA2	10	1	4
NrA3	40	47	3
NrA4	1	16	4
NrA5	14	23	2
NrA6	1	10	4
NrA7	15	24	2
NrA8	29	30	1
NrA9	35	27	2
NrA10	32	31	2
NrA11	17	24	4
NrA12	10	5	2
NrA13	24	30	3
NrA14	50	46	2
NrA15	3	6	4
NrA16	20	21	1
NrA17	37	44	3
NrA18	23	15	1
NrA19	15	14	3
NrA20	49	45	3
NrA21	39	47	5
NrA22	16	15	4
NrA23	37	38	2
NrA24	14	9	1
NrA25	13	22	4
NrA26	40	32	2
NrA27	16	1	4
NrA28	32	40	2
NrA29	33	41	4
NrA30	39	30	2
