Name:		mgval_0.30_9C
Optimal value:	-1
#Vehicles:	5
Capacity:	140
Depot Node:	1
#Nodes:		50
#Edges:		42
#Arcs:		83
#Required N:	25
#Required E:	29
#Required A:	58

ReN.	DEMAND	S. COST
N2	3	3
N7	4	4
N10	23	23
N11	14	14
N13	6	6
N14	13	13
N15	14	14
N17	12	12
N19	1	1
N21	6	6
N22	10	10
N23	8	8
N25	3	3
N28	2	2
N29	2	2
N31	3	3
N34	8	8
N36	4	4
N38	7	7
N40	5	5
N42	7	7
N43	12	12
N44	10	10
N45	14	14
N46	2	2

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E14	39	47	5	14	14
E15	6	7	3	7	7
E16	32	40	2	4	4
E17	37	44	3	8	8
E18	30	38	3	4	4
E19	27	35	2	7	7
E20	25	26	2	4	4
E21	40	47	3	10	10
E22	33	41	4	11	11
E23	1	9	3	7	7
E24	48	49	4	10	10
E25	8	9	5	10	10
E26	17	31	4	15	15
E27	38	46	3	12	12
E28	5	6	2	8	8
E29	29	30	1	4	4
E30	1	16	4	12	12
E31	16	17	3	7	7
E32	31	39	4	6	6
E33	36	44	5	10	10
E34	4	7	3	6	6
E35	37	38	2	5	5
E36	19	32	7	16	16
E37	9	14	1	3	3
E38	13	22	4	10	10
E39	25	33	1	4	4
E40	5	10	2	5	5
E41	33	34	2	4	4
E42	29	37	3	7	7

EDGE	FROM N.	TO N.	T. COST
NrE1	45	48	5
NrE2	43	48	7
NrE3	17	24	4
NrE4	10	17	4
NrE5	11	12	2
NrE6	22	28	4
NrE7	34	35	1
NrE8	15	16	4
NrE9	38	39	3
NrE10	23	28	2
NrE11	14	15	3
NrE12	44	45	2
NrE13	1	10	4

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A26	35	36	2	2	2
A27	30	24	3	5	5
A28	50	45	3	4	4
A29	49	50	2	4	4
A30	12	7	2	4	4
A31	24	23	2	3	3
A32	36	38	1	3	3
A33	36	35	2	2	2
A34	15	24	2	4	4
A35	11	6	3	3	3
A36	8	13	6	5	5
A37	1	5	3	6	6
A38	13	21	1	1	1
A39	34	42	4	5	5
A40	27	26	3	3	3
A41	17	30	6	7	7
A42	18	17	1	3	3
A43	11	10	2	2	2
A44	45	49	3	4	4
A45	12	19	4	4	4
A46	30	39	2	5	5
A47	23	22	5	8	8
A48	43	35	6	14	14
A49	43	42	2	3	3
A50	18	19	1	1	1
A51	15	1	4	4	4
A52	27	28	1	1	1
A53	26	27	3	2	2
A54	30	17	6	7	7
A55	20	21	1	5	5
A56	2	5	2	2	2
A57	23	14	2	3	3
A58	43	44	4	5	5
A59	29	24	2	3	3
A60	3	4	3	3	3
A61	20	25	3	2	2
A62	6	11	3	3	3
A63	50	49	2	4	4
A64	21	22	2	2	2
A65	28	36	5	4	4
A66	26	34	4	3	3
A67	24	29	2	3	3
A68	39	40	4	5	5
A69	15	23	1	1	1
A70	32	31	2	4	4
A71	50	46	2	4	4
A72	3	6	4	7	7
A73	49	45	3	4	4
A74	45	50	3	3	3
A75	13	9	4	12	12
A76	5	2	2	2	2
A77	41	42	2	4	4
A78	28	29	5	8	8
A79	19	12	4	4	4
A80	4	3	3	3	3
A81	23	29	4	1	1
A82	5	1	3	6	6
A83	14	23	2	2	2

ARC	FROM N.	TO N.	T. COST
NrA1	23	15	1
NrA2	19	18	1
NrA3	36	28	5
NrA4	11	18	3
NrA5	40	39	4
NrA6	25	20	3
NrA7	45	46	2
NrA8	2	3	2
NrA9	22	21	2
NrA10	42	34	4
NrA11	10	11	2
NrA12	21	26	2
NrA13	1	15	4
NrA14	23	24	2
NrA15	7	12	2
NrA16	44	43	4
NrA17	29	23	4
NrA18	46	45	2
NrA19	21	13	1
NrA20	14	22	4
NrA21	42	43	2
NrA22	13	8	6
NrA23	34	26	4
NrA24	31	32	2
NrA25	28	27	1
