Name:		mgval_0.30_9D
Optimal value:	-1
#Vehicles:	10
Capacity:	70
Depot Node:	1
#Nodes:		50
#Edges:		38
#Arcs:		93
#Required N:	31
#Required E:	26
#Required A:	65

ReN.	DEMAND	S. COST
N2	5	5
N3	7	7
N4	9	9
N5	6	6
N6	7	7
N9	6	6
N10	17	17
N11	9	9
N12	4	4
N13	3	3
N16	6	6
N17	15	15
N22	4	4
N23	4	4
N24	2	2
N26	5	5
N29	4	4
N30	5	5
N31	3	3
N32	4	4
N33	15	15
N34	5	5
N35	11	11
N37	2	2
N38	5	5
N39	14	14
N43	7	7
N44	8	8
N47	7	7
N48	6	6
N49	9	9

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E13	46	50	2	4	4
E14	26	34	4	6	6
E15	42	43	2	5	5
E16	14	15	3	5	5
E17	17	18	1	3	3
E18	9	14	1	3	3
E19	1	15	4	8	8
E20	20	21	1	5	5
E21	22	23	5	8	8
E22	36	44	5	10	10
E23	45	48	5	12	12
E24	12	19	4	8	8
E25	14	23	2	5	5
E26	30	38	3	4	4
E27	28	29	5	8	8
E28	34	42	4	10	10
E29	15	24	2	4	4
E30	28	36	5	8	8
E31	21	26	2	4	4
E32	17	24	4	12	12
E33	32	40	2	4	4
E34	5	10	2	5	5
E35	21	22	2	4	4
E36	41	42	2	4	4
E37	38	46	3	12	12
E38	45	50	3	7	7

EDGE	FROM N.	TO N.	T. COST
NrE1	11	18	3
NrE2	13	21	1
NrE3	29	30	1
NrE4	17	31	4
NrE5	3	6	4
NrE6	4	7	3
NrE7	2	5	2
NrE8	33	41	4
NrE9	23	28	2
NrE10	35	36	2
NrE11	6	7	3
NrE12	26	27	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A29	44	43	4	5	5
A30	48	49	4	5	5
A31	11	12	2	2	2
A32	23	24	2	2	2
A33	18	19	1	2	2
A34	3	2	2	2	2
A35	8	9	5	10	10
A36	25	33	1	2	2
A37	28	27	1	2	2
A38	13	22	4	5	5
A39	17	10	4	4	4
A40	14	22	4	4	4
A41	33	25	1	2	2
A42	43	44	4	5	5
A43	39	31	4	3	3
A44	27	35	2	7	7
A45	19	32	7	8	8
A46	11	6	3	3	3
A47	45	44	2	5	5
A48	32	19	7	8	8
A49	50	49	2	4	4
A50	16	15	4	5	5
A51	29	24	2	3	3
A52	47	40	3	10	10
A53	49	50	2	4	4
A54	31	39	4	3	3
A55	26	25	2	2	2
A56	22	13	4	5	5
A57	39	30	2	3	3
A58	6	11	3	3	3
A59	20	25	3	2	2
A60	28	22	4	8	8
A61	30	17	6	7	7
A62	15	23	1	1	1
A63	8	13	6	5	5
A64	1	9	3	3	3
A65	24	29	2	3	3
A66	45	49	3	4	4
A67	16	17	3	7	7
A68	9	1	3	4	4
A69	39	40	4	10	10
A70	24	23	2	3	3
A71	6	5	2	4	4
A72	36	38	1	1	1
A73	43	48	7	6	6
A74	23	15	1	2	2
A75	25	26	2	2	2
A76	29	37	3	3	3
A77	3	4	3	3	3
A78	46	45	2	4	4
A79	27	28	1	1	1
A80	1	5	3	6	6
A81	15	16	4	5	5
A82	10	11	2	4	4
A83	5	6	2	4	4
A84	1	16	4	6	6
A85	13	9	4	6	6
A86	37	29	3	4	4
A87	23	29	4	1	1
A88	13	8	6	6	6
A89	29	23	4	2	2
A90	17	30	6	7	7
A91	25	20	3	3	3
A92	7	12	2	4	4
A93	12	11	2	3	3

ARC	FROM N.	TO N.	T. COST
NrA1	10	17	4
NrA2	49	45	3
NrA3	44	37	3
NrA4	39	47	5
NrA5	2	3	2
NrA6	16	1	4
NrA7	37	38	2
NrA8	30	24	3
NrA9	34	35	1
NrA10	38	36	1
NrA11	31	32	2
NrA12	43	35	6
NrA13	9	13	4
NrA14	22	14	4
NrA15	24	30	3
NrA16	1	10	4
NrA17	38	37	2
NrA18	4	3	3
NrA19	35	43	6
NrA20	49	48	4
NrA21	48	43	7
NrA22	47	39	5
NrA23	5	1	3
NrA24	30	39	2
NrA25	12	7	2
NrA26	39	38	3
NrA27	32	31	2
NrA28	33	34	2
