Name:		mgval_0.35_10A
Optimal value:	475
#Vehicles:	3
Capacity:	250
Depot Node:	1
#Nodes:		50
#Edges:		32
#Arcs:		106
#Required N:	34
#Required E:	20
#Required A:	68

ReN.	DEMAND	S. COST
N5	8	8
N6	17	17
N7	13	13
N8	7	7
N10	8	8
N13	8	8
N14	4	4
N15	7	7
N16	3	3
N19	9	9
N21	3	3
N22	10	10
N23	3	3
N24	8	8
N26	1	1
N27	10	10
N28	4	4
N29	4	4
N30	2	2
N31	12	12
N32	3	3
N33	21	21
N34	5	5
N35	8	8
N36	3	3
N38	13	13
N40	8	8
N41	4	4
N42	10	10
N43	7	7
N46	7	7
N48	6	6
N49	5	5
N50	6	6

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E13	17	25	7	8	8
E14	2	3	6	10	10
E15	33	34	4	6	6
E16	23	31	3	10	10
E17	5	6	9	10	10
E18	3	9	5	6	6
E19	40	47	2	3	3
E20	15	23	1	6	6
E21	20	21	4	7	7
E22	31	37	2	6	6
E23	27	36	8	12	12
E24	26	29	2	4	4
E25	9	15	2	8	8
E26	32	38	5	9	9
E27	22	31	6	9	9
E28	25	28	3	6	6
E29	28	38	6	10	10
E30	6	13	3	8	8
E31	1	2	10	13	13
E32	41	48	1	3	3

EDGE	FROM N.	TO N.	T. COST
NrE1	33	39	3
NrE2	41	49	2
NrE3	42	44	1
NrE4	33	46	6
NrE5	43	45	1
NrE6	6	7	5
NrE7	1	6	2
NrE8	46	47	4
NrE9	8	14	3
NrE10	40	41	3
NrE11	28	32	1
NrE12	27	30	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A39	34	26	5	5	5
A40	48	49	7	5	5
A41	36	42	2	3	3
A42	3	4	6	9	9
A43	11	12	3	2	2
A44	38	45	7	4	4
A45	12	6	2	4	4
A46	18	5	9	12	12
A47	2	7	1	3	3
A48	32	31	3	3	3
A49	24	16	3	4	4
A50	42	41	4	6	6
A51	30	20	9	6	6
A52	27	21	4	4	4
A53	30	34	1	5	5
A54	9	8	3	5	5
A55	4	10	3	3	3
A56	49	50	10	6	6
A57	20	12	2	4	4
A58	41	35	3	4	4
A59	33	29	6	4	4
A60	11	5	3	5	5
A61	16	9	5	9	9
A62	18	19	1	4	4
A63	44	49	4	5	5
A64	13	21	3	3	3
A65	12	11	3	3	3
A66	45	50	3	3	3
A67	43	37	2	4	4
A68	26	34	5	5	5
A69	15	14	1	3	3
A70	22	23	2	3	3
A71	29	18	5	5	5
A72	18	29	5	5	5
A73	37	32	3	4	4
A74	16	17	7	4	4
A75	37	43	2	3	3
A76	50	45	3	4	4
A77	31	32	3	2	2
A78	50	44	5	4	4
A79	22	14	5	5	5
A80	37	36	2	4	4
A81	40	34	1	5	5
A82	19	11	1	8	8
A83	8	7	2	3	3
A84	17	16	7	4	4
A85	32	24	5	6	6
A86	26	18	2	5	5
A87	20	30	9	6	6
A88	12	20	2	3	3
A89	17	10	7	6	6
A90	39	29	5	7	7
A91	19	26	1	3	3
A92	14	15	1	2	2
A93	10	17	7	5	5
A94	50	43	6	3	3
A95	24	32	5	5	5
A96	12	13	1	2	2
A97	45	38	7	5	5
A98	26	19	1	3	3
A99	44	50	5	3	3
A100	21	27	4	3	3
A101	37	38	7	4	4
A102	18	26	2	4	4
A103	5	11	3	4	4
A104	24	25	2	7	7
A105	9	10	8	4	4
A106	43	42	4	5	5

ARC	FROM N.	TO N.	T. COST
NrA1	24	23	6
NrA2	22	21	5
NrA3	33	40	3
NrA4	30	26	1
NrA5	1	5	7
NrA6	42	36	2
NrA7	32	37	3
NrA8	13	14	2
NrA9	19	20	3
NrA10	49	48	7
NrA11	36	35	3
NrA12	7	8	2
NrA13	42	43	4
NrA14	10	4	3
NrA15	7	13	4
NrA16	13	12	1
NrA17	35	36	3
NrA18	5	1	7
NrA19	26	30	1
NrA20	29	33	6
NrA21	38	43	3
NrA22	31	27	7
NrA23	21	13	3
NrA24	27	35	6
NrA25	34	35	2
NrA26	16	24	3
NrA27	38	37	7
NrA28	40	33	3
NrA29	14	22	5
NrA30	15	16	2
NrA31	50	49	10
NrA32	43	50	6
NrA33	6	12	2
NrA34	7	2	1
NrA35	35	27	6
NrA36	10	9	8
NrA37	23	22	2
NrA38	48	47	3
