Name:		mgval_0.35_10B
Optimal value:	-1
#Vehicles:	4
Capacity:	190
Depot Node:	1
#Nodes:		50
#Edges:		33
#Arcs:		101
#Required N:	32
#Required E:	21
#Required A:	65

ReN.	DEMAND	S. COST
N2	5	5
N3	3	3
N4	3	3
N6	17	17
N7	16	16
N8	12	12
N9	9	9
N10	8	8
N12	14	14
N13	4	4
N16	7	7
N18	4	4
N22	4	4
N24	8	8
N25	6	6
N26	5	5
N27	6	6
N28	12	12
N29	3	3
N30	3	3
N31	11	11
N32	6	6
N33	21	21
N34	18	18
N35	9	9
N36	4	4
N38	9	9
N42	7	7
N43	5	5
N44	7	7
N46	7	7
N47	2	2

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E13	16	17	7	8	8
E14	33	39	3	8	8
E15	34	35	2	5	5
E16	32	37	3	7	7
E17	43	45	1	4	4
E18	41	49	2	4	4
E19	44	49	4	5	5
E20	32	38	5	9	9
E21	35	36	3	6	6
E22	43	50	6	6	6
E23	27	36	8	12	12
E24	41	48	1	3	3
E25	1	6	2	7	7
E26	17	25	7	8	8
E27	33	40	3	7	7
E28	1	2	10	13	13
E29	38	43	3	8	8
E30	23	31	3	10	10
E31	41	42	4	6	6
E32	38	45	7	9	9
E33	47	48	3	6	6

EDGE	FROM N.	TO N.	T. COST
NrE1	16	24	3
NrE2	12	20	2
NrE3	33	46	6
NrE4	35	41	3
NrE5	9	16	5
NrE6	6	7	5
NrE7	46	47	4
NrE8	8	14	3
NrE9	8	9	3
NrE10	25	28	3
NrE11	44	50	5
NrE12	7	8	2

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A37	42	44	1	1	1
A38	6	13	3	4	4
A39	9	10	8	4	4
A40	18	5	9	6	6
A41	14	13	2	3	3
A42	11	19	1	8	8
A43	13	12	1	2	2
A44	9	3	5	3	3
A45	32	28	1	2	2
A46	44	42	1	2	2
A47	27	35	6	4	4
A48	24	25	2	7	7
A49	20	21	4	7	7
A50	15	9	2	4	4
A51	4	3	6	9	9
A52	22	14	5	5	5
A53	39	29	5	4	4
A54	1	5	7	8	8
A55	13	14	2	3	3
A56	22	23	2	6	6
A57	26	34	5	5	5
A58	11	12	3	2	2
A59	29	26	2	2	2
A60	18	29	5	10	10
A61	24	32	5	5	5
A62	26	30	1	3	3
A63	41	40	3	2	2
A64	17	10	7	11	11
A65	2	7	1	3	3
A66	5	18	9	6	6
A67	45	50	3	3	3
A68	40	47	2	1	1
A69	40	41	3	2	2
A70	20	30	9	12	12
A71	49	48	7	10	10
A72	15	16	2	3	3
A73	37	43	2	3	3
A74	3	2	6	5	5
A75	5	11	3	4	4
A76	26	19	1	6	6
A77	27	21	4	7	7
A78	27	30	3	3	3
A79	19	18	1	2	2
A80	12	13	1	2	2
A81	15	14	1	3	3
A82	26	29	2	2	2
A83	18	19	1	2	2
A84	15	23	1	6	6
A85	21	22	5	5	5
A86	9	15	2	4	4
A87	16	15	2	4	4
A88	32	31	3	5	5
A89	50	45	3	4	4
A90	22	21	5	5	5
A91	37	31	2	6	6
A92	6	12	2	3	3
A93	43	37	2	4	4
A94	20	19	3	5	5
A95	49	50	10	12	12
A96	21	13	3	6	6
A97	19	20	3	4	4
A98	11	5	3	5	5
A99	14	15	1	2	2
A100	36	42	2	3	3
A101	14	22	5	4	4

ARC	FROM N.	TO N.	T. COST
NrA1	47	40	2
NrA2	12	11	3
NrA3	42	43	4
NrA4	10	4	3
NrA5	33	34	4
NrA6	34	33	4
NrA7	12	6	2
NrA8	18	26	2
NrA9	3	9	5
NrA10	6	5	9
NrA11	7	13	4
NrA12	38	37	7
NrA13	27	31	7
NrA14	22	31	6
NrA15	4	10	3
NrA16	31	27	7
NrA17	7	2	1
NrA18	29	39	5
NrA19	36	37	2
NrA20	30	27	3
NrA21	34	40	1
NrA22	43	42	4
NrA23	28	38	6
NrA24	34	30	1
NrA25	10	9	8
NrA26	2	3	6
NrA27	13	6	3
NrA28	42	36	2
NrA29	24	23	6
NrA30	32	24	5
NrA31	33	29	6
NrA32	35	27	6
NrA33	31	22	6
NrA34	26	18	2
NrA35	34	26	5
NrA36	28	32	1
