Name:		mgval_0.35_10C
Optimal value:	-1
#Vehicles:	5
Capacity:	150
Depot Node:	1
#Nodes:		50
#Edges:		36
#Arcs:		100
#Required N:	34
#Required E:	23
#Required A:	65

ReN.	DEMAND	S. COST
N2	16	16
N3	15	15
N4	3	3
N5	10	10
N6	10	10
N7	7	7
N8	7	7
N9	7	7
N10	11	11
N11	5	5
N13	3	3
N15	3	3
N18	11	11
N20	4	4
N21	7	7
N22	5	5
N24	11	11
N25	10	10
N26	14	14
N27	16	16
N31	9	9
N32	7	7
N33	13	13
N34	2	2
N36	6	6
N37	3	3
N38	23	23
N40	4	4
N41	4	4
N43	9	9
N44	2	2
N47	3	3
N48	13	13
N49	12	12

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E14	11	19	1	8	8
E15	20	30	9	12	12
E16	15	23	1	6	6
E17	40	41	3	4	4
E18	23	31	3	10	10
E19	9	10	8	9	9
E20	29	33	6	8	8
E21	22	23	2	6	6
E22	43	50	6	6	6
E23	34	35	2	5	5
E24	20	21	4	7	7
E25	11	12	3	5	5
E26	41	48	1	3	3
E27	33	39	3	8	8
E28	43	45	1	4	4
E29	28	32	1	4	4
E30	29	39	5	7	7
E31	1	6	2	7	7
E32	35	36	3	6	6
E33	27	31	7	12	12
E34	26	30	1	3	3
E35	14	22	5	9	9
E36	16	17	7	8	8

EDGE	FROM N.	TO N.	T. COST
NrE1	27	30	3
NrE2	10	17	7
NrE3	26	29	2
NrE4	25	28	3
NrE5	24	32	5
NrE6	32	37	3
NrE7	3	9	5
NrE8	6	12	2
NrE9	36	42	2
NrE10	26	34	5
NrE11	2	3	6
NrE12	38	45	7
NrE13	33	46	6

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A36	45	50	3	3	3
A37	38	28	6	5	5
A38	50	45	3	4	4
A39	31	37	2	3	3
A40	36	27	8	6	6
A41	34	33	4	3	3
A42	21	22	5	5	5
A43	5	18	9	6	6
A44	47	40	2	2	2
A45	30	34	1	2	2
A46	14	15	1	2	2
A47	5	1	7	4	4
A48	35	27	6	5	5
A49	40	34	1	3	3
A50	16	24	3	3	3
A51	15	9	2	8	8
A52	24	16	3	4	4
A53	13	6	3	8	8
A54	8	9	3	2	2
A55	13	14	2	3	3
A56	44	42	1	2	2
A57	24	25	2	3	3
A58	10	4	3	3	3
A59	1	5	7	4	4
A60	43	38	3	4	4
A61	33	40	3	3	3
A62	43	37	2	7	7
A63	49	41	2	4	4
A64	42	44	1	1	1
A65	49	44	4	3	3
A66	13	12	1	2	2
A67	18	19	1	4	4
A68	8	7	2	3	3
A69	26	19	1	3	3
A70	7	8	2	3	3
A71	23	24	6	4	4
A72	36	37	2	4	4
A73	28	38	6	5	5
A74	16	15	2	4	4
A75	50	44	5	7	7
A76	2	1	10	7	7
A77	34	30	1	3	3
A78	21	13	3	6	6
A79	15	16	2	3	3
A80	19	26	1	3	3
A81	7	2	1	4	4
A82	20	19	3	5	5
A83	12	20	2	3	3
A84	12	13	1	2	2
A85	5	11	3	4	4
A86	37	38	7	4	4
A87	38	43	3	4	4
A88	19	20	3	4	4
A89	31	32	3	5	5
A90	16	9	5	5	5
A91	41	42	4	3	3
A92	24	23	6	4	4
A93	40	47	2	1	1
A94	18	26	2	9	9
A95	46	47	4	7	7
A96	29	18	5	5	5
A97	2	7	1	3	3
A98	42	41	4	3	3
A99	17	25	7	8	8
A100	14	13	2	3	3

ARC	FROM N.	TO N.	T. COST
NrA1	38	32	5
NrA2	15	14	1
NrA3	27	36	8
NrA4	21	27	4
NrA5	3	4	6
NrA6	34	40	1
NrA7	48	47	3
NrA8	5	6	9
NrA9	9	16	5
NrA10	27	35	6
NrA11	18	5	9
NrA12	20	12	2
NrA13	48	49	7
NrA14	31	22	6
NrA15	8	14	3
NrA16	22	21	5
NrA17	38	37	7
NrA18	11	5	3
NrA19	13	7	4
NrA20	7	6	5
NrA21	9	8	3
NrA22	4	10	3
NrA23	37	31	2
NrA24	47	48	3
NrA25	40	33	3
NrA26	18	29	5
NrA27	49	50	10
NrA28	33	34	4
NrA29	41	35	3
NrA30	7	13	4
NrA31	6	7	5
NrA32	1	2	10
NrA33	44	49	4
NrA34	43	42	4
NrA35	25	24	2
