Name:		mgval_0.35_1A
Optimal value:	158
#Vehicles:	2
Capacity:	200
Depot Node:	1
#Nodes:		24
#Edges:		20
#Arcs:		35
#Required N:	12
#Required E:	13
#Required A:	22

ReN.	DEMAND	S. COST
N3	21	21
N4	4	4
N5	25	25
N8	4	4
N14	8	8
N15	8	8
N16	3	3
N19	27	27
N20	6	6
N21	13	13
N22	4	4
N23	15	15

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E8	17	18	2	4	4
E9	1	9	3	9	9
E10	20	21	3	12	12
E11	15	16	2	4	4
E12	7	8	4	12	12
E13	13	14	5	10	10
E14	6	11	7	18	18
E15	16	17	1	4	4
E16	13	17	2	3	3
E17	6	7	3	12	12
E18	1	11	7	12	12
E19	15	21	6	14	14
E20	1	19	4	13	13

EDGE	FROM N.	TO N.	T. COST
NrE1	5	6	10
NrE2	21	24	4
NrE3	19	20	5
NrE4	23	24	2
NrE5	3	4	5
NrE6	14	18	3
NrE7	4	5	4

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A14	21	23	5	6	6
A15	5	2	3	6	6
A16	11	12	2	2	2
A17	12	11	2	3	3
A18	9	19	5	7	7
A19	14	8	4	5	5
A20	22	19	5	7	7
A21	1	5	3	2	2
A22	10	2	2	5	5
A23	20	1	5	7	7
A24	2	4	1	1	1
A25	9	3	2	2	2
A26	12	6	4	7	7
A27	12	16	3	2	2
A28	6	12	4	6	6
A29	3	9	2	2	2
A30	12	17	4	3	3
A31	17	12	4	4	4
A32	7	13	4	2	2
A33	13	7	4	3	3
A34	2	5	3	6	6
A35	11	5	4	5	5

ARC	FROM N.	TO N.	T. COST
NrA1	19	9	5
NrA2	3	10	3
NrA3	1	20	5
NrA4	16	12	3
NrA5	4	2	1
NrA6	5	11	4
NrA7	19	22	5
NrA8	22	23	2
NrA9	8	14	4
NrA10	5	1	3
NrA11	23	21	5
NrA12	15	20	3
NrA13	23	22	2
