Name:		mgval_0.35_1B
Optimal value:	192
#Vehicles:	3
Capacity:	120
Depot Node:	1
#Nodes:		24
#Edges:		13
#Arcs:		38
#Required N:	16
#Required E:	8
#Required A:	24

ReN.	DEMAND	S. COST
N2	2	2
N3	3	3
N5	8	8
N6	18	18
N7	12	12
N10	4	4
N11	17	17
N12	13	13
N13	5	5
N14	5	5
N17	4	4
N18	8	8
N19	13	13
N20	12	12
N21	13	13
N23	4	4

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E6	2	10	2	5	5
E7	5	11	4	9	9
E8	6	7	3	12	12
E9	3	4	5	14	14
E10	4	5	4	3	3
E11	1	20	5	13	13
E12	13	17	2	3	3
E13	21	24	4	13	13

EDGE	FROM N.	TO N.	T. COST
NrE1	19	22	5
NrE2	20	21	3
NrE3	1	11	7
NrE4	11	12	2
NrE5	7	8	4

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A15	20	15	3	4	4
A16	16	15	2	4	4
A17	8	14	4	4	4
A18	15	21	6	7	7
A19	14	8	4	5	5
A20	19	9	5	14	14
A21	5	1	3	2	2
A22	16	17	1	2	2
A23	9	1	3	9	9
A24	6	5	10	19	19
A25	19	1	4	13	13
A26	17	16	1	2	2
A27	15	20	3	4	4
A28	17	12	4	7	7
A29	20	19	5	7	7
A30	22	23	2	4	4
A31	16	12	3	3	3
A32	23	21	5	6	6
A33	2	5	3	6	6
A34	13	7	4	5	5
A35	23	22	2	5	5
A36	9	3	2	4	4
A37	12	16	3	2	2
A38	19	20	5	7	7

ARC	FROM N.	TO N.	T. COST
NrA1	6	11	7
NrA2	12	6	4
NrA3	10	3	3
NrA4	18	14	3
NrA5	17	18	2
NrA6	2	4	1
NrA7	21	23	5
NrA8	21	15	6
NrA9	5	2	3
NrA10	14	13	5
NrA11	23	24	2
NrA12	3	10	3
NrA13	1	5	3
NrA14	13	14	5
