Name:		mgval_0.35_1C
Optimal value:	-1
#Vehicles:	8
Capacity:	45
Depot Node:	1
#Nodes:		24
#Edges:		17
#Arcs:		36
#Required N:	14
#Required E:	11
#Required A:	23

ReN.	DEMAND	S. COST
N2	14	14
N3	4	4
N4	1	1
N5	6	6
N6	19	19
N9	9	9
N11	6	6
N12	10	10
N15	4	4
N16	4	4
N17	2	2
N18	2	2
N20	25	25
N24	7	7

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E7	7	8	4	12	12
E8	23	24	2	4	4
E9	7	13	4	5	5
E10	22	23	2	9	9
E11	3	4	5	14	14
E12	14	18	3	8	8
E13	21	23	5	12	12
E14	3	10	3	7	7
E15	5	11	4	9	9
E16	13	14	5	10	10
E17	6	11	7	18	18

EDGE	FROM N.	TO N.	T. COST
NrE1	12	16	3
NrE2	6	12	4
NrE3	2	5	3
NrE4	3	9	2
NrE5	1	5	3
NrE6	1	20	5

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A14	19	20	5	14	14
A15	2	4	1	2	2
A16	21	24	4	6	6
A17	13	17	2	1	1
A18	19	22	5	13	13
A19	15	21	6	7	7
A20	12	17	4	3	3
A21	10	2	2	3	3
A22	7	6	3	6	6
A23	6	5	10	10	10
A24	11	1	7	6	6
A25	16	17	1	2	2
A26	17	16	1	2	2
A27	9	19	5	7	7
A28	21	15	6	7	7
A29	17	12	4	4	4
A30	8	14	4	4	4
A31	1	19	4	13	13
A32	14	8	4	5	5
A33	5	6	10	9	9
A34	17	18	2	2	2
A35	19	9	5	7	7
A36	20	15	3	4	4

ARC	FROM N.	TO N.	T. COST
NrA1	20	21	3
NrA2	24	21	4
NrA3	15	20	3
NrA4	5	4	4
NrA5	6	7	3
NrA6	2	10	2
NrA7	18	17	2
NrA8	1	9	3
NrA9	16	15	2
NrA10	17	13	2
NrA11	1	11	7
NrA12	4	5	4
NrA13	12	11	2
