Name:		mgval_0.35_2B
Optimal value:	326
#Vehicles:	3
Capacity:	120
Depot Node:	1
#Nodes:		24
#Edges:		12
#Arcs:		40
#Required N:	13
#Required E:	7
#Required A:	26

ReN.	DEMAND	S. COST
N5	11	11
N6	21	21
N8	6	6
N9	24	24
N10	22	22
N11	4	4
N13	6	6
N14	4	4
N18	5	5
N19	8	8
N20	11	11
N21	4	4
N23	8	8

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E6	4	5	8	9	9
E7	14	18	2	5	5
E8	11	15	3	6	6
E9	20	23	4	7	7
E10	16	17	3	9	9
E11	15	16	6	8	8
E12	13	14	1	4	4

EDGE	FROM N.	TO N.	T. COST
NrE1	10	20	4
NrE2	6	7	5
NrE3	6	12	9
NrE4	20	21	5
NrE5	13	17	1

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A15	1	2	4	3	3
A16	24	21	8	5	5
A17	12	11	4	4	4
A18	23	22	9	7	7
A19	12	16	8	4	4
A20	22	19	5	4	4
A21	7	8	2	2	2
A22	19	22	5	4	4
A23	2	1	4	3	3
A24	11	10	11	7	7
A25	3	4	3	6	6
A26	10	9	8	6	6
A27	13	12	5	3	3
A28	11	12	4	3	3
A29	1	3	5	8	8
A30	16	12	8	5	5
A31	4	2	2	4	4
A32	2	4	2	3	3
A33	10	11	11	6	6
A34	19	20	9	14	14
A35	15	21	3	2	2
A36	12	13	5	3	3
A37	22	23	9	6	6
A38	17	18	7	5	5
A39	24	23	12	9	9
A40	21	15	3	2	2

ARC	FROM N.	TO N.	T. COST
NrA1	9	10	8
NrA2	5	11	5
NrA3	9	3	4
NrA4	14	8	3
NrA5	11	5	5
NrA6	23	24	12
NrA7	9	19	9
NrA8	19	9	9
NrA9	5	10	8
NrA10	8	14	3
NrA11	21	24	8
NrA12	18	17	7
NrA13	10	5	8
NrA14	8	7	2
