Name:		mgval_0.35_3C
Optimal value:	-1
#Vehicles:	7
Capacity:	20
Depot Node:	1
#Nodes:		24
#Edges:		18
#Arcs:		25
#Required N:	13
#Required E:	11
#Required A:	16

ReN.	DEMAND	S. COST
N2	4	4
N3	3	3
N4	2	2
N5	4	4
N6	1	1
N7	3	3
N8	7	7
N9	3	3
N11	1	1
N12	5	5
N13	1	1
N14	6	6
N16	4	4

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E8	3	4	2	4	4
E9	9	19	1	3	3
E10	11	15	1	4	4
E11	15	21	1	4	4
E12	6	7	3	5	5
E13	22	23	3	4	4
E14	10	11	3	5	5
E15	21	24	1	3	3
E16	10	20	2	4	4
E17	5	10	2	4	4
E18	13	17	3	5	5

EDGE	FROM N.	TO N.	T. COST
NrE1	8	14	3
NrE2	16	17	4
NrE3	9	10	2
NrE4	1	2	2
NrE5	5	11	4
NrE6	14	18	3
NrE7	1	3	1

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A10	15	16	1	1	1
A11	22	19	3	7	7
A12	2	4	1	1	1
A13	5	6	3	5	5
A14	13	14	2	4	4
A15	21	20	2	4	4
A16	17	18	1	1	1
A17	19	20	1	2	2
A18	20	23	1	2	2
A19	18	17	1	2	2
A20	16	15	1	2	2
A21	23	24	1	5	5
A22	23	20	1	2	2
A23	16	12	1	1	1
A24	4	5	2	6	6
A25	8	7	1	3	3

ARC	FROM N.	TO N.	T. COST
NrA1	12	11	1
NrA2	12	13	1
NrA3	11	12	1
NrA4	12	6	1
NrA5	9	3	1
NrA6	6	12	1
NrA7	13	12	1
NrA8	7	8	1
NrA9	4	2	1
