Name:		mgval_0.35_4A
Optimal value:	-1
#Vehicles:	3
Capacity:	225
Depot Node:	1
#Nodes:		41
#Edges:		26
#Arcs:		69
#Required N:	24
#Required E:	16
#Required A:	44

ReN.	DEMAND	S. COST
N2	22	22
N3	15	15
N4	3	3
N5	8	8
N7	16	16
N10	7	7
N11	4	4
N12	5	5
N13	14	14
N14	15	15
N15	25	25
N16	18	18
N18	14	14
N20	14	14
N23	4	4
N24	16	16
N25	9	9
N30	19	19
N32	5	5
N33	2	2
N34	4	4
N36	6	6
N39	12	12
N40	4	4

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E11	17	20	2	4	4
E12	27	32	3	8	8
E13	23	29	5	14	14
E14	2	3	1	2	2
E15	21	27	1	3	3
E16	5	6	6	13	13
E17	8	9	2	3	3
E18	21	22	4	9	9
E19	17	18	4	7	7
E20	4	5	1	2	2
E21	35	36	8	12	12
E22	31	35	4	7	7
E23	24	30	8	12	12
E24	32	36	10	13	13
E25	34	38	7	12	12
E26	16	19	1	2	2

EDGE	FROM N.	TO N.	T. COST
NrE1	13	23	7
NrE2	34	35	2
NrE3	1	7	5
NrE4	1	2	1
NrE5	23	24	3
NrE6	5	11	4
NrE7	20	21	5
NrE8	2	8	10
NrE9	15	25	9
NrE10	14	23	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A26	8	7	2	2	2
A27	26	25	6	5	5
A28	39	38	9	5	5
A29	12	6	3	8	8
A30	31	25	7	6	6
A31	40	39	2	3	3
A32	38	39	9	5	5
A33	14	9	5	5	5
A34	37	36	8	6	6
A35	27	28	7	6	6
A36	37	33	2	2	2
A37	27	26	7	11	11
A38	29	34	14	17	17
A39	16	11	6	6	6
A40	9	10	3	3	3
A41	14	15	3	4	4
A42	9	14	5	5	5
A43	33	27	5	9	9
A44	27	20	5	4	4
A45	40	36	4	4	4
A46	10	15	1	1	1
A47	3	9	1	1	1
A48	20	27	5	4	4
A49	26	32	7	13	13
A50	11	16	6	6	6
A51	17	11	2	2	2
A52	36	40	4	3	3
A53	35	39	10	7	7
A54	36	39	3	4	4
A55	11	12	5	4	4
A56	15	16	3	3	3
A57	41	37	5	5	5
A58	13	14	8	8	8
A59	10	11	4	3	3
A60	25	26	6	4	4
A61	11	17	2	2	2
A62	13	7	7	14	14
A63	28	27	7	7	7
A64	37	41	5	4	4
A65	31	32	5	4	4
A66	19	26	8	5	5
A67	22	28	5	12	12
A68	26	19	8	5	5
A69	30	29	3	6	6

ARC	FROM N.	TO N.	T. COST
NrA1	14	13	8
NrA2	39	35	10
NrA3	32	31	5
NrA4	15	10	1
NrA5	4	10	3
NrA6	24	25	4
NrA7	24	14	4
NrA8	10	9	3
NrA9	10	4	3
NrA10	15	14	3
NrA11	39	36	3
NrA12	16	17	9
NrA13	3	4	7
NrA14	7	8	2
NrA15	40	41	4
NrA16	20	19	3
NrA17	25	24	4
NrA18	16	15	3
NrA19	36	37	8
NrA20	33	37	2
NrA21	30	31	12
NrA22	11	10	4
NrA23	18	22	6
NrA24	12	11	5
NrA25	25	31	7
