Name:		mgval_0.35_4B
Optimal value:	-1
#Vehicles:	4
Capacity:	170
Depot Node:	1
#Nodes:		41
#Edges:		19
#Arcs:		83
#Required N:	25
#Required E:	12
#Required A:	53

ReN.	DEMAND	S. COST
N3	1	1
N4	2	2
N6	4	4
N7	22	22
N10	7	7
N13	23	23
N14	11	11
N15	12	12
N16	3	3
N18	4	4
N19	4	4
N21	4	4
N23	11	11
N25	21	21
N26	6	6
N27	12	12
N30	15	15
N32	6	6
N33	4	4
N34	8	8
N35	4	4
N36	11	11
N37	21	21
N39	1	1
N40	2	2

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E8	31	32	5	9	9
E9	5	6	6	13	13
E10	38	39	9	10	10
E11	26	27	7	11	11
E12	23	24	3	4	4
E13	29	30	3	6	6
E14	2	8	10	20	20
E15	3	9	1	1	1
E16	16	17	9	15	15
E17	3	4	7	15	15
E18	18	22	6	14	14
E19	24	25	4	7	7

EDGE	FROM N.	TO N.	T. COST
NrE1	27	32	3
NrE2	14	15	3
NrE3	13	14	8
NrE4	25	31	7
NrE5	4	5	1
NrE6	33	37	2
NrE7	19	20	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A31	2	3	1	1	1
A32	33	27	5	5	5
A33	22	21	4	5	5
A34	4	10	3	3	3
A35	26	25	6	5	5
A36	35	34	2	2	2
A37	21	27	1	3	3
A38	24	14	4	13	13
A39	27	33	5	4	4
A40	21	20	5	10	10
A41	36	35	8	12	12
A42	11	17	2	2	2
A43	2	1	1	1	1
A44	12	6	3	4	4
A45	17	11	2	2	2
A46	41	40	4	2	2
A47	1	2	1	1	1
A48	14	9	5	10	10
A49	31	30	12	10	10
A50	16	19	1	2	2
A51	9	8	2	2	2
A52	17	18	4	3	3
A53	17	20	2	2	2
A54	40	41	4	2	2
A55	10	11	4	3	3
A56	26	19	8	10	10
A57	34	29	14	17	17
A58	1	7	5	7	7
A59	20	27	5	4	4
A60	11	12	5	4	4
A61	28	27	7	13	13
A62	25	26	6	4	4
A63	22	28	5	6	6
A64	10	4	3	4	4
A65	8	7	2	3	3
A66	38	34	7	6	6
A67	28	22	5	6	6
A68	16	11	6	12	12
A69	39	35	10	7	7
A70	11	10	4	4	4
A71	24	30	8	6	6
A72	35	39	10	7	7
A73	36	32	10	7	7
A74	11	5	4	4	4
A75	5	11	4	4	4
A76	8	9	2	1	1
A77	39	36	3	5	5
A78	31	35	4	3	3
A79	12	11	5	5	5
A80	32	26	7	7	7
A81	20	17	2	2	2
A82	15	10	1	2	2
A83	23	29	5	14	14

ARC	FROM N.	TO N.	T. COST
NrA1	37	41	5
NrA2	26	32	7
NrA3	6	12	3
NrA4	10	15	1
NrA5	23	14	3
NrA6	15	16	3
NrA7	7	13	7
NrA8	23	13	7
NrA9	36	40	4
NrA10	34	35	2
NrA11	16	15	3
NrA12	3	2	1
NrA13	39	40	2
NrA14	13	23	7
NrA15	10	9	3
NrA16	37	36	8
NrA17	15	25	9
NrA18	18	17	4
NrA19	27	20	5
NrA20	30	31	12
NrA21	21	22	4
NrA22	36	39	3
NrA23	30	24	8
NrA24	32	36	10
NrA25	40	39	2
NrA26	14	23	3
NrA27	34	38	7
NrA28	35	31	4
NrA29	7	1	5
NrA30	25	15	9
