Name:		mgval_0.35_4C
Optimal value:	-1
#Vehicles:	5
Capacity:	130
Depot Node:	1
#Nodes:		41
#Edges:		21
#Arcs:		82
#Required N:	27
#Required E:	13
#Required A:	53

ReN.	DEMAND	S. COST
N2	22	22
N3	7	7
N4	5	5
N5	8	8
N7	3	3
N9	4	4
N11	10	10
N12	5	5
N13	7	7
N14	8	8
N15	2	2
N17	4	4
N18	14	14
N19	3	3
N20	10	10
N22	12	12
N24	3	3
N25	4	4
N26	22	22
N27	4	4
N30	6	6
N31	4	4
N32	6	6
N34	9	9
N35	4	4
N37	9	9
N39	8	8

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E9	27	32	3	8	8
E10	30	31	12	19	19
E11	21	27	1	3	3
E12	38	39	9	10	10
E13	27	28	7	13	13
E14	2	3	1	2	2
E15	16	17	9	15	15
E16	35	39	10	14	14
E17	23	24	3	4	4
E18	21	22	4	9	9
E19	40	41	4	4	4
E20	25	31	7	11	11
E21	17	18	4	7	7

EDGE	FROM N.	TO N.	T. COST
NrE1	4	5	1
NrE2	26	27	7
NrE3	22	28	5
NrE4	20	27	5
NrE5	37	41	5
NrE6	18	22	6
NrE7	2	8	10
NrE8	5	11	4

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A30	23	14	3	4	4
A31	32	26	7	7	7
A32	31	35	4	3	3
A33	10	11	4	3	3
A34	14	24	4	6	6
A35	8	9	2	3	3
A36	15	14	3	4	4
A37	29	23	5	7	7
A38	30	29	3	6	6
A39	16	19	1	1	1
A40	34	35	2	4	4
A41	36	32	10	7	7
A42	33	37	2	2	2
A43	13	14	8	8	8
A44	38	34	7	6	6
A45	7	13	7	7	7
A46	6	12	3	4	4
A47	16	15	3	6	6
A48	9	14	5	10	10
A49	1	7	5	7	7
A50	10	9	3	3	3
A51	25	15	9	19	19
A52	29	34	14	8	8
A53	36	39	3	4	4
A54	11	12	5	4	4
A55	13	23	7	7	7
A56	7	1	5	8	8
A57	37	36	8	12	12
A58	16	11	6	6	6
A59	14	15	3	4	4
A60	24	30	8	6	6
A61	25	26	6	4	4
A62	20	19	3	2	2
A63	10	15	1	1	1
A64	12	6	3	4	4
A65	17	20	2	2	2
A66	23	13	7	7	7
A67	33	27	5	5	5
A68	34	38	7	6	6
A69	6	5	6	13	13
A70	10	4	3	4	4
A71	35	36	8	6	6
A72	14	23	3	3	3
A73	21	20	5	5	5
A74	32	31	5	5	5
A75	23	29	5	7	7
A76	36	40	4	7	7
A77	37	33	2	2	2
A78	24	14	4	7	7
A79	20	21	5	5	5
A80	4	3	7	8	8
A81	19	26	8	10	10
A82	36	35	8	6	6

ARC	FROM N.	TO N.	T. COST
NrA1	30	24	8
NrA2	26	32	7
NrA3	39	36	3
NrA4	1	2	1
NrA5	31	32	5
NrA6	9	10	3
NrA7	34	29	14
NrA8	11	16	6
NrA9	12	11	5
NrA10	39	40	2
NrA11	25	24	4
NrA12	2	1	1
NrA13	9	3	1
NrA14	11	10	4
NrA15	13	7	7
NrA16	17	11	2
NrA17	19	20	3
NrA18	32	36	10
NrA19	35	31	4
NrA20	24	25	4
NrA21	19	16	1
NrA22	26	25	6
NrA23	15	10	1
NrA24	14	13	8
NrA25	27	33	5
NrA26	3	4	7
NrA27	20	17	2
NrA28	4	10	3
NrA29	7	8	2
