Name:		mgval_0.35_4D
Optimal value:	-1
#Vehicles:	9
Capacity:	75
Depot Node:	1
#Nodes:		41
#Edges:		21
#Arcs:		83
#Required N:	30
#Required E:	13
#Required A:	53

ReN.	DEMAND	S. COST
N2	1	1
N3	1	1
N4	9	9
N5	13	13
N6	4	4
N7	8	8
N8	3	3
N9	6	6
N10	7	7
N12	4	4
N13	15	15
N14	8	8
N15	5	5
N17	2	2
N18	14	14
N19	7	7
N21	9	9
N22	6	6
N23	9	9
N24	19	19
N26	5	5
N27	8	8
N30	3	3
N31	7	7
N33	5	5
N34	6	6
N35	6	6
N36	6	6
N39	7	7
N41	7	7

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E9	16	17	9	15	15
E10	24	25	4	7	7
E11	20	21	5	10	10
E12	36	40	4	7	7
E13	9	14	5	10	10
E14	27	32	3	8	8
E15	25	31	7	11	11
E16	17	18	4	7	7
E17	3	9	1	1	1
E18	15	25	9	19	19
E19	30	31	12	19	19
E20	11	17	2	4	4
E21	11	16	6	12	12

EDGE	FROM N.	TO N.	T. COST
NrE1	24	30	8
NrE2	5	6	6
NrE3	9	10	3
NrE4	14	15	3
NrE5	4	5	1
NrE6	10	11	4
NrE7	21	22	4
NrE8	8	9	2

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A31	14	13	8	8	8
A32	40	39	2	2	2
A33	39	40	2	1	1
A34	2	8	10	10	10
A35	19	16	1	1	1
A36	28	22	5	6	6
A37	26	32	7	6	6
A38	1	2	1	2	2
A39	1	7	5	7	7
A40	23	13	7	7	7
A41	16	15	3	3	3
A42	32	26	7	7	7
A43	34	35	2	2	2
A44	31	32	5	9	9
A45	13	7	7	14	14
A46	37	41	5	4	4
A47	14	24	4	6	6
A48	12	11	5	5	5
A49	36	35	8	6	6
A50	27	26	7	11	11
A51	24	23	3	2	2
A52	35	34	2	2	2
A53	28	27	7	13	13
A54	16	19	1	1	1
A55	10	15	1	1	1
A56	11	5	4	8	8
A57	3	4	7	7	7
A58	32	36	10	6	6
A59	7	8	2	1	1
A60	34	29	14	9	9
A61	39	36	3	9	9
A62	20	19	3	2	2
A63	20	27	5	4	4
A64	37	33	2	4	4
A65	36	32	10	7	7
A66	20	17	2	2	2
A67	35	39	10	7	7
A68	8	2	10	10	10
A69	8	7	2	2	2
A70	23	14	3	7	7
A71	26	25	6	5	5
A72	38	34	7	6	6
A73	39	38	9	5	5
A74	29	34	14	8	8
A75	40	41	4	2	2
A76	37	36	8	6	6
A77	11	12	5	4	4
A78	25	26	6	4	4
A79	29	23	5	7	7
A80	27	21	1	3	3
A81	38	39	9	5	5
A82	4	3	7	8	8
A83	29	30	3	3	3

ARC	FROM N.	TO N.	T. COST
NrA1	41	37	5
NrA2	13	14	8
NrA3	3	2	1
NrA4	19	20	3
NrA5	35	36	8
NrA6	24	14	4
NrA7	12	6	3
NrA8	34	38	7
NrA9	30	29	3
NrA10	36	37	8
NrA11	6	12	3
NrA12	7	1	5
NrA13	4	10	3
NrA14	27	20	5
NrA15	19	26	8
NrA16	23	29	5
NrA17	23	24	3
NrA18	31	35	4
NrA19	22	28	5
NrA20	26	19	8
NrA21	17	20	2
NrA22	41	40	4
NrA23	13	23	7
NrA24	15	10	1
NrA25	2	3	1
NrA26	18	22	6
NrA27	33	27	5
NrA28	39	35	10
NrA29	15	16	3
NrA30	27	33	5
