Name:		mgval_0.35_5A
Optimal value:	-1
#Vehicles:	3
Capacity:	220
Depot Node:	1
#Nodes:		34
#Edges:		22
#Arcs:		74
#Required N:	20
#Required E:	14
#Required A:	48

ReN.	DEMAND	S. COST
N2	31	31
N3	3	3
N5	3	3
N6	30	30
N8	12	12
N9	11	11
N10	15	15
N11	3	3
N13	10	10
N14	3	3
N15	9	9
N17	18	18
N19	17	17
N20	5	5
N21	6	6
N25	8	8
N26	6	6
N27	6	6
N28	12	12
N30	7	7

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E9	28	34	2	9	9
E10	11	24	15	19	19
E11	20	21	2	3	3
E12	16	23	9	16	16
E13	30	31	6	8	8
E14	8	9	7	8	8
E15	27	28	10	13	13
E16	1	7	8	9	9
E17	21	22	5	8	8
E18	16	17	5	8	8
E19	4	5	9	12	12
E20	4	11	10	15	15
E21	19	20	6	12	12
E22	13	14	4	8	8

EDGE	FROM N.	TO N.	T. COST
NrE1	6	7	9
NrE2	10	11	8
NrE3	2	3	5
NrE4	8	14	2
NrE5	28	33	3
NrE6	9	10	3
NrE7	27	32	5
NrE8	6	18	9

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A27	25	29	7	4	4
A28	22	23	1	1	1
A29	34	24	10	8	8
A30	15	9	5	4	4
A31	11	17	7	4	4
A32	19	18	7	7	7
A33	25	26	9	8	8
A34	12	18	5	5	5
A35	14	20	3	5	5
A36	23	28	5	2	2
A37	4	10	4	3	3
A38	13	2	9	8	8
A39	28	23	5	3	3
A40	4	3	3	4	4
A41	24	34	10	8	8
A42	18	19	7	7	7
A43	26	25	9	8	8
A44	22	15	9	15	15
A45	3	10	2	8	8
A46	6	1	2	3	3
A47	19	25	5	3	3
A48	22	28	4	4	4
A49	1	6	2	2	2
A50	32	33	5	5	5
A51	7	13	5	3	3
A52	31	26	9	6	6
A53	23	24	5	3	3
A54	30	25	5	6	6
A55	9	3	6	4	4
A56	23	22	1	1	1
A57	18	12	5	6	6
A58	27	21	7	11	11
A59	12	6	7	11	11
A60	3	4	3	3	3
A61	29	25	7	5	5
A62	26	20	3	4	4
A63	27	26	4	3	3
A64	16	10	2	4	4
A65	10	4	4	3	3
A66	20	26	3	3	3
A67	34	33	1	2	2
A68	16	15	5	9	9
A69	33	32	5	5	5
A70	33	34	1	2	2
A71	26	27	4	2	2
A72	31	32	3	7	7
A73	18	29	9	15	15
A74	24	23	5	4	4

ARC	FROM N.	TO N.	T. COST
NrA1	21	15	4
NrA2	1	2	10
NrA3	26	31	9
NrA4	2	1	10
NrA5	10	16	2
NrA6	20	14	3
NrA7	30	29	4
NrA8	17	11	7
NrA9	13	12	2
NrA10	3	9	6
NrA11	15	21	4
NrA12	5	11	4
NrA13	28	22	4
NrA14	14	15	1
NrA15	19	13	6
NrA16	25	30	5
NrA17	19	12	4
NrA18	15	14	1
NrA19	17	24	9
NrA20	8	2	8
NrA21	25	19	5
NrA22	13	7	5
NrA23	2	13	9
NrA24	9	15	5
NrA25	11	5	4
NrA26	2	8	8
