Name:		mgval_0.35_5B
Optimal value:	-1
#Vehicles:	4
Capacity:	165
Depot Node:	1
#Nodes:		34
#Edges:		35
#Arcs:		56
#Required N:	23
#Required E:	22
#Required A:	36

ReN.	DEMAND	S. COST
N2	6	6
N4	15	15
N6	24	24
N7	15	15
N8	7	7
N9	16	16
N11	9	9
N12	16	16
N13	4	4
N14	5	5
N15	27	27
N16	4	4
N17	5	5
N18	6	6
N20	1	1
N21	2	2
N22	6	6
N23	7	7
N24	16	16
N25	11	11
N26	14	14
N29	7	7
N31	3	3

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E14	19	25	5	6	6
E15	4	10	4	6	6
E16	17	24	9	13	13
E17	19	20	6	12	12
E18	13	19	6	8	8
E19	10	16	2	7	7
E20	23	28	5	5	5
E21	28	33	3	8	8
E22	7	13	5	6	6
E23	1	2	10	11	11
E24	30	31	6	8	8
E25	20	26	3	7	7
E26	28	34	2	9	9
E27	4	5	9	12	12
E28	33	34	1	4	4
E29	6	12	7	11	11
E30	18	19	7	14	14
E31	32	33	5	10	10
E32	5	11	4	6	6
E33	3	10	2	8	8
E34	22	28	4	8	8
E35	3	4	3	7	7

EDGE	FROM N.	TO N.	T. COST
NrE1	29	30	4
NrE2	9	15	5
NrE3	4	11	10
NrE4	1	7	8
NrE5	22	23	1
NrE6	6	18	9
NrE7	23	24	5
NrE8	12	13	2
NrE9	15	16	5
NrE10	25	30	5
NrE11	24	34	10
NrE12	2	3	5
NrE13	15	21	4

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A21	20	14	3	5	5
A22	32	31	3	4	4
A23	19	12	4	5	5
A24	29	25	7	5	5
A25	2	8	8	6	6
A26	11	17	7	4	4
A27	10	9	3	4	4
A28	3	9	6	3	3
A29	16	23	9	8	8
A30	2	13	9	8	8
A31	25	26	9	8	8
A32	22	15	9	8	8
A33	29	18	9	8	8
A34	14	13	4	4	4
A35	21	22	5	4	4
A36	18	29	9	7	7
A37	25	29	7	4	4
A38	15	22	9	7	7
A39	10	11	8	6	6
A40	14	8	2	3	3
A41	21	27	7	11	11
A42	8	9	7	4	4
A43	23	16	9	8	8
A44	24	11	15	10	10
A45	27	28	10	6	6
A46	9	10	3	3	3
A47	11	10	8	6	6
A48	27	32	5	6	6
A49	1	6	2	2	2
A50	6	1	2	3	3
A51	17	16	5	4	4
A52	8	14	2	2	2
A53	31	26	9	6	6
A54	28	27	10	7	7
A55	27	26	4	5	5
A56	13	2	9	8	8

ARC	FROM N.	TO N.	T. COST
NrA1	18	12	5
NrA2	26	31	9
NrA3	21	20	2
NrA4	12	18	5
NrA5	20	21	2
NrA6	17	11	7
NrA7	7	6	9
NrA8	22	21	5
NrA9	11	24	15
NrA10	12	19	4
NrA11	14	20	3
NrA12	26	25	9
NrA13	6	7	9
NrA14	31	32	3
NrA15	15	14	1
NrA16	8	2	8
NrA17	9	8	7
NrA18	9	3	6
NrA19	16	17	5
NrA20	13	14	4
