Name:		mgval_0.35_5C
Optimal value:	-1
#Vehicles:	5
Capacity:	130
Depot Node:	1
#Nodes:		34
#Edges:		17
#Arcs:		81
#Required N:	19
#Required E:	11
#Required A:	52

ReN.	DEMAND	S. COST
N2	20	20
N4	4	4
N6	8	8
N7	18	18
N9	11	11
N11	22	22
N12	14	14
N13	8	8
N15	21	21
N16	12	12
N20	5	5
N21	21	21
N24	7	7
N27	13	13
N28	13	13
N29	15	15
N30	6	6
N32	3	3
N33	2	2

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E7	6	18	9	18	18
E8	24	34	10	16	16
E9	28	33	3	8	8
E10	8	9	7	8	8
E11	8	14	2	5	5
E12	4	10	4	6	6
E13	3	10	2	8	8
E14	12	19	4	9	9
E15	10	11	8	12	12
E16	22	23	1	2	2
E17	20	26	3	7	7

EDGE	FROM N.	TO N.	T. COST
NrE1	12	18	5
NrE2	29	30	4
NrE3	13	14	4
NrE4	28	34	2
NrE5	21	27	7
NrE6	9	10	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A30	22	28	4	4	4
A31	25	26	9	8	8
A32	31	32	3	7	7
A33	13	19	6	4	4
A34	5	11	4	3	3
A35	24	23	5	4	4
A36	31	26	9	12	12
A37	14	20	3	5	5
A38	10	16	2	3	3
A39	28	23	5	3	3
A40	19	20	6	6	6
A41	20	19	6	6	6
A42	13	2	9	8	8
A43	34	33	1	2	2
A44	26	25	9	8	8
A45	13	7	5	3	3
A46	14	15	1	3	3
A47	22	21	5	4	4
A48	19	18	7	7	7
A49	25	30	5	5	5
A50	15	14	1	3	3
A51	4	5	9	12	12
A52	19	13	6	4	4
A53	3	4	3	3	3
A54	16	15	5	5	5
A55	3	2	5	3	3
A56	31	30	6	4	4
A57	22	15	9	8	8
A58	18	29	9	7	7
A59	16	23	9	16	16
A60	25	29	7	9	9
A61	9	3	6	4	4
A62	17	24	9	6	6
A63	18	19	7	7	7
A64	13	12	2	4	4
A65	23	24	5	3	3
A66	33	32	5	10	10
A67	8	2	8	7	7
A68	11	4	10	8	8
A69	12	6	7	6	6
A70	26	27	4	5	5
A71	3	9	6	3	3
A72	23	28	5	2	2
A73	30	31	6	4	4
A74	6	12	7	5	5
A75	20	21	2	3	3
A76	4	11	10	7	7
A77	17	11	7	9	9
A78	6	1	2	3	3
A79	19	25	5	6	6
A80	27	32	5	3	3
A81	2	13	9	8	8

ARC	FROM N.	TO N.	T. COST
NrA1	20	14	3
NrA2	16	17	5
NrA3	21	22	5
NrA4	7	6	9
NrA5	1	7	8
NrA6	32	27	5
NrA7	9	15	5
NrA8	28	22	4
NrA9	6	7	9
NrA10	30	25	5
NrA11	4	3	3
NrA12	11	5	4
NrA13	12	13	2
NrA14	24	17	9
NrA15	33	34	1
NrA16	15	9	5
NrA17	11	24	15
NrA18	1	2	10
NrA19	27	28	10
NrA20	1	6	2
NrA21	21	15	4
NrA22	15	21	4
NrA23	7	13	5
NrA24	16	10	2
NrA25	2	8	8
NrA26	15	16	5
NrA27	2	3	5
NrA28	15	22	9
NrA29	29	18	9
