Name:		mgval_0.35_5D
Optimal value:	-1
#Vehicles:	9
Capacity:	75
Depot Node:	1
#Nodes:		34
#Edges:		29
#Arcs:		63
#Required N:	22
#Required E:	18
#Required A:	40

ReN.	DEMAND	S. COST
N4	4	4
N6	6	6
N7	9	9
N8	5	5
N10	11	11
N11	12	12
N13	8	8
N15	21	21
N16	8	8
N19	6	6
N20	6	6
N21	17	17
N22	6	6
N23	12	12
N24	17	17
N26	12	12
N27	9	9
N28	16	16
N29	13	13
N31	3	3
N32	3	3
N33	5	5

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E12	12	19	4	9	9
E13	29	30	4	7	7
E14	25	26	9	16	16
E15	2	13	9	16	16
E16	9	10	3	7	7
E17	19	25	5	6	6
E18	4	10	4	6	6
E19	3	9	6	7	7
E20	33	34	1	4	4
E21	21	22	5	8	8
E22	13	14	4	8	8
E23	14	15	1	6	6
E24	30	31	6	8	8
E25	1	2	10	11	11
E26	26	27	4	5	5
E27	12	13	2	7	7
E28	4	11	10	15	15
E29	6	12	7	11	11

EDGE	FROM N.	TO N.	T. COST
NrE1	22	23	1
NrE2	13	19	6
NrE3	28	33	3
NrE4	23	24	5
NrE5	15	22	9
NrE6	8	14	2
NrE7	16	17	5
NrE8	23	28	5
NrE9	10	16	2
NrE10	26	31	9
NrE11	21	27	7

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A24	24	34	10	8	8
A25	34	28	2	5	5
A26	25	30	5	5	5
A27	5	11	4	3	3
A28	3	2	5	6	6
A29	17	24	9	6	6
A30	12	18	5	5	5
A31	17	11	7	5	5
A32	1	7	8	4	4
A33	1	6	2	2	2
A34	16	15	5	9	9
A35	8	9	7	8	8
A36	7	1	8	5	5
A37	2	8	8	13	13
A38	16	23	9	16	16
A39	34	24	10	8	8
A40	18	12	5	6	6
A41	32	31	3	4	4
A42	21	20	2	3	3
A43	5	4	9	12	12
A44	11	17	7	4	4
A45	3	10	2	4	4
A46	6	1	2	3	3
A47	32	33	5	5	5
A48	3	4	3	3	3
A49	20	26	3	3	3
A50	11	10	8	6	6
A51	13	7	5	3	3
A52	6	18	9	18	18
A53	10	11	8	6	6
A54	28	27	10	7	7
A55	14	20	3	5	5
A56	19	18	7	14	14
A57	25	29	7	4	4
A58	18	29	9	7	7
A59	20	14	3	5	5
A60	9	15	5	4	4
A61	15	9	5	4	4
A62	30	25	5	6	6
A63	26	20	3	4	4

ARC	FROM N.	TO N.	T. COST
NrA1	4	3	3
NrA2	33	32	5
NrA3	31	32	3
NrA4	22	28	4
NrA5	20	19	6
NrA6	27	28	10
NrA7	21	15	4
NrA8	6	7	9
NrA9	11	5	4
NrA10	28	22	4
NrA11	19	20	6
NrA12	7	13	5
NrA13	10	3	2
NrA14	11	24	15
NrA15	15	21	4
NrA16	29	25	7
NrA17	28	34	2
NrA18	24	11	15
NrA19	24	17	9
NrA20	27	32	5
NrA21	7	6	9
NrA22	29	18	9
NrA23	32	27	5
